Local time in Kolkata / Dum Dum (airport),T,P0,P,U,DD,Ff,ff10,WW,W'W',c,VV,Td,
13.04.2020 23:30,27.0,756.6,756.9,94,Wind blowing from the south,3,,Haze,,Scattered clouds (40-50%) 600 m,3.2,26.0,
13.04.2020 23:00,27.0,756.6,756.9,94,Wind blowing from the east,2,,Haze,,Scattered clouds (40-50%) 600 m,3.2,26.0,
13.04.2020 22:30,27.0,756.6,756.9,100,Wind blowing from the south-southeast,4,,Haze,,Few clouds (10-30%) 600 m,3.3,27.0,
13.04.2020 22:00,28.0,756.6,756.9,94,Wind blowing from the south-southeast,4,,Haze,,Few clouds (10-30%) 600 m,3.5,27.0,
13.04.2020 21:30,28.0,756.6,756.9,94,Wind blowing from the south-southeast,5,,Haze,,Few clouds (10-30%) 600 m,3.5,27.0,
13.04.2020 21:00,28.0,755.9,756.2,94,Wind blowing from the south-southeast,5,,Haze,,Few clouds (10-30%) 600 m,3.5,27.0,
13.04.2020 20:30,28.0,755.9,756.2,100,Wind blowing from the south-southeast,5,,Haze,,No Significant Clouds,3.5,28.0,
13.04.2020 20:00,29.0,755.1,755.4,94,Wind blowing from the south-southeast,5,,Haze,,No Significant Clouds,3.5,28.0,
13.04.2020 19:30,29.0,755.1,755.4,94,Wind blowing from the south-southeast,4,,Haze,,No Significant Clouds,3.8,28.0,
13.04.2020 19:00,30.0,754.3,754.6,89,Wind blowing from the south-east,5,,Haze,,No Significant Clouds,3.8,28.0,
13.04.2020 18:30,31.0,754.3,754.6,84,Wind blowing from the south-east,4,,Haze,,No Significant Clouds,3.8,28.0,
13.04.2020 18:00,32.0,753.6,753.9,75,Wind blowing from the south-east,5,,Haze,,Few clouds (10-30%) 600 m,3.8,27.0,
13.04.2020 17:30,33.0,753.6,753.9,75,Wind blowing from the south-east,5,,Haze,,Few clouds (10-30%) 600 m,3.8,28.0,
13.04.2020 17:00,35.0,753.6,753.9,63,Wind blowing from the south-east,4,,Haze,,Few clouds (10-30%) 600 m,3.8,27.0,
13.04.2020 16:30,35.0,753.6,753.9,60,Wind blowing from the south-southeast,3,,Haze,,Few clouds (10-30%) 600 m,4.0,26.0,
13.04.2020 16:00,35.0,753.6,753.9,60,Wind blowing from the south-southeast,3,,Haze,,Few clouds (10-30%) 600 m,4.0,26.0,
13.04.2020 15:30,36.0,753.6,753.9,56,Wind blowing from the south-east,3,,Haze,,Few clouds (10-30%) 600 m,4.0,26.0,
13.04.2020 15:00,36.0,753.6,753.9,56,Wind blowing from the south-southeast,4,,Haze,,Few clouds (10-30%) 600 m,4.0,26.0,
13.04.2020 14:30,35.0,753.6,753.9,60,Wind blowing from the south-southeast,3,,Haze,,Few clouds (10-30%) 600 m,4.0,26.0,
13.04.2020 14:00,35.0,754.3,754.6,60,Wind blowing from the south,4,,Haze,,Few clouds (10-30%) 600 m,4.0,26.0,
