Local time in Gauhati,T,P0,P,U,DD,Ff,ff10,WW,W'W',c,VV,Td,
13.04.2020 23:30,25.0,752.8,756.9,74,Calm  no wind,0,,Mist,,Scattered clouds (40-50%) 540 m  few clouds (10-30%) 750 m  cumulonimbus clouds   broken clouds (60-90%) 3000 m,3.0,20.0,
13.04.2020 23:00,25.0,752.8,756.9,74,Wind blowing from the south,2,,Mist,,Scattered clouds (40-50%) 540 m  few clouds (10-30%) 750 m  cumulonimbus clouds   broken clouds (60-90%) 3000 m,3.0,20.0,
13.04.2020 22:30,26.0,752.8,756.9,70,Calm  no wind,0,,Haze,,Scattered clouds (40-50%) 540 m  few clouds (10-30%) 750 m  cumulonimbus clouds   broken clouds (60-90%) 3000 m,3.0,20.0,
13.04.2020 22:00,26.0,752.8,756.9,70,Calm  no wind,0,,Haze,,Scattered clouds (40-50%) 540 m  few clouds (10-30%) 750 m  cumulonimbus clouds   broken clouds (60-90%) 3000 m,3.0,20.0,
13.04.2020 21:30,27.0,752.9,756.9,66,Calm  no wind,0,,Haze,,Scattered clouds (40-50%) 540 m  few clouds (10-30%) 750 m  cumulonimbus clouds   broken clouds (60-90%) 3000 m,3.0,20.0,
13.04.2020 21:00,27.0,752.9,756.9,66,Calm  no wind,0,,Haze,,Scattered clouds (40-50%) 540 m  few clouds (10-30%) 750 m  cumulonimbus clouds   broken clouds (60-90%) 3000 m,3.0,20.0,
13.04.2020 20:30,27.0,752.9,756.9,66,Calm  no wind,0,,Haze,,Scattered clouds (40-50%) 540 m  few clouds (10-30%) 750 m  cumulonimbus clouds   broken clouds (60-90%) 3000 m,3.0,20.0,
13.04.2020 20:00,27.0,752.9,756.9,66,Calm  no wind,0,,Haze,,Scattered clouds (40-50%) 540 m  few clouds (10-30%) 750 m  cumulonimbus clouds   broken clouds (60-90%) 3000 m,3.0,20.0,
13.04.2020 19:30,28.0,752.9,756.9,62,Wind blowing from the south,2,,Haze,,Scattered clouds (40-50%) 540 m  few clouds (10-30%) 750 m  cumulonimbus clouds   broken clouds (60-90%) 3000 m,3.0,20.0,
13.04.2020 19:00,29.0,752.9,756.9,58,Wind blowing from the south,2,,Haze,,Scattered clouds (40-50%) 540 m  few clouds (10-30%) 750 m  cumulonimbus clouds   broken clouds (60-90%) 3000 m,3.0,20.0,
