Local time in Dhaka (airport),T,P0,P,U,DD,Ff,ff10,WW,W'W',c,VV,Td,
13.04.2020 23:30,28.0,757.0,757.7,62,Wind blowing from the south-southeast,2,,Haze,,Scattered clouds (40-50%) 3600 m,3.5,20.0,
13.04.2020 23:00,28.0,757.0,757.7,62,Wind blowing from the south-east,2,,Haze,,Scattered clouds (40-50%) 3600 m,3.5,20.0,
13.04.2020 22:30,28.0,757.0,757.7,62,Wind blowing from the east-northeast,2,,Haze,,Scattered clouds (40-50%) 3600 m,3.5,20.0,
13.04.2020 22:00,28.0,757.0,757.7,62,Wind blowing from the east-northeast,2,,Haze,,Scattered clouds (40-50%) 3600 m,3.5,20.0,
13.04.2020 21:30,29.0,757.0,757.7,58,Wind blowing from the north-east,3,,Haze,,Scattered clouds (40-50%) 3600 m,3.5,20.0,
13.04.2020 21:00,29.0,756.2,756.9,58,Wind blowing from the north-east,2,,Haze,,Scattered clouds (40-50%) 3600 m,3.5,20.0,
13.04.2020 20:30,29.0,756.2,756.9,58,Wind blowing from the north-northeast,2,,Haze,,Scattered clouds (40-50%) 3600 m,3.5,20.0,
13.04.2020 20:00,29.0,756.2,756.9,55,Wind blowing from the south-east,3,,Haze,,Scattered clouds (40-50%) 360 m,3.5,19.0,
13.04.2020 19:30,30.0,755.5,756.2,52,Wind blowing from the south-east,3,,Haze,,Scattered clouds (40-50%) 360 m,3.5,19.0,
13.04.2020 19:00,30.0,755.5,756.2,52,Wind blowing from the south-southeast,3,,Haze,,Scattered clouds (40-50%) 360 m,3.5,19.0,
13.04.2020 18:30,31.0,754.7,755.4,49,Wind blowing from the south-east,4,,Haze,,Scattered clouds (40-50%) 3600 m,3.5,19.0,
13.04.2020 18:00,31.0,754.7,755.4,49,Wind blowing from the south-east,3,,Haze,,Scattered clouds (40-50%) 3600 m,3.5,19.0,
13.04.2020 17:30,32.0,753.9,754.6,46,Wind blowing from the east-southeast,3,,Haze,,Scattered clouds (40-50%) 3600 m,3.5,19.0,
