Local time in Agartala,T,P0,P,U,DD,Ff,ff10,WW,W'W',c,VV,Td,
13.04.2020 15:00,35.0,754.1,755.4,41,Calm  no wind,0,,,,No Significant Clouds,7.0,20.0,
13.04.2020 14:30,35.0,754.1,755.4,41,Calm  no wind,0,,,,No Significant Clouds,7.0,20.0,
13.04.2020 14:00,35.0,754.9,756.2,39,Calm  no wind,0,,,,No Significant Clouds,7.0,19.0,
13.04.2020 13:30,35.0,754.9,756.2,39,Calm  no wind,0,,,,Few clouds (10-30%) 600 m,6.0,19.0,
13.04.2020 13:00,35.0,754.9,756.2,39,Calm  no wind,0,,,,Few clouds (10-30%) 600 m,6.0,19.0,
13.04.2020 12:30,35.0,755.6,756.9,39,Calm  no wind,0,,,,Few clouds (10-30%) 600 m,6.0,19.0,
13.04.2020 11:30,34.0,756.4,757.7,41,Wind blowing from the west-southwest,2,,,,No Significant Clouds,6.0,19.0,
13.04.2020 10:30,33.0,756.9,758.2,41,Calm  no wind,0,,,,No Significant Clouds,6.0,18.0,
13.04.2020 09:30,31.0,756.9,758.2,46,Calm  no wind,0,,Haze,,No Significant Clouds,5.0,18.0,
12.04.2020 14:30,30.0,755.6,756.9,43,Wind blowing from the north,1,,Haze,,Few clouds (10-30%) 600 m  broken clouds (60-90%) 3000 m,5.0,16.0,
12.04.2020 13:30,30.0,756.4,757.7,46,Wind blowing from the north-northeast,2,,Haze,,Few clouds (10-30%) 600 m  broken clouds (60-90%) 3000 m,5.0,17.0,
12.04.2020 13:00,29.0,756.9,758.2,48,Wind blowing from the north-east,2,,Haze,,Few clouds (10-30%) 540 m  few clouds (10-30%) 900 m  cumulonimbus clouds   broken clouds (60-90%) 3000 m,5.0,17.0,
12.04.2020 12:30,28.0,757.7,759.0,55,Wind blowing from the north-east,1,,Haze,,Scattered clouds (40-50%) 540 m  few clouds (10-30%) 900 m  cumulonimbus clouds   broken clouds (60-90%) 3000 m,5.0,18.0,
12.04.2020 12:00,28.0,758.4,759.7,55,Wind blowing from the north,2,,Haze,,Scattered clouds (40-50%) 600 m  few clouds (10-30%) 900 m  cumulonimbus clouds   broken clouds (60-90%) 3000 m,5.0,18.0,
12.04.2020 11:30,27.0,758.4,759.7,58,Wind blowing from the north-northwest,3,,Haze,,Scattered clouds (40-50%) 600 m  few clouds (10-30%) 900 m  cumulonimbus clouds   broken clouds (60-90%) 3000 m,5.0,18.0,
12.04.2020 11:00,28.0,759.2,760.5,62,Wind blowing from the north,2,,Haze,,Scattered clouds (40-50%) 600 m  few clouds (10-30%) 900 m  cumulonimbus clouds   broken clouds (60-90%) 3000 m,5.0,20.0,
12.04.2020 10:30,28.0,759.9,761.2,62,Wind blowing from the north,6,,Haze,,Few clouds (10-30%) 600 m  scattered clouds (40-50%) 750 m  few clouds (10-30%) 900 m  cumulonimbus clouds   broken clouds (60-90%) 3000 m,5.0,20.0,
12.04.2020 10:00,29.0,759.2,760.5,55,Wind blowing from the north-west,3,,Haze,,Few clouds (10-30%) 600 m  few clouds (10-30%) 900 m  cumulonimbus clouds   scattered clouds (40-50%) 3000 m,5.0,19.0,
12.04.2020 09:30,28.0,759.2,760.5,62,Calm  no wind,0,,Haze,,Few clouds (10-30%) 600 m  scattered clouds (40-50%) 3000 m,5.0,20.0,
11.04.2020 17:30,33.0,755.6,756.9,44,Calm  no wind,0,,,,Few clouds (10-30%) 750 m,6.0,19.0,
11.04.2020 17:00,34.0,754.9,756.2,47,Wind blowing from the west-southwest,2,,,,Few clouds (10-30%) 750 m,6.0,21.0,
11.04.2020 16:30,35.0,754.9,756.2,41,Wind blowing from the south-west,2,,,,No Significant Clouds,6.0,20.0,
11.04.2020 15:30,37.0,755.7,756.9,37,Wind blowing from the south-west,2,,,,No Significant Clouds,6.0,20.0,
11.04.2020 14:30,37.0,755.7,756.9,37,Wind blowing from the west-southwest,2,,,,Few clouds (10-30%) 750 m,6.0,20.0,
11.04.2020 13:30,37.0,756.9,758.2,39,Wind blowing from the south-west,2,,,,Few clouds (10-30%) 750 m,6.0,21.0,
11.04.2020 12:37,36.0,757.7,759.0,44,Calm  no wind,0,,,,Few clouds (10-30%) 750 m,6.0,22.0,
11.04.2020 12:30,36.0,757.7,759.0,44,Calm  no wind,0,,,,Few clouds (10-30%) 750 m,6.0,22.0,
11.04.2020 11:30,35.0,758.4,759.7,50,Calm  no wind,0,,Haze,,Few clouds (10-30%) 600 m,5.0,23.0,
11.04.2020 11:00,35.0,759.2,760.5,50,Calm  no wind,0,,Haze,,Few clouds (10-30%) 600 m,5.0,23.0,
11.04.2020 10:30,34.0,759.2,760.5,53,Calm  no wind,0,,Haze,,Few clouds (10-30%) 600 m,5.0,23.0,
11.04.2020 10:00,33.0,759.9,761.2,52,Calm  no wind,0,,Haze,,Few clouds (10-30%) 600 m,4.5,22.0,
11.04.2020 09:30,33.0,759.9,761.2,56,Calm  no wind,0,,Haze,,Few clouds (10-30%) 600 m,4.5,23.0,
11.04.2020 09:00,31.0,759.9,761.2,62,Calm  no wind,0,,Haze,,Few clouds (10-30%) 600 m,4.0,23.0,
11.04.2020 08:30,30.0,759.9,761.2,70,Calm  no wind,0,,Haze,,No Significant Clouds,4.0,24.0,
10.04.2020 17:30,33.0,756.4,757.7,52,Calm  no wind,0,,Haze,,Few clouds (10-30%) 600 m  scattered clouds (40-50%) 3000 m,5.0,22.0,
10.04.2020 17:00,34.0,756.4,757.7,44,Calm  no wind,0,,,,Few clouds (10-30%) 600 m  scattered clouds (40-50%) 3000 m,6.0,20.0,
10.04.2020 16:30,35.0,756.4,757.7,41,Wind blowing from the west-southwest,2,,,,Few clouds (10-30%) 600 m  scattered clouds (40-50%) 3000 m,6.0,20.0,
10.04.2020 16:00,36.0,756.4,757.7,39,Wind blowing from the west,2,,,,Few clouds (10-30%) 600 m  scattered clouds (40-50%) 3000 m,6.0,20.0,
10.04.2020 15:30,36.0,756.4,757.7,37,Wind blowing from the west,2,,,,Few clouds (10-30%) 600 m  scattered clouds (40-50%) 3000 m,7.0,19.0,
10.04.2020 15:00,37.0,756.4,757.7,33,Wind blowing from the west-southwest,2,,,,Few clouds (10-30%) 600 m,7.0,18.0,
