Local time in Anqing,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,12.5,758.3,764.0,0.6,61,Wind blowing from the west,2,,9,,Cloud development not observed or not observable. ,,,8.7,23.0,,,2500 or more  or no clouds.,,,23.0,5.0,No precipitation,12,,,,
07.04.2020 20:00,16.8,757.7,763.4,0.7,36,Wind blowing from the north-northeast,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.7,23.0,,,2500 or more  or no clouds.,,,30.0,1.7,No precipitation,12,,,,
07.04.2020 17:00,21.4,757.0,762.7,-1.0,25,Wind blowing from the north-northeast,5,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.7,23.0,,,2500 or more  or no clouds.,,,30.0,0.6,No precipitation,12,,,,
07.04.2020 14:00,22.7,758.0,763.7,-1.4,20,Wind blowing from the north,4,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.7,23.0,,,2500 or more  or no clouds.,,,30.0,-1.4,No precipitation,12,,,,
07.04.2020 11:00,20.3,759.4,765.1,-0.1,39,Wind blowing from the north-east,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.7,20.9,,,2500 or more  or no clouds.,,,23.0,5.9,No precipitation,12,,,,
07.04.2020 08:00,12.0,759.5,765.2,1.2,73,Wind blowing from the west,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.7,20.9,,,2500 or more  or no clouds.,,,12.0,7.3,No precipitation,12,,,,
07.04.2020 05:00,10.0,758.3,764.0,0.0,81,Wind blowing from the south,1,,6,,Cloud development not observed or not observable. ,,,9.5,20.9,,,2500 or more  or no clouds.,,,17.0,6.9,No precipitation,12,,,,
07.04.2020 02:00,11.1,758.3,764.0,-0.8,79,Wind blowing from the west,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.4,20.9,,,2500 or more  or no clouds.,,,17.0,7.6,No precipitation,12,,,,
06.04.2020 23:00,12.9,759.1,764.8,0.6,70,Wind blowing from the west-southwest,1,,6,,Cloud development not observed or not observable. ,,,10.9,20.9,,,2500 or more  or no clouds.,,,18.0,7.6,No precipitation,12,,,,
06.04.2020 20:00,15.9,758.5,764.2,1.2,53,Wind blowing from the north-northeast,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,20.9,,,2500 or more  or no clouds.,,,26.0,6.3,No precipitation,12,,,,
06.04.2020 17:00,19.8,757.3,763.0,-1.3,39,Wind blowing from the north-northeast,4,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,20.9,,,2500 or more  or no clouds.,,,29.0,5.5,No precipitation,12,,,,
06.04.2020 14:00,19.7,758.6,764.3,-1.9,37,Wind blowing from the east-northeast,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,20.1,,,2500 or more  or no clouds.,,,24.0,4.6,No precipitation,12,,,,
06.04.2020 11:00,16.0,760.5,766.2,-0.1,54,Wind blowing from the east,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,18.8,,,2500 or more  or no clouds.,,,18.0,6.7,No precipitation,12,,,,
06.04.2020 08:00,12.0,760.6,766.3,0.6,75,Wind blowing from the west,1,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,,,,2500 or more  or no clouds.,,,16.0,7.7,No precipitation,12,,,,
06.04.2020 05:00,11.2,760.0,765.7,-1.2,76,Wind blowing from the south-southwest,1,,,,Cloud development not observed or not observable. ,,,10.6,18.8,,,2500 or more  or no clouds.,,,19.0,7.1,No precipitation,12,,,,
06.04.2020 02:00,12.0,761.2,766.9,-1.1,64,Wind blowing from the west-northwest,1,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.6,18.8,,,2500 or more  or no clouds.,,,23.0,5.4,No precipitation,12,,,,
05.04.2020 23:00,13.4,762.3,768.1,0.5,49,Wind blowing from the north-northeast,4,,11,,Cloud development not observed or not observable. ,,,10.6,18.8,,,2500 or more  or no clouds.,,,27.0,2.9,No precipitation,12,,,,
05.04.2020 20:00,13.4,761.8,767.6,0.8,51,Wind blowing from the north-northeast,3,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.6,18.8,,,2500 or more  or no clouds.,,,28.0,3.5,No precipitation,12,,,,
05.04.2020 17:00,17.2,761.0,766.8,-1.4,39,Wind blowing from the north-east,4,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.6,18.9,,,2500 or more  or no clouds.,,,27.0,3.1,No precipitation,12,,,,
05.04.2020 14:00,17.5,762.4,768.1,-1.9,41,Wind blowing from the north-northeast,4,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.6,20.2,,,2500 or more  or no clouds.,,,22.0,4.1,No precipitation,12,,,,
05.04.2020 11:00,14.8,764.3,770.1,-0.2,58,Wind blowing from the north-northeast,5,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.6,20.2,,,2500 or more  or no clouds.,,,13.0,6.6,No precipitation,12,,,,
05.04.2020 08:00,11.4,764.5,770.3,1.4,86,Wind blowing from the north-northeast,5,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.6,20.2,,,2500 or more  or no clouds.,,,8.0,9.1,No precipitation,12,,,,
05.04.2020 05:00,10.9,763.1,768.9,-0.5,94,Wind blowing from the north,5,,9,,Mist. ,,,10.1,20.2,,,2500 or more  or no clouds.,,,4.4,10.0,No precipitation,12,,,,
05.04.2020 02:00,13.3,763.6,769.3,0.4,71,Wind blowing from the north-east,3,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.1,20.2,,,2500 or more  or no clouds.,,,10.0,8.0,No precipitation,12,,,,
04.04.2020 23:00,14.9,763.2,768.9,0.2,59,Wind blowing from the east-northeast,2,,10,,Cloud development not observed or not observable. ,,,10.1,20.2,,,2500 or more  or no clouds.,,,11.0,7.0,No precipitation,12,,,,
04.04.2020 20:00,15.8,763.0,768.7,0.9,60,Wind blowing from the north-northeast,4,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.1,20.2,,,2500 or more  or no clouds.,,,13.0,8.1,No precipitation,12,,,,
04.04.2020 17:00,18.9,762.1,767.8,-0.2,40,Wind blowing from the north-northeast,5,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.1,20.2,,,2500 or more  or no clouds.,,,18.0,5.0,No precipitation,12,,,,
04.04.2020 14:00,20.0,762.3,768.0,-1.1,41,Wind blowing from the north,4,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.1,20.0,,,2500 or more  or no clouds.,,,18.0,6.4,No precipitation,12,,,,
04.04.2020 11:00,17.9,763.4,769.1,0.1,45,Wind blowing from the north-northeast,5,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.1,17.9,,,2500 or more  or no clouds.,,,14.0,5.8,No precipitation,12,,,,
04.04.2020 08:00,12.5,763.3,769.0,1.6,75,Wind blowing from the west-northwest,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.1,17.6,,,2500 or more  or no clouds.,,,12.0,8.2,No precipitation,12,,,,
04.04.2020 05:00,11.7,761.7,767.5,0.0,71,Wind blowing from the north,2,,9,,Cloud development not observed or not observable. ,,,10.2,17.6,,,2500 or more  or no clouds.,,,15.0,6.6,No precipitation,12,,,,
