Local time in Bengbu,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,11.8,761.5,764.1,0.5,67,Wind blowing from the north-east,1,,8,,Cloud development not observed or not observable. ,,,6.1,22.6,,,2500 or more  or no clouds.,,,11.0,5.9,No precipitation,12,,,,
07.04.2020 20:00,15.1,761.0,763.6,0.5,58,Wind blowing from the east-southeast,0,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.1,22.6,,,2500 or more  or no clouds.,,,19.0,6.9,No precipitation,12,,,,
07.04.2020 17:00,20.6,760.5,763.0,-0.9,34,Wind blowing from the south-west,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.1,22.6,,,2500 or more  or no clouds.,,,20.0,4.2,No precipitation,12,,,,
07.04.2020 14:00,22.1,761.4,763.9,-1.6,37,Wind blowing from the west,4,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.1,22.6,,,2500 or more  or no clouds.,,,21.0,6.7,No precipitation,12,,,,
07.04.2020 11:00,19.9,763.0,765.6,0.6,31,Wind blowing from the south-east,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.1,20.1,,,2500 or more  or no clouds.,,,19.0,2.3,No precipitation,12,,,,
07.04.2020 08:00,13.0,762.4,765.0,0.9,65,Wind blowing from the east,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.1,20.0,,,2500 or more  or no clouds.,,,10.0,6.6,No precipitation,12,,,,
07.04.2020 05:00,7.2,761.5,764.1,-0.3,82,Wind blowing from the east-northeast,1,,5,,Cloud development not observed or not observable. ,,,6.4,20.0,,,2500 or more  or no clouds.,,,10.0,4.3,No precipitation,12,,,,
07.04.2020 02:00,8.2,761.8,764.4,-0.8,84,Wind blowing from the east,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.2,20.0,,,2500 or more  or no clouds.,,,14.0,5.7,No precipitation,12,,,,
06.04.2020 23:00,10.8,762.6,765.1,0.8,73,Wind blowing from the east-northeast,3,,7,,Cloud development not observed or not observable. ,,,8.9,20.0,,,2500 or more  or no clouds.,,,16.0,6.2,No precipitation,12,,,,
06.04.2020 20:00,12.5,761.8,764.4,0.6,57,Wind blowing from the south-east,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,20.0,,,2500 or more  or no clouds.,,,24.0,4.2,No precipitation,12,,,,
