Local time in Fuding,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,10.7,762.4,765.8,0.5,62,Wind blowing from the north-northwest,1,,10,,Cloud development not observed or not observable. ,,,10.7,22.1,,,2500 or more  or no clouds.,,,22.0,3.7,No precipitation,12,,,,
07.04.2020 20:00,13.7,761.9,765.3,1.8,40,Wind blowing from the north-northwest,1,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,22.1,,,2500 or more  or no clouds.,,,25.0,0.4,No precipitation,12,,,,
07.04.2020 17:00,19.3,760.1,763.4,0.4,23,Wind blowing from the north-northeast,3,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,22.1,,,2500 or more  or no clouds.,,,29.0,-2.3,No precipitation,12,,,,
07.04.2020 14:00,20.4,759.7,763.0,-1.3,46,Wind blowing from the east-southeast,3,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,22.1,,,2500 or more  or no clouds.,,,21.0,8.4,No precipitation,12,,,,
07.04.2020 11:00,18.7,761.0,764.4,-0.2,53,Wind blowing from the south-east,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,18.9,,,2500 or more  or no clouds.,,,14.0,8.9,No precipitation,12,,,,
07.04.2020 08:00,13.0,761.2,764.6,0.9,75,Wind blowing from the west,1,,3,,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,16.2,,,2500 or more  or no clouds.,,,12.0,8.7,No precipitation,12,,,,
07.04.2020 05:00,11.8,760.3,763.6,-0.3,84,Wind blowing from the west-northwest,1,,4,,Cloud development not observed or not observable. ,,,11.6,16.2,,,2500 or more  or no clouds.,,,11.0,9.2,No precipitation,12,,,,
07.04.2020 02:00,12.1,760.6,764.0,-1.9,80,Wind blowing from the north-northwest,0,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.6,16.2,,,2500 or more  or no clouds.,,,13.0,8.8,No precipitation,12,,,,
06.04.2020 23:00,12.5,762.5,765.9,0.4,73,Wind blowing from the north-west,1,,4,,Cloud development not observed or not observable. ,,,11.6,16.2,,,2500 or more  or no clouds.,,,14.0,7.8,No precipitation,12,,,,
06.04.2020 20:00,13.6,762.1,765.4,1.0,68,Wind blowing from the north,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.6,16.2,,,2500 or more  or no clouds.,,,11.0,7.8,No precipitation,12,,,,
