Local time in Shaowu,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,11.7,744.4,763.9,1.2,90,Wind blowing from the south,1,,4,,Mist. ,,,8.4,23.9,,,2500 or more  or no clouds.,,,5.0,10.1,No precipitation,12,,,,
07.04.2020 20:00,16.1,743.2,762.8,1.4,71,Wind blowing from the south,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.4,23.9,,,2500 or more  or no clouds.,,,9.0,10.8,No precipitation,12,,,,
07.04.2020 17:00,23.1,741.8,761.2,-1.1,32,Wind blowing from the south,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.4,23.9,,,2500 or more  or no clouds.,,,19.0,5.5,No precipitation,12,,,,
07.04.2020 14:00,22.4,742.9,762.3,-2.4,36,Wind blowing from the north-east,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.4,22.7,,,2500 or more  or no clouds.,,,23.0,6.6,No precipitation,12,,,,
07.04.2020 11:00,17.4,745.3,764.9,-0.2,52,Wind blowing from the north-west,1,,2,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.4,17.5,,,2500 or more  or no clouds.,,,13.0,7.5,No precipitation,12,,,,
07.04.2020 08:00,9.1,745.5,765.4,0.8,97,Wind blowing from the north,1,,2,,Fog or ice fog. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.4,17.1,,,2500 or more  or no clouds.,,,1.9,8.6,No precipitation,12,,,,
07.04.2020 05:00,9.0,744.7,764.5,0.0,97,Wind blowing from the west-southwest,1,,5,,Fog or ice fog  sky invisible  no appreciable change during the preceding hour. ,,,8.4,17.1,,,2500 or more  or no clouds.,,,0.3,8.5,No precipitation,12,,,,
07.04.2020 02:00,9.1,744.7,764.3,-1.0,94,Wind blowing from the south,1,,5,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.1,17.1,,,2500 or more  or no clouds.,,,2.8,8.2,No precipitation,12,,,,
06.04.2020 23:00,11.6,745.7,765.4,0.7,87,Wind blowing from the south-west,1,,5,,Mist. ,,,10.0,17.1,,,2500 or more  or no clouds.,,,7.0,9.5,No precipitation,12,,,,
06.04.2020 20:00,12.9,745.0,764.8,0.9,73,Wind blowing from the south-east,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.0,17.1,,,2500 or more  or no clouds.,,,12.0,8.2,No precipitation,12,,,,
06.04.2020 17:00,15.2,744.1,763.8,-0.6,56,Wind blowing from the south-southeast,2,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.0,17.1,,,2500 or more  or no clouds.,,,13.0,6.5,No precipitation,12,,,,
06.04.2020 14:00,17.0,744.7,764.4,-1.5,51,Wind blowing from the east-northeast,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.0,17.1,,,2500 or more  or no clouds.,,,13.0,6.8,No precipitation,12,,,,
06.04.2020 11:00,15.4,746.2,766.0,-0.6,61,Wind blowing from the north,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.0,15.4,,,2500 or more  or no clouds.,,,11.0,7.9,No precipitation,12,,,,
06.04.2020 08:00,11.0,746.8,766.6,0.6,88,Wind blowing from the south-southwest,1,,3,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.0,,,,2500 or more  or no clouds.,,,6.0,9.1,No precipitation,12,,,,
06.04.2020 05:00,10.2,746.2,766.0,-0.8,93,Wind blowing from the south,1,,3,,Mist. ,,,10.0,13.6,,,2500 or more  or no clouds.,,,4.9,9.1,No precipitation,12,,,,
06.04.2020 02:00,10.4,747.0,766.8,-1.3,91,Wind blowing from the west-southwest,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.4,13.6,,,2500 or more  or no clouds.,,,8.0,9.0,No precipitation,12,,,,
05.04.2020 23:00,10.8,748.3,768.1,0.2,89,Wind blowing from the west,1,,4,,Rain  not freezing  intermittent  slight at time of observation. ,,,10.7,13.6,,,2500 or more  or no clouds.,,,8.0,9.1,No precipitation,12,,,,
05.04.2020 20:00,11.2,748.1,768.0,0.7,87,Wind blowing from the west,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.2,13.6,,,2500 or more  or no clouds.,,,9.0,9.1,0.2,12,,,,
05.04.2020 17:00,12.4,747.4,767.2,-0.9,74,Wind blowing from the south-southeast,1,,4,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.1,14.8,,,2500 or more  or no clouds.,,,11.0,7.9,0.2,12,,,,
05.04.2020 14:00,13.4,748.3,768.1,-1.1,66,Wind blowing from the east-southeast,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.1,,,,2500 or more  or no clouds.,,,11.0,7.2,0.2,12,,,,
05.04.2020 11:00,12.9,749.4,769.2,0.8,86,Wind blowing from the north-west,1,,4,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.1,,,,2500 or more  or no clouds.,,,5.0,10.6,0.2,12,,,,
05.04.2020 08:00,12.3,748.6,768.4,1.2,91,Wind blowing from the west-southwest,1,,4,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.1,,,,2500 or more  or no clouds.,,,5.0,10.9,No precipitation,12,,,,
05.04.2020 05:00,12.3,747.4,767.1,-0.6,90,Wind blowing from the north,1,,4,,Mist. ,,,11.7,16.1,,,2500 or more  or no clouds.,,,6.0,10.7,No precipitation,12,,,,
