Local time in Yong'an,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,11.9,740.8,763.9,1.1,93,Wind blowing from the east-southeast,1,,5,,Cloud development not observed or not observable. ,,,10.9,21.8,,,2500 or more  or no clouds.,,,6.0,10.8,No precipitation,12,,,,
07.04.2020 20:00,15.2,739.7,762.9,0.7,79,Wind blowing from the south,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,21.8,,,2500 or more  or no clouds.,,,10.0,11.6,No precipitation,12,,,,
07.04.2020 17:00,21.1,739.0,761.8,-0.7,48,Wind blowing from the west-northwest,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,21.8,,,2500 or more  or no clouds.,,,10.0,9.7,No precipitation,12,,,,
07.04.2020 14:00,18.5,739.7,762.7,-2.2,61,Wind blowing from the east,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,18.8,,,2500 or more  or no clouds.,,,12.0,10.8,0.1,12,,,,
07.04.2020 11:00,14.4,741.9,765.1,0.5,79,Wind blowing from the north-northeast,1,,3,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,14.5,,,2500 or more  or no clouds.,,,5.0,10.8,0.2,12,,,,
07.04.2020 08:00,11.6,741.4,764.8,0.9,97,Wind blowing from the north,0,,3,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,,,,2500 or more  or no clouds.,,,2.9,11.1,0.2,12,,,,
07.04.2020 05:00,10.9,740.5,763.9,-0.3,98,Wind blowing from the east-northeast,1,,3,,Mist. ,,,10.9,,,,2500 or more  or no clouds.,,,0.9,10.6,0.6,12,,,,
07.04.2020 02:00,11.0,740.8,764.1,-1.0,98,Wind blowing from the north-northwest,1,,5,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,13.3,,,2500 or more  or no clouds.,,,1.7,10.7,2.0,12,,,,
06.04.2020 23:00,11.1,741.8,765.1,0.7,98,Wind blowing from the east,0,,,,Fog or ice fog  sky invisible  no appreciable change during the preceding hour. ,,,10.9,13.3,,,2500 or more  or no clouds.,,,0.2,10.8,2.0,12,,,,
06.04.2020 20:00,11.0,741.1,764.4,0.3,97,Wind blowing from the south-southeast,0,,5,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,13.3,,,2500 or more  or no clouds.,,,3.2,10.5,2.0,12,,,,
