Local time in Dunhuang,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,10.0,664.6,760.5,0.5,26,Wind blowing from the south,1,,7,,Haze. ,,,3.1,23.1,,,2500 or more  or no clouds.,,,6.0,-8.6,No precipitation,12,,,,
07.04.2020 20:00,19.5,664.1,760.3,-0.2,10,Wind blowing from the north-east,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.1,23.1,,,2500 or more  or no clouds.,,,28.0,-12.9,No precipitation,12,,,,
07.04.2020 17:00,23.0,664.3,760.0,-1.7,8,Wind blowing from the north,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.1,23.1,,,2500 or more  or no clouds.,,,29.0,-13.0,No precipitation,12,,,,
07.04.2020 14:00,21.0,666.0,761.7,-1.4,10,Wind blowing from the north-east,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.1,21.2,,,2500 or more  or no clouds.,,,25.0,-11.7,No precipitation,12,,,,
07.04.2020 11:00,15.9,667.4,763.6,0.4,14,Wind blowing from the east-northeast,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.1,21.0,,,2500 or more  or no clouds.,,,20.0,-11.5,No precipitation,12,,,,
07.04.2020 08:00,5.0,667.0,763.8,0.4,27,Wind blowing from the north-west,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.2,21.0,,,2500 or more  or no clouds.,,,16.0,-12.4,No precipitation,12,,,,
07.04.2020 05:00,4.1,666.6,763.2,-0.7,38,Wind blowing from the south-southeast,1,,7,,Cloud development not observed or not observable. ,,,2.1,21.0,,,2500 or more  or no clouds.,,,17.0,-9.2,No precipitation,12,,,,
07.04.2020 02:00,7.7,667.3,763.5,0.0,27,Wind blowing from the north,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.1,21.0,,,2500 or more  or no clouds.,,,14.0,-10.1,No precipitation,12,,,,
06.04.2020 23:00,10.8,667.3,763.8,0.7,26,Wind blowing from the south-west,2,,8,,Haze. ,,,2.1,21.0,,,2500 or more  or no clouds.,,,4.8,-7.9,No precipitation,12,,,,
06.04.2020 20:00,18.4,666.6,763.8,0.4,10,Wind blowing from the west,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.1,21.0,,,2500 or more  or no clouds.,,,26.0,-13.7,No precipitation,12,,,,
06.04.2020 17:00,20.0,666.2,762.8,-1.1,9,Wind blowing from the west-northwest,5,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.1,20.9,,,2500 or more  or no clouds.,,,28.0,-13.8,No precipitation,12,,,,
06.04.2020 14:00,19.6,667.3,763.8,-1.2,9,Wind blowing from the west-southwest,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.1,19.9,,,2500 or more  or no clouds.,,,27.0,-14.1,No precipitation,12,,,,
06.04.2020 11:00,14.5,668.5,765.4,0.7,15,Wind blowing from the north-west,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.1,19.6,,,2500 or more  or no clouds.,,,15.0,-11.8,No precipitation,12,,,,
06.04.2020 08:00,2.2,667.8,765.4,1.0,39,Wind blowing from the east-southeast,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.1,19.6,,,2500 or more  or no clouds.,,,15.0,-10.3,No precipitation,12,,,,
06.04.2020 05:00,3.6,666.8,763.7,-0.3,40,Wind blowing from the south-west,2,,10,,Cloud development not observed or not observable. ,,,3.2,19.6,,,2500 or more  or no clouds.,,,13.0,-9.0,No precipitation,12,,,,
06.04.2020 02:00,5.3,667.1,764.0,-0.4,31,Wind blowing from the south-southwest,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.3,19.6,,,2500 or more  or no clouds.,,,12.0,-10.8,No precipitation,12,,,,
05.04.2020 23:00,9.0,667.5,764.5,0.7,25,Wind blowing from the west-northwest,1,,10,,Haze. ,,,4.3,19.6,,,2500 or more  or no clouds.,,,6.0,-9.9,No precipitation,12,,,,
05.04.2020 20:00,16.9,666.8,763.4,0.4,11,Wind blowing from the west,3,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.3,19.6,,,2500 or more  or no clouds.,,,20.0,-13.7,No precipitation,12,,,,
05.04.2020 17:00,19.0,666.4,762.7,-1.2,13,Wind blowing from the west-northwest,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.3,19.6,,,2500 or more  or no clouds.,,,18.0,-10.0,No precipitation,12,,,,
05.04.2020 14:00,17.6,667.6,764.6,-1.5,16,Wind blowing from the north-northwest,4,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.3,18.5,,,2500 or more  or no clouds.,,,18.0,-8.5,No precipitation,12,,,,
05.04.2020 11:00,13.0,669.1,766.6,0.6,17,Wind blowing from the north-east,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.3,18.5,,,2500 or more  or no clouds.,,,14.0,-11.4,No precipitation,12,,,,
05.04.2020 08:00,7.1,668.5,765.7,0.4,25,Wind blowing from the west-northwest,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.4,18.5,,,2500 or more  or no clouds.,,,9.0,-11.5,No precipitation,12,,,,
05.04.2020 05:00,6.2,668.1,764.8,-0.4,23,Wind blowing from the north-northwest,1,,6,,Cloud development not observed or not observable. ,,,1.0,18.5,,,2500 or more  or no clouds.,,,16.0,-13.3,No precipitation,12,,,,
05.04.2020 02:00,5.1,668.5,765.9,-0.7,30,Wind blowing from the south-southeast,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.0,18.5,,,2500 or more  or no clouds.,,,13.0,-11.4,No precipitation,12,,,,
04.04.2020 23:00,8.4,669.2,767.0,0.2,26,Wind blowing from the south-west,1,,6,,Haze. ,,,1.0,18.5,,,2500 or more  or no clouds.,,,3.5,-9.9,No precipitation,12,,,,
04.04.2020 20:00,15.5,669.0,767.0,0.1,11,Wind blowing from the north,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.0,18.5,,,2500 or more  or no clouds.,,,25.0,-14.8,No precipitation,12,,,,
04.04.2020 17:00,18.0,668.9,766.3,-1.3,9,Wind blowing from the west,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.0,18.5,,,2500 or more  or no clouds.,,,27.0,-15.3,No precipitation,12,,,,
04.04.2020 14:00,16.4,670.2,767.9,-1.4,10,Wind blowing from the north-northwest,3,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.0,17.1,,,2500 or more  or no clouds.,,,27.0,-15.3,No precipitation,12,,,,
04.04.2020 11:00,11.2,671.6,769.5,0.4,15,Wind blowing from the north,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.0,17.1,,,2500 or more  or no clouds.,,,19.0,-14.4,No precipitation,12,,,,
04.04.2020 08:00,2.6,671.2,769.9,0.8,31,Wind blowing from the north-northwest,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.8,17.1,,,2500 or more  or no clouds.,,,12.0,-12.8,No precipitation,12,,,,
04.04.2020 05:00,3.4,670.4,768.2,-0.2,24,Wind blowing from the north-east,1,,6,,Cloud development not observed or not observable. ,,,-0.8,17.1,,,2500 or more  or no clouds.,,,21.0,-15.2,No precipitation,12,,,,
04.04.2020 02:00,4.1,670.6,768.7,-0.3,32,Wind blowing from the east-northeast,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.8,17.1,,,2500 or more  or no clouds.,,,13.0,-11.1,No precipitation,12,,,,
03.04.2020 23:00,9.7,670.9,769.1,0.9,18,Wind blowing from the south-southwest,1,,7,,Cloud development not observed or not observable. ,,,-0.8,17.1,,,2500 or more  or no clouds.,,,16.0,-13.4,No precipitation,12,,,,
