Local time in Gaoyao,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,17.6,757.6,763.0,0.9,100,Wind blowing from the west,2,,4,,Cloud development not observed or not observable. ,,,15.0,20.8,,,2500 or more  or no clouds.,,,10.0,17.6,No precipitation,12,,,,
07.04.2020 20:00,18.2,756.7,762.1,0.9,79,Wind blowing from the north,0,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.0,20.8,,,2500 or more  or no clouds.,,,18.0,14.5,No precipitation,12,,,,
07.04.2020 17:00,20.1,755.8,761.2,-0.9,67,Wind blowing from the south-west,0,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.0,20.8,,,2500 or more  or no clouds.,,,30.0,13.7,,,,,,
07.04.2020 14:00,20.2,756.7,762.1,-1.9,72,Wind blowing from the west-southwest,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.0,20.8,,,2500 or more  or no clouds.,,,9.0,14.9,0.1,12,,,,
07.04.2020 11:00,17.7,758.6,764.1,1.0,82,Wind blowing from the west,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.6,17.8,,,2500 or more  or no clouds.,,,30.0,14.5,0.5,12,,,,
07.04.2020 08:00,15.7,757.6,763.0,1.0,99,Wind blowing from the west,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.5,15.7,,,2500 or more  or no clouds.,,,15.0,15.5,0.9,12,,,,
07.04.2020 05:00,15.2,756.6,762.1,-0.7,100,Wind blowing from the west,1,,4,,Mist. ,,,,15.5,,,2500 or more  or no clouds.,,,6.0,15.2,2.0,12,,,,
07.04.2020 02:00,15.1,757.3,762.8,-0.9,100,Wind blowing from the west-northwest,1,,4,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.5,15.5,,,2500 or more  or no clouds.,,,1.6,15.1,3.0,12,,,,
06.04.2020 23:00,15.2,758.2,763.6,1.1,100,Wind blowing from the south,1,,4,,Rain  not freezing  intermittent  slight at time of observation. ,,,14.5,15.5,,,2500 or more  or no clouds.,,,3.8,15.2,11.0,12,,,,
06.04.2020 20:00,15.2,757.1,762.6,0.8,99,Wind blowing from the north-east,2,,8,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.5,15.5,,,2500 or more  or no clouds.,,,4.7,15.0,20.0,12,,,,
06.04.2020 17:00,15.4,756.3,761.8,-1.3,100,Wind blowing from the west-northwest,1,,8,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.5,15.5,,,2500 or more  or no clouds.,,,16.0,15.4,23.0,12,,,,
06.04.2020 14:00,15.0,757.6,763.0,-1.4,100,Wind blowing from the north-northeast,1,,8,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.5,15.5,,,2500 or more  or no clouds.,,,10.0,15.0,22.0,12,,,,
06.04.2020 11:00,14.8,759.0,764.5,-0.1,100,Wind blowing from the south-southeast,3,,,,Rain  not freezing  intermittent  moderate at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.5,15.5,,,2500 or more  or no clouds.,,,0.8,14.8,14.0,12,,,,
06.04.2020 08:00,14.5,759.1,764.6,1.3,100,Wind blowing from the north-west,3,,5,,Rain  not freezing  intermittent  heavy at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.5,15.5,,,2500 or more  or no clouds.,,,0.5,14.5,5.0,12,,,,
06.04.2020 05:00,14.8,757.8,763.3,-1.0,100,Wind blowing from the north-east,1,,,,Rain  not freezing  intermittent  slight at time of observation. ,,,14.4,15.5,,,2500 or more  or no clouds.,,,0.4,14.8,1.0,12,,,,
06.04.2020 02:00,15.3,758.8,764.3,-1.5,100,Wind blowing from the east,1,,4,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,15.5,,,2500 or more  or no clouds.,,,1.0,15.3,3.0,12,,,,
05.04.2020 23:00,15.4,760.3,765.7,0.9,100,Wind blowing from the west,1,,5,,Rain  not freezing  intermittent  slight at time of observation. ,,,,,,,2500 or more  or no clouds.,,,1.0,15.4,6.0,12,,,,
05.04.2020 20:00,15.2,759.4,764.8,1.4,99,Wind blowing from the north-northwest,1,,5,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.4,,,,2500 or more  or no clouds.,,,5.0,15.0,7.0,12,,,,
