Local time in Heyuan,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,18.7,756.7,763.0,1.2,82,Wind blowing from the east,0,,,,Cloud development not observed or not observable. ,,,14.1,22.5,,,2500 or more  or no clouds.,,,30.0,15.5,No precipitation,12,,,,
07.04.2020 20:00,19.9,755.5,761.9,0.9,79,Wind blowing from the west-southwest,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.1,22.5,,,2500 or more  or no clouds.,,,25.0,16.1,No precipitation,12,,,,
07.04.2020 17:00,21.7,754.6,761.0,-0.7,63,Wind blowing from the east,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.1,22.5,,,2500 or more  or no clouds.,,,30.0,14.3,No precipitation,12,,,,
07.04.2020 14:00,21.5,755.3,761.7,-2.5,63,Wind blowing from the east-northeast,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.1,21.9,,,2500 or more  or no clouds.,,,30.0,14.1,0.1,12,,,,
07.04.2020 11:00,19.2,757.8,764.2,0.8,67,Wind blowing from the east-northeast,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.1,19.3,,,2500 or more  or no clouds.,,,30.0,12.9,0.2,12,,,,
07.04.2020 08:00,15.2,757.0,763.5,1.1,91,Wind blowing from the north-northeast,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.1,16.2,,,2500 or more  or no clouds.,,,18.0,13.7,1.0,12,,,,
07.04.2020 05:00,14.3,755.9,762.4,-0.6,93,Wind blowing from the west-northwest,1,,6,,Cloud development not observed or not observable. ,,,14.2,16.2,,,2500 or more  or no clouds.,,,15.0,13.1,3.0,12,,,,
07.04.2020 02:00,14.6,756.5,763.0,-1.0,93,Wind blowing from the north-northeast,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.5,16.2,,,2500 or more  or no clouds.,,,22.0,13.4,6.0,12,,,,
06.04.2020 23:00,14.9,757.5,763.9,0.8,92,Wind blowing from the east-northeast,1,,6,,Cloud development not observed or not observable. ,,,14.5,16.2,,,2500 or more  or no clouds.,,,19.0,13.6,10.0,12,,,,
06.04.2020 20:00,15.0,756.7,763.2,0.6,95,Wind blowing from the east-northeast,2,,6,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.5,16.2,,,2500 or more  or no clouds.,,,11.0,14.2,9.0,12,,,,
06.04.2020 17:00,15.6,756.1,762.6,-0.7,94,Wind blowing from the west,1,,4,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.5,16.2,,,2500 or more  or no clouds.,,,6.0,14.6,8.0,12,,,,
06.04.2020 14:00,16.0,756.8,763.3,-2.3,92,Wind blowing from the north,1,,3,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.5,16.3,,,2500 or more  or no clouds.,,,17.0,14.7,7.0,12,,,,
06.04.2020 11:00,15.2,759.1,765.7,0.7,93,Wind blowing from the west-southwest,2,,4,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.5,16.4,,,2500 or more  or no clouds.,,,25.0,14.0,3.0,12,,,,
06.04.2020 08:00,14.6,758.4,764.9,1.0,97,Wind blowing from the west-southwest,1,,4,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.1,16.4,,,2500 or more  or no clouds.,,,5.0,14.1,3.0,12,,,,
06.04.2020 05:00,14.6,757.4,763.9,-1.0,95,Wind blowing from the north-northwest,1,,4,,Rain (not freezing) not falling as shower(s). ,,,13.9,16.4,,,2500 or more  or no clouds.,,,10.0,13.8,3.0,12,,,,
06.04.2020 02:00,14.9,758.4,764.8,-1.3,94,Wind blowing from the east-northeast,1,,,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.9,16.4,,,2500 or more  or no clouds.,,,7.0,13.9,3.0,12,,,,
05.04.2020 23:00,15.2,759.7,766.2,0.8,91,Wind blowing from the east,1,,4,,Rain (not freezing) not falling as shower(s). ,,,13.9,16.4,,,2500 or more  or no clouds.,,,14.0,13.7,2.0,12,,,,
05.04.2020 20:00,15.2,758.9,765.4,0.9,89,Wind blowing from the east-northeast,2,,5,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.9,16.4,,,2500 or more  or no clouds.,,,26.0,13.4,3.0,12,,,,
05.04.2020 17:00,15.9,758.0,764.5,-1.1,93,Wind blowing from the west-southwest,1,,5,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.9,18.5,,,2500 or more  or no clouds.,,,8.0,14.7,10.0,12,,,,
05.04.2020 14:00,16.3,759.1,765.6,-1.3,87,Wind blowing from the west-northwest,1,,5,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.9,19.4,,,2500 or more  or no clouds.,,,30.0,14.1,9.0,12,,,,
05.04.2020 11:00,16.1,760.4,766.9,0.3,86,Wind blowing from the north,1,,6,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.9,19.4,,,2500 or more  or no clouds.,,,26.0,13.7,9.0,12,,,,
05.04.2020 08:00,14.1,760.1,766.6,0.9,96,Wind blowing from the west-northwest,1,,6,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.9,19.4,,,2500 or more  or no clouds.,,,11.0,13.4,8.0,12,,,,
05.04.2020 05:00,14.5,759.2,765.7,0.1,87,Wind blowing from the west-southwest,2,,7,,Rain  not freezing  intermittent  slight at time of observation. ,,,14.5,19.4,,,2500 or more  or no clouds.,,,25.0,12.3,0.2,12,,,,
05.04.2020 02:00,15.2,759.1,765.5,-1.1,83,Wind blowing from the north-northeast,1,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.2,19.4,,,2500 or more  or no clouds.,,,25.0,12.3,0.1,12,,,,
04.04.2020 23:00,15.7,760.2,766.7,0.8,82,Wind blowing from the east-northeast,2,,9,,Cloud development not observed or not observable. ,,,15.2,19.4,,,2500 or more  or no clouds.,,,25.0,12.6,0.1,12,,,,
04.04.2020 20:00,16.2,759.4,765.8,1.0,82,Wind blowing from the north-east,2,,9,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.2,19.4,,,2500 or more  or no clouds.,,,30.0,13.1,5.0,12,,,,
04.04.2020 17:00,18.5,758.4,764.8,0.2,71,Wind blowing from the north-east,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.2,19.4,,,2500 or more  or no clouds.,,,30.0,13.1,5.0,12,,,,
04.04.2020 14:00,18.5,758.2,764.6,-2.1,82,Wind blowing from the north-east,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.2,18.5,,,2500 or more  or no clouds.,,,22.0,15.3,5.0,12,,,,
04.04.2020 11:00,15.5,760.3,766.8,0.1,95,Wind blowing from the north-east,2,,7,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.2,,,,2500 or more  or no clouds.,,,25.0,14.7,7.0,12,,,,
04.04.2020 08:00,16.1,760.2,766.6,2.9,94,Wind blowing from the east,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.6,,,,2500 or more  or no clouds.,,,25.0,15.1,3.0,12,,,,
04.04.2020 05:00,16.3,757.3,763.8,,95,Wind blowing from the south-west,1,,6,,Rain  not freezing  intermittent  slight at time of observation. ,,,15.9,,,,2500 or more  or no clouds.,,,26.0,15.5,11.0,12,,,,
04.04.2020 02:00,16.5,758.2,764.7,,96,Wind blowing from the east,2,,6,,Rain  not freezing  intermittent  moderate at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.9,,,,,,,5.0,15.8,2.0,6,,,,
03.04.2020 23:00,16.4,758.2,764.7,-0.2,97,Wind blowing from the north,1,,6,,Cloud development not observed or not observable. ,,,15.9,18.6,,,2500 or more  or no clouds.,,,19.0,15.9,17.0,12,,,,
03.04.2020 20:00,16.5,758.4,764.8,1.4,95,Wind blowing from the east,1,,6,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.9,18.6,,,2500 or more  or no clouds.,,,25.0,15.7,17.0,12,,,,
03.04.2020 17:00,16.3,757.0,763.5,-0.3,97,Wind blowing from the east-southeast,2,,4,,Rain  not freezing  intermittent  heavy at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.2,18.6,,,2500 or more  or no clouds.,,,2.0,15.8,9.0,12,,,,
03.04.2020 14:00,17.1,757.3,763.8,-0.9,93,Wind blowing from the west,2,,4,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.8,19.5,,,2500 or more  or no clouds.,,,8.0,15.9,3.0,12,,,,
03.04.2020 11:00,18.1,758.2,764.7,0.3,96,Wind blowing from the east-northeast,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.9,19.5,,,2500 or more  or no clouds.,,,13.0,17.4,2.0,12,,,,
03.04.2020 08:00,17.3,757.9,764.3,1.2,98,Wind blowing from the south-east,1,,4,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,2500 or more  or no clouds.,,,4.6,16.9,3.0,12,,,,
03.04.2020 05:00,17.0,756.7,763.1,-0.9,97,Wind blowing from the west-northwest,2,,4,,Rain (not freezing) not falling as shower(s). ,,,,19.5,,,2500 or more  or no clouds.,,,13.0,16.5,3.0,12,,,,
03.04.2020 02:00,17.2,757.6,764.1,-0.5,98,Wind blowing from the north-west,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,19.5,,,2500 or more  or no clouds.,,,7.0,16.8,3.0,12,,,,
02.04.2020 23:00,16.9,758.1,764.5,0.6,98,Wind blowing from the west,1,,4,,Rain  not freezing  intermittent  slight at time of observation. ,,,13.3,19.5,,,2500 or more  or no clouds.,,,4.1,16.5,2.0,12,,,,
02.04.2020 20:00,17.8,757.5,763.9,1.1,89,Wind blowing from the west-northwest,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.3,19.5,,,2500 or more  or no clouds.,,,19.0,15.9,No precipitation,12,,,,
02.04.2020 17:00,17.9,756.4,762.9,-0.2,85,Wind blowing from the west,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.3,19.5,,,2500 or more  or no clouds.,,,30.0,15.3,No precipitation,12,,,,
02.04.2020 14:00,19.0,756.6,763.0,-1.9,80,Wind blowing from the west-southwest,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.3,19.1,,,2500 or more  or no clouds.,,,30.0,15.4,0.9,12,,,,
02.04.2020 11:00,15.9,758.5,765.1,0.0,88,Wind blowing from the west,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.3,17.8,,,2500 or more  or no clouds.,,,30.0,13.9,1.0,12,,,,
02.04.2020 08:00,13.9,758.5,765.1,0.9,94,Wind blowing from the north-east,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.3,,,,2500 or more  or no clouds.,,,21.0,12.9,1.0,12,,,,
02.04.2020 05:00,13.4,757.6,764.2,0.2,97,Wind blowing from the east-northeast,2,,,,Mist. ,,,13.2,17.8,,,2500 or more  or no clouds.,,,6.0,13.0,1.0,12,,,,
02.04.2020 02:00,13.6,757.4,763.9,-0.2,97,Wind blowing from the north-west,1,,4,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.1,17.8,,,2500 or more  or no clouds.,,,4.0,13.1,0.4,12,,,,
01.04.2020 23:00,14.2,757.6,764.1,0.7,91,Wind blowing from the north-east,1,,5,,Cloud development not observed or not observable. ,,,13.1,17.8,,,2500 or more  or no clouds.,,,10.0,12.7,No precipitation,12,,,,
01.04.2020 20:00,15.1,756.9,763.4,1.3,83,Wind blowing from the north-west,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.1,17.8,,,2500 or more  or no clouds.,,,29.0,12.2,No precipitation,12,,,,
01.04.2020 17:00,16.3,755.6,762.1,-0.6,74,Wind blowing from the east-northeast,2,,6,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.1,17.8,,,2500 or more  or no clouds.,,,30.0,11.6,No precipitation,12,,,,
01.04.2020 14:00,17.2,756.2,762.7,-1.9,71,Wind blowing from the north,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.1,17.8,,,2500 or more  or no clouds.,,,30.0,11.9,0.2,12,,,,
01.04.2020 11:00,15.6,758.1,764.6,-0.1,72,Wind blowing from the east,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.1,15.6,,,2500 or more  or no clouds.,,,30.0,10.5,0.7,12,,,,
01.04.2020 08:00,13.6,758.2,764.7,1.8,81,Wind blowing from the north-east,2,,5,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.3,14.5,,,2500 or more  or no clouds.,,,30.0,10.4,1.0,12,,,,
01.04.2020 05:00,13.2,756.4,763.0,0.0,89,Wind blowing from the north-east,2,,5,,Cloud development not observed or not observable. ,,,12.0,14.5,,,2500 or more  or no clouds.,,,30.0,11.4,3.0,12,,,,
01.04.2020 02:00,13.3,756.4,763.0,-0.4,96,Wind blowing from the north-east,2,,5,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.0,14.5,,,2500 or more  or no clouds.,,,30.0,12.6,3.0,12,,,,
31.03.2020 23:00,13.6,756.8,763.3,1.5,95,Wind blowing from the north-northwest,1,,3,,Rain (not freezing) not falling as shower(s). ,,,,14.5,,,2500 or more  or no clouds.,,,15.0,12.8,3.0,12,,,,
31.03.2020 20:00,14.3,755.3,761.8,1.7,97,Wind blowing from the east,1,,3,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.0,14.5,,,600-1000,,,4.9,13.9,3.0,12,,,,
31.03.2020 17:00,14.5,753.6,760.1,-0.4,97,Wind blowing from the north-east,1,,,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.0,14.5,,,600-1000,,,3.0,14.1,2.0,12,,,,
31.03.2020 14:00,14.1,754.0,760.6,-1.8,95,Wind blowing from the south-southwest,1,,3,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.0,14.1,,,600-1000,,,13.0,13.3,2.0,12,,,,
31.03.2020 11:00,13.8,755.8,762.4,-0.2,91,Wind blowing from the west-southwest,1,,3,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.0,13.8,,,600-1000,,,30.0,12.3,2.0,12,,,,
31.03.2020 08:00,12.3,756.0,762.5,0.8,97,Wind blowing from the east-northeast,1,,,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.0,12.9,,,600-1000,,,7.0,11.9,3.0,12,,,,
31.03.2020 05:00,12.1,755.2,761.7,0.0,97,Wind blowing from the east,1,,4,,Rain  not freezing  intermittent  slight at time of observation. ,,,12.0,13.1,,,2500 or more  or no clouds.,,,5.0,11.6,2.0,12,,,,
31.03.2020 02:00,12.1,755.2,761.8,-0.6,95,Wind blowing from the north-northeast,2,,4,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.0,13.7,,,2500 or more  or no clouds.,,,17.0,11.3,2.0,12,,,,
30.03.2020 23:00,12.2,755.8,762.3,0.9,95,Wind blowing from the north-northeast,1,,4,,Rain  not freezing  intermittent  slight at time of observation. ,,,12.1,,,,2500 or more  or no clouds.,,,13.0,11.4,2.0,12,,,,
30.03.2020 20:00,12.5,754.9,761.4,0.9,96,Wind blowing from the north,1,,5,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.3,,,,600-1000,,,8.0,11.8,2.0,12,,,,
30.03.2020 17:00,12.7,754.0,760.6,-0.6,96,Wind blowing from the north-east,1,,6,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.3,,,,600-1000,,,13.0,12.0,2.0,12,,,,
30.03.2020 14:00,12.7,754.6,761.2,-1.8,94,Wind blowing from the north-northeast,2,,6,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.3,,,,600-1000,,,6.0,11.7,3.0,12,,,,
30.03.2020 11:00,12.7,756.4,762.9,0.8,95,Wind blowing from the north-east,1,,6,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.3,18.5,,,600-1000,,,7.0,11.9,6.0,12,,,,
30.03.2020 08:00,12.5,755.6,762.1,0.7,93,Wind blowing from the east-northeast,2,,6,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.4,18.5,,,600-1000,,,12.0,11.4,5.0,12,,,,
30.03.2020 05:00,13.1,754.9,761.3,0.3,88,Wind blowing from the east-northeast,3,,6,,Rain  not freezing  intermittent  slight at time of observation. ,,,12.8,18.5,,,2500 or more  or no clouds.,,,30.0,11.1,5.0,12,,,,
