Local time in Mei County,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,16.6,752.8,763.2,1.1,92,Wind blowing from the north-northwest,2,,4,,Cloud development not observed or not observable. ,,,13.9,22.0,,,2500 or more  or no clouds.,,,30.0,15.3,No precipitation,12,,,,
07.04.2020 20:00,18.0,751.7,762.1,1.0,80,Wind blowing from the south-southeast,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.9,22.0,,,2500 or more  or no clouds.,,,30.0,14.5,No precipitation,12,,,,
07.04.2020 17:00,21.9,750.7,761.1,-0.8,57,Wind blowing from the south,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.9,22.0,,,2500 or more  or no clouds.,,,30.0,13.0,No precipitation,12,,,,
07.04.2020 14:00,20.3,751.5,761.9,-2.1,65,Wind blowing from the east-northeast,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.7,20.8,,,2500 or more  or no clouds.,,,30.0,13.5,No precipitation,12,,,,
07.04.2020 11:00,18.1,753.6,764.1,0.5,72,Wind blowing from the north-northeast,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.1,18.2,,,2500 or more  or no clouds.,,,30.0,12.9,No precipitation,12,,,,
07.04.2020 08:00,15.1,753.1,763.6,1.1,94,Wind blowing from the north,1,,4,,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.1,15.1,,,2500 or more  or no clouds.,,,20.0,14.1,0.2,12,,,,
07.04.2020 05:00,14.1,752.0,762.5,-0.4,99,Wind blowing from the north-west,1,,4,,Cloud development not observed or not observable. ,,,,14.4,,,2500 or more  or no clouds.,,,6.0,13.9,1.0,12,,,,
07.04.2020 02:00,13.9,752.4,762.9,-1.3,97,Wind blowing from the south-west,1,,4,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,14.5,,,2500 or more  or no clouds.,,,5.0,13.5,4.0,12,,,,
06.04.2020 23:00,14.1,753.7,764.3,0.6,97,Wind blowing from the north-northwest,1,,4,,Rain (not freezing) not falling as shower(s). ,,,13.1,15.0,,,2500 or more  or no clouds.,,,11.0,13.6,12.0,12,,,,
06.04.2020 20:00,14.0,753.1,763.7,0.5,97,Wind blowing from the north,1,,4,,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.1,15.5,,,2500 or more  or no clouds.,,,14.0,13.5,17.0,12,,,,
06.04.2020 17:00,14.2,752.6,763.1,-0.9,96,Wind blowing from the north,1,,5,,Rain  not freezing  intermittent  moderate at time of observation. ,Rain.,Rain.,13.1,15.7,,,2500 or more  or no clouds.,,,6.0,13.5,17.0,12,,,,
06.04.2020 14:00,14.1,753.5,764.1,-1.5,97,Wind blowing from the south,1,,5,,Rain  not freezing  intermittent  moderate at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.1,16.3,,,2500 or more  or no clouds.,,,4.4,13.6,16.0,12,,,,
06.04.2020 11:00,13.1,755.0,765.6,0.7,97,Wind blowing from the north-northwest,2,,5,,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.1,16.3,,,2500 or more  or no clouds.,,,3.7,12.6,8.0,12,,,,
06.04.2020 08:00,13.6,754.3,764.9,0.5,93,Wind blowing from the east,2,,,,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.5,16.3,,,2500 or more  or no clouds.,,,9.0,12.4,3.0,12,,,,
06.04.2020 05:00,13.7,753.8,764.3,-0.8,94,Wind blowing from the north,1,,4,,Rain (not freezing) not falling as shower(s). ,,,13.6,16.3,,,2500 or more  or no clouds.,,,11.0,12.7,2.0,12,,,,
06.04.2020 02:00,14.4,754.6,765.1,-1.1,94,Wind blowing from the north,2,,4,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.1,16.3,,,2500 or more  or no clouds.,,,14.0,13.4,2.0,12,,,,
05.04.2020 23:00,15.0,755.7,766.2,0.7,95,Wind blowing from the north-northwest,1,,4,,Rain  not freezing  intermittent  slight at time of observation. ,,,14.1,16.3,,,2500 or more  or no clouds.,,,15.0,14.2,2.0,12,,,,
05.04.2020 20:00,15.4,755.0,765.5,1.5,95,Wind blowing from the north-northwest,2,,4,,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.1,17.2,,,2500 or more  or no clouds.,,,18.0,14.6,4.0,12,,,,
05.04.2020 17:00,15.7,753.5,764.0,-1.1,95,Wind blowing from the north-east,1,,4,,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.1,18.8,,,2500 or more  or no clouds.,,,10.0,14.9,8.0,12,,,,
05.04.2020 14:00,16.1,754.6,765.1,-1.7,92,Wind blowing from the south-southwest,1,,4,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.1,19.2,,,2500 or more  or no clouds.,,,30.0,14.8,7.0,12,,,,
05.04.2020 11:00,16.0,756.3,766.8,-0.1,94,Wind blowing from the north-northwest,1,,4,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.1,,,,2500 or more  or no clouds.,,,17.0,15.0,7.0,12,,,,
05.04.2020 08:00,14.3,756.4,766.9,2.1,97,Wind blowing from the north-northwest,2,,5,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.1,19.2,,,2500 or more  or no clouds.,,,3.6,13.9,5.0,12,,,,
05.04.2020 05:00,14.4,754.3,764.7,-0.6,94,Wind blowing from the north-northwest,1,,5,,Rain  not freezing  intermittent  slight at time of observation. ,,,14.4,19.2,,,2500 or more  or no clouds.,,,11.0,13.4,0.6,12,,,,
05.04.2020 02:00,15.1,754.9,765.4,-0.7,87,Wind blowing from the west,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.1,19.2,,,2500 or more  or no clouds.,,,30.0,12.9,No precipitation,12,,,,
04.04.2020 23:00,15.6,755.6,766.1,0.6,87,Wind blowing from the north-northwest,3,,5,,Cloud development not observed or not observable. ,,,15.3,19.2,,,2500 or more  or no clouds.,,,30.0,13.4,0.1,12,,,,
04.04.2020 20:00,17.2,755.0,765.5,0.9,83,Wind blowing from the north-northwest,2,,5,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.3,19.2,,,2500 or more  or no clouds.,,,30.0,14.2,3.0,12,,,,
04.04.2020 17:00,18.8,754.1,764.5,-0.4,82,Wind blowing from the south-southwest,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.3,19.2,,,2500 or more  or no clouds.,,,30.0,15.6,3.0,12,,,,
04.04.2020 14:00,17.7,754.5,764.9,0.3,86,Wind blowing from the north-northwest,1,,6,,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.3,18.0,,,2500 or more  or no clouds.,,,30.0,15.3,4.0,12,,,,
04.04.2020 11:00,16.1,754.2,764.6,-1.0,95,Wind blowing from the north-northwest,3,,6,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.3,18.2,,,2500 or more  or no clouds.,,,21.0,15.3,5.0,12,,,,
04.04.2020 08:00,15.5,755.2,765.7,2.6,97,Wind blowing from the north-northwest,3,,6,,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.5,18.2,,,2500 or more  or no clouds.,,,5.0,15.0,2.0,12,,,,
04.04.2020 05:00,16.5,752.6,763.0,-1.4,98,Wind blowing from the west-northwest,1,,5,,Rain  not freezing  intermittent  slight at time of observation. ,,,16.5,18.2,,,2500 or more  or no clouds.,,,7.0,16.1,7.0,12,,,,
04.04.2020 02:00,17.2,754.0,764.5,0.3,98,Wind blowing from the north-northwest,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.9,18.2,,,2500 or more  or no clouds.,,,10.0,16.8,12.0,12,,,,
03.04.2020 23:00,17.4,753.7,764.1,0.4,99,Wind blowing from the south-southeast,2,,5,,Rain (not freezing) not falling as shower(s). ,,,16.9,18.2,,,2500 or more  or no clouds.,,,6.0,17.2,19.0,12,,,,
03.04.2020 20:00,17.5,753.3,763.7,-0.6,99,Wind blowing from the south-southwest,2,,5,,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.9,18.2,,,2500 or more  or no clouds.,,,3.6,17.3,20.0,12,,,,
03.04.2020 17:00,17.8,753.9,764.3,0.0,99,Wind blowing from the north-northwest,2,,5,,Rain  not freezing  intermittent  moderate at time of observation. ,Rain.,Rain.,16.9,18.2,,,2500 or more  or no clouds.,,,4.5,17.6,15.0,12,,,,
03.04.2020 14:00,17.9,753.9,764.3,-1.9,99,Wind blowing from the north,1,,11,,Rain  not freezing  intermittent  moderate at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.9,,,,2500 or more  or no clouds.,,,0.6,17.7,19.0,12,,,,
