Local time in Shantou,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,17.8,763.3,763.6,0.9,56,Wind blowing from the east,3,,7,,Cloud development not observed or not observable. ,,,14.7,21.6,,,2500 or more  or no clouds.,,,30.0,8.9,No precipitation,12,,,,
07.04.2020 20:00,18.1,762.4,762.7,1.5,82,Wind blowing from the east,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.6,21.6,,,2500 or more  or no clouds.,,,18.0,14.9,No precipitation,12,,,,
07.04.2020 17:00,19.9,760.9,761.2,-0.3,73,Wind blowing from the east-southeast,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.5,21.6,,,2500 or more  or no clouds.,,,28.0,14.9,No precipitation,12,,,,
07.04.2020 14:00,20.9,761.2,761.5,-2.0,70,Wind blowing from the east-southeast,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.2,21.6,,,2500 or more  or no clouds.,,,30.0,15.2,0.1,12,,,,
07.04.2020 11:00,20.3,763.2,763.5,0.4,68,Wind blowing from the east-northeast,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.8,20.5,,,2500 or more  or no clouds.,,,30.0,14.2,1.0,12,,,,
07.04.2020 08:00,16.4,762.8,763.1,1.3,99,Wind blowing from the south,1,,2,,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.8,16.4,,,2500 or more  or no clouds.,,,18.0,16.2,4.0,12,,,,
07.04.2020 05:00,15.0,761.5,761.8,-0.5,97,Wind blowing from the east-northeast,1,,3,,Cloud development not observed or not observable. ,,,,15.1,,,2500 or more  or no clouds.,,,10.0,14.5,7.0,12,,,,
07.04.2020 02:00,14.7,762.0,762.3,-1.0,97,Wind blowing from the south-southwest,0,,3,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,14.9,,,2500 or more  or no clouds.,,,8.0,14.3,15.0,12,,,,
06.04.2020 23:00,14.7,763.0,763.3,-0.2,97,Wind blowing from the east-southeast,1,,3,,Rain  not freezing  intermittent  slight at time of observation. ,,,13.2,15.3,,,2500 or more  or no clouds.,,,6.0,14.3,22.0,12,,,,
06.04.2020 20:00,14.7,763.2,763.5,1.2,97,Wind blowing from the west,1,,5,,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Rain.,13.2,,,,2500 or more  or no clouds.,,,11.0,14.2,20.0,12,,,,
06.04.2020 17:00,14.7,762.0,762.3,-1.2,97,Wind blowing from the east,1,,,,Rain  not freezing  intermittent  moderate at time of observation. ,Rain.,Rain.,13.2,,,,2500 or more  or no clouds.,,,6.0,14.2,18.0,12,,,,
06.04.2020 14:00,14.2,763.2,763.5,-1.5,97,Wind blowing from the east,1,,,,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.2,,,,2500 or more  or no clouds.,,,4.1,13.8,12.0,12,,,,
06.04.2020 11:00,14.0,764.7,765.0,-0.1,97,Wind blowing from the east-southeast,1,,5,,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.2,16.5,,,2500 or more  or no clouds.,,,5.0,13.6,4.0,12,,,,
06.04.2020 08:00,14.2,764.8,765.1,0.6,90,Wind blowing from the south-east,1,,4,,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.2,17.3,,,2500 or more  or no clouds.,,,19.0,12.5,4.0,12,,,,
06.04.2020 05:00,13.5,764.2,764.5,-0.1,97,Wind blowing from the south-east,1,,,,Rain  not freezing  intermittent  slight at time of observation. ,,,13.5,17.3,,,2500 or more  or no clouds.,,,7.0,13.1,3.0,12,,,,
06.04.2020 02:00,14.7,764.3,764.6,-1.4,83,Wind blowing from the east,1,,7,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.7,17.3,,,2500 or more  or no clouds.,,,14.0,11.8,0.7,12,,,,
05.04.2020 23:00,15.3,765.7,766.0,0.9,84,Wind blowing from the east-southeast,1,,7,,Rain (not freezing) not falling as shower(s). ,,,15.2,17.7,,,2500 or more  or no clouds.,,,14.0,12.6,2.0,12,,,,
05.04.2020 20:00,16.1,764.8,765.1,0.1,72,Wind blowing from the east,1,,7,,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.3,17.7,,,2500 or more  or no clouds.,,,22.0,11.0,4.0,12,,,,
05.04.2020 17:00,16.4,764.7,765.0,-0.7,76,Wind blowing from the east,1,,7,,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.3,18.0,,,2500 or more  or no clouds.,,,18.0,12.1,4.0,12,,,,
05.04.2020 14:00,15.5,765.4,765.7,-1.3,81,Wind blowing from the east,1,,7,,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.3,19.2,,,2500 or more  or no clouds.,,,9.0,12.2,4.0,12,,,,
05.04.2020 11:00,15.6,766.7,767.0,0.2,82,Wind blowing from the east,2,,9,,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.4,20.5,,,2500 or more  or no clouds.,,,10.0,12.5,2.0,12,,,,
05.04.2020 08:00,17.3,766.5,766.8,2.5,64,Wind blowing from the east,1,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.7,,,,2500 or more  or no clouds.,,,21.0,10.4,0.1,12,,,,
05.04.2020 05:00,16.9,764.0,764.3,-0.8,70,Wind blowing from the east,1,,9,,Cloud development not observed or not observable. ,,,16.9,,,,2500 or more  or no clouds.,,,24.0,11.4,0.1,12,,,,
05.04.2020 02:00,17.4,764.8,765.1,-0.9,62,Wind blowing from the east,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.2,20.5,,,2500 or more  or no clouds.,,,30.0,10.0,0.1,12,,,,
04.04.2020 23:00,17.6,765.7,766.0,0.6,67,Wind blowing from the east,2,,9,,Cloud development not observed or not observable. ,,,17.2,20.5,,,2500 or more  or no clouds.,,,30.0,11.4,0.1,12,,,,
04.04.2020 20:00,17.2,765.1,765.4,1.3,99,Wind blowing from the east,1,,7,,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.2,20.5,,,2500 or more  or no clouds.,,,5.0,17.0,0.2,12,,,,
04.04.2020 17:00,17.9,763.8,764.1,0.2,94,Wind blowing from the east,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.7,21.1,,,2500 or more  or no clouds.,,,12.0,16.9,0.4,12,,,,
04.04.2020 14:00,19.2,763.6,763.9,-1.7,97,Wind blowing from the east,2,,4,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.7,22.7,,,2500 or more  or no clouds.,,,15.0,18.7,0.4,12,,,,
