Local time in Shanwei,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,18.9,761.5,763.1,0.8,81,Wind blowing from the east,2,,6,,Cloud development not observed or not observable. ,,,15.3,22.3,,,2500 or more  or no clouds.,,,30.0,15.5,No precipitation,12,,,,
07.04.2020 20:00,19.1,760.7,762.3,1.3,84,Wind blowing from the east-southeast,3,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.3,22.3,,,2500 or more  or no clouds.,,,30.0,16.3,No precipitation,12,,,,
07.04.2020 17:00,20.2,759.4,760.9,-0.3,78,Wind blowing from the south-east,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.3,22.3,,,2500 or more  or no clouds.,,,30.0,16.2,No precipitation,12,,,,
07.04.2020 14:00,20.9,759.7,761.3,-1.8,72,Wind blowing from the west-southwest,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.1,22.3,,,2500 or more  or no clouds.,,,30.0,15.6,0.1,12,,,,
07.04.2020 11:00,21.0,761.5,763.0,0.8,69,Wind blowing from the north-east,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.9,21.0,,,2500 or more  or no clouds.,,,30.0,15.1,0.4,12,,,,
07.04.2020 08:00,17.1,760.7,762.3,1.0,86,Wind blowing from the east,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.9,17.1,,,2500 or more  or no clouds.,,,30.0,14.7,2.0,12,,,,
07.04.2020 05:00,15.8,759.7,761.2,-0.8,95,Wind blowing from the east,2,,6,,Cloud development not observed or not observable. ,,,14.9,15.9,,,2500 or more  or no clouds.,,,30.0,15.0,7.0,12,,,,
07.04.2020 02:00,15.5,760.5,762.1,-1.0,99,Wind blowing from the east,2,,6,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.9,15.9,,,2500 or more  or no clouds.,,,30.0,15.3,14.0,12,,,,
06.04.2020 23:00,15.6,761.5,763.1,0.8,100,Wind blowing from the east-northeast,2,,6,,Rain (not freezing) not falling as shower(s). ,,,14.9,15.9,,,2500 or more  or no clouds.,,,14.0,15.6,29.0,12,,,,
06.04.2020 20:00,15.3,760.7,762.3,0.7,100,Wind blowing from the east,2,,6,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.9,15.9,,,2500 or more  or no clouds.,,,18.0,15.3,28.0,12,,,,
06.04.2020 17:00,15.5,760.0,761.6,-1.2,100,Wind blowing from the east,2,,6,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.9,16.4,,,2500 or more  or no clouds.,,,11.0,15.5,23.0,12,,,,
06.04.2020 14:00,15.1,761.2,762.8,-1.4,99,Wind blowing from the east-northeast,3,,6,,Rain  not freezing  intermittent  moderate at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.9,16.7,,,2500 or more  or no clouds.,,,7.0,14.9,17.0,12,,,,
06.04.2020 11:00,15.8,762.6,764.2,0.3,95,Wind blowing from the east-northeast,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.9,16.7,,,2500 or more  or no clouds.,,,9.0,15.0,1.0,12,,,,
06.04.2020 08:00,15.1,762.3,763.9,0.3,86,Wind blowing from the east,3,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.9,,,,2500 or more  or no clouds.,,,20.0,12.7,1.0,12,,,,
06.04.2020 05:00,15.0,762.0,763.6,-0.7,95,Wind blowing from the east,3,,,,Rain (not freezing) not falling as shower(s). ,,,14.9,17.6,,,2500 or more  or no clouds.,,,10.0,14.2,1.0,12,,,,
06.04.2020 02:00,15.4,762.7,764.3,-1.0,96,Wind blowing from the east-northeast,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.4,18.3,,,2500 or more  or no clouds.,,,8.0,14.7,0.9,12,,,,
05.04.2020 23:00,15.5,763.7,765.3,0.4,94,Wind blowing from the east-northeast,2,,6,,Rain  not freezing  intermittent  slight at time of observation. ,,,15.4,,,,2500 or more  or no clouds.,,,10.0,14.5,1.0,12,,,,
05.04.2020 20:00,15.7,763.3,764.8,1.2,91,Wind blowing from the north-northeast,1,,7,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.4,,,,2500 or more  or no clouds.,,,12.0,14.2,7.0,12,,,,
05.04.2020 17:00,16.4,762.1,763.6,-1.0,94,Wind blowing from the north-northeast,2,,7,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.4,,,,2500 or more  or no clouds.,,,11.0,15.4,7.0,12,,,,
