Local time in Shaoguan,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,14.2,752.7,763.6,1.4,99,Wind blowing from the south-southeast,3,,6,,Cloud development not observed or not observable. ,,,12.3,22.9,,,2500 or more  or no clouds.,,,9.0,14.0,No precipitation,12,,,,
07.04.2020 20:00,16.6,751.3,762.3,0.9,86,Wind blowing from the south-southeast,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.3,22.9,,,2500 or more  or no clouds.,,,24.0,14.2,No precipitation,12,,,,
07.04.2020 17:00,21.6,750.4,761.3,-1.2,49,Wind blowing from the north-northwest,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.3,22.9,,,2500 or more  or no clouds.,,,30.0,10.4,No precipitation,12,,,,
07.04.2020 14:00,21.9,751.6,762.4,-1.9,54,Wind blowing from the west,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.3,21.9,,,2500 or more  or no clouds.,,,30.0,12.1,No precipitation,12,,,,
07.04.2020 11:00,17.6,753.5,764.5,-0.2,71,Wind blowing from the west,3,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.3,17.7,,,2500 or more  or no clouds.,,,24.0,12.2,No precipitation,12,,,,
07.04.2020 08:00,13.0,753.7,764.7,1.4,100,Wind blowing from the north,0,,3,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.3,14.7,,,2500 or more  or no clouds.,,,6.0,13.0,No precipitation,12,,,,
07.04.2020 05:00,12.4,752.3,763.3,-0.8,100,Wind blowing from the east-southeast,1,,3,,Mist. ,,,12.4,14.7,,,2500 or more  or no clouds.,,,4.9,12.4,No precipitation,12,,,,
07.04.2020 02:00,13.2,753.1,764.2,-0.4,100,Calm  no wind,0,,,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.1,14.7,,,2500 or more  or no clouds.,,,5.0,13.2,No precipitation,12,,,,
06.04.2020 23:00,13.7,753.5,764.5,0.6,100,Wind blowing from the east-northeast,1,,,,Cloud development not observed or not observable. ,,,13.1,14.7,,,2500 or more  or no clouds.,,,12.0,13.7,3.0,12,,,,
06.04.2020 20:00,14.0,752.9,763.9,0.8,97,Wind blowing from the north-northeast,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.1,14.7,,,2500 or more  or no clouds.,,,23.0,13.6,6.0,12,,,,
