Local time in Shenzhen,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,18.8,757.2,762.9,1.1,84,Wind blowing from the east,1,,4,,Cloud development not observed or not observable. ,,,16.0,22.9,,,2500 or more  or no clouds.,,,30.0,16.0,No precipitation,12,,,,
07.04.2020 20:00,19.4,756.1,761.8,0.9,81,Wind blowing from the south-southeast,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.0,22.9,,,2500 or more  or no clouds.,,,9.0,16.0,No precipitation,12,,,,
07.04.2020 17:00,20.5,755.2,760.9,-0.7,76,Wind blowing from the south,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.0,22.9,,,2500 or more  or no clouds.,,,15.0,16.1,No precipitation,12,,,,
07.04.2020 14:00,22.8,755.9,761.5,-1.5,64,Wind blowing from the south,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.9,22.9,,,2500 or more  or no clouds.,,,30.0,15.6,No precipitation,12,,,,
07.04.2020 11:00,18.9,757.4,763.1,0.7,77,Wind blowing from the north,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.9,18.9,,,2500 or more  or no clouds.,,,30.0,14.7,No precipitation,12,,,,
07.04.2020 08:00,16.5,756.7,762.4,1.0,88,Wind blowing from the north,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.9,16.8,,,2500 or more  or no clouds.,,,30.0,14.5,0.2,12,,,,
07.04.2020 05:00,16.1,755.7,761.4,-0.4,91,Wind blowing from the north,1,,6,,Cloud development not observed or not observable. ,,,15.7,16.8,,,2500 or more  or no clouds.,,,30.0,14.6,1.0,12,,,,
07.04.2020 02:00,16.3,756.1,761.8,-1.0,94,Wind blowing from the north-northeast,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.7,16.8,,,2500 or more  or no clouds.,,,30.0,15.3,21.0,12,,,,
06.04.2020 23:00,16.3,757.1,762.8,1.0,98,Wind blowing from the north-northeast,2,,6,,Rain  not freezing  intermittent  slight at time of observation. ,,,15.7,,,,2500 or more  or no clouds.,,,19.0,15.9,36.0,12,,,,
06.04.2020 20:00,16.3,756.1,761.8,1.4,99,Wind blowing from the east-northeast,1,,6,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.7,,,,2500 or more  or no clouds.,,,20.0,16.1,36.0,12,,,,
