Local time in Yangjiang,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,17.2,754.9,763.0,1.1,94,Wind blowing from the north,1,,10,,Rain (not freezing) not falling as shower(s). ,,,,18.5,,,2500 or more  or no clouds.,,,24.0,16.2,No precipitation,12,,,,
07.04.2020 20:00,17.0,753.8,762.0,1.0,92,Wind blowing from the north-east,2,,10,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.0,18.5,,,2500 or more  or no clouds.,,,18.0,15.6,No precipitation,12,,,,
07.04.2020 17:00,17.5,752.8,760.9,-0.7,89,Wind blowing from the north-northeast,4,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.0,18.5,,,2500 or more  or no clouds.,,,30.0,15.6,No precipitation,12,,,,
07.04.2020 14:00,17.7,753.5,761.7,-1.2,92,Wind blowing from the north-east,3,,10,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.0,18.3,,,2500 or more  or no clouds.,,,30.0,16.3,0.1,12,,,,
07.04.2020 11:00,18.2,754.7,762.9,0.4,89,Wind blowing from the north-east,3,,8,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.0,18.2,,,2500 or more  or no clouds.,,,30.0,16.3,2.0,12,,,,
07.04.2020 08:00,15.5,754.3,762.4,1.2,95,Wind blowing from the north-east,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.0,15.8,,,2500 or more  or no clouds.,,,13.0,14.7,3.0,12,,,,
07.04.2020 05:00,15.0,753.1,761.3,-0.6,97,Wind blowing from the east-northeast,4,,9,,Rain  not freezing  intermittent  slight at time of observation. ,,,15.0,15.8,,,2500 or more  or no clouds.,,,15.0,14.5,4.0,12,,,,
07.04.2020 02:00,15.0,753.7,761.9,-0.6,97,Wind blowing from the north-northeast,4,,9,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.0,15.8,,,2500 or more  or no clouds.,,,5.0,14.6,8.0,12,,,,
06.04.2020 23:00,15.5,754.3,762.5,0.9,97,Wind blowing from the north-east,3,,10,,Rain  not freezing  intermittent  slight at time of observation. ,,,15.0,15.8,,,2500 or more  or no clouds.,,,5.0,15.0,27.0,12,,,,
06.04.2020 20:00,15.6,753.4,761.6,0.6,97,Wind blowing from the north-east,5,,10,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.0,15.8,,,2500 or more  or no clouds.,,,7.0,15.2,31.0,12,,,,
06.04.2020 17:00,15.6,752.8,760.9,-0.8,97,Wind blowing from the north,3,,11,,Rain  not freezing  intermittent  moderate at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.0,15.8,,,2500 or more  or no clouds.,,,3.9,15.2,29.0,12,,,,
06.04.2020 14:00,15.1,753.6,761.8,-2.7,97,Wind blowing from the north-east,5,,11,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.0,,,,2500 or more  or no clouds.,,,10.0,14.7,27.0,12,,,,
06.04.2020 11:00,15.8,756.3,764.5,1.7,99,Wind blowing from the north-east,3,,11,,Rain  not freezing  intermittent  heavy at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.0,,,,2500 or more  or no clouds.,,,0.8,15.6,20.0,12,,,,
06.04.2020 08:00,15.1,754.6,762.8,0.6,97,Wind blowing from the east-northeast,5,,11,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.1,,,,2500 or more  or no clouds.,,,3.6,14.6,40.0,12,,,,
06.04.2020 05:00,15.3,754.0,762.1,-1.3,97,Wind blowing from the east-northeast,6,,11,,Cloud development not observed or not observable. ,,,15.1,,,,2500 or more  or no clouds.,,,7.0,14.8,52.0,12,,,,
06.04.2020 02:00,15.2,755.3,763.5,-1.3,99,Wind blowing from the north-east,4,,10,,Rain  not freezing  intermittent  moderate at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.1,17.3,,,2500 or more  or no clouds.,,,1.7,15.0,51.0,12,,,,
05.04.2020 23:00,15.3,756.6,764.8,1.0,99,Wind blowing from the north-east,5,,11,,Rain  not freezing  intermittent  moderate at time of observation. ,,,15.1,17.3,,,2500 or more  or no clouds.,,,2.0,15.1,38.0,12,,,,
05.04.2020 20:00,15.4,755.6,763.8,0.8,97,Wind blowing from the east-northeast,4,,11,,Rain  not freezing  intermittent  moderate at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.1,18.5,,,2500 or more  or no clouds.,,,3.3,15.0,14.0,12,,,,
05.04.2020 17:00,15.5,754.8,763.0,-1.0,97,Wind blowing from the north-east,4,,11,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.1,18.9,,,2500 or more  or no clouds.,,,5.0,15.0,4.0,12,,,,
05.04.2020 14:00,17.0,755.8,764.0,-1.8,93,Wind blowing from the north-east,6,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.1,19.2,,,2500 or more  or no clouds.,,,27.0,15.8,4.0,12,,,,
05.04.2020 11:00,16.0,757.6,765.7,0.9,96,Wind blowing from the north-northeast,4,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.1,19.2,,,2500 or more  or no clouds.,,,26.0,15.3,4.0,12,,,,
05.04.2020 08:00,15.2,756.7,764.9,1.5,96,Wind blowing from the north-east,6,,12,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.2,19.2,,,2500 or more  or no clouds.,,,4.8,14.5,3.0,12,,,,
05.04.2020 05:00,16.1,755.2,763.3,0.0,97,Wind blowing from the east-northeast,5,,12,,Rain  not freezing  intermittent  slight at time of observation. ,,,16.1,19.2,,,2500 or more  or no clouds.,,,1.9,15.7,2.0,12,,,,
05.04.2020 02:00,16.6,755.2,763.3,-1.1,97,Wind blowing from the east-northeast,5,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.6,19.2,,,2500 or more  or no clouds.,,,7.0,16.1,0.2,12,,,,
04.04.2020 23:00,17.3,756.3,764.4,1.0,97,Wind blowing from the north-east,5,,12,,Mist. ,,,17.3,19.2,,,2500 or more  or no clouds.,,,5.0,16.8,0.1,12,,,,
04.04.2020 20:00,18.6,755.3,763.4,0.4,93,Wind blowing from the north-east,5,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.3,19.2,,,2500 or more  or no clouds.,,,15.0,17.4,,,,,,
04.04.2020 17:00,18.7,754.9,763.0,-0.6,94,Wind blowing from the north-east,3,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.3,19.2,,,2500 or more  or no clouds.,,,22.0,17.7,,,,,,
04.04.2020 14:00,18.4,755.5,763.6,-1.4,94,Wind blowing from the north-northeast,4,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.3,,,,2500 or more  or no clouds.,,,17.0,17.4,0.9,12,,,,
04.04.2020 11:00,18.2,756.9,765.0,1.0,95,Wind blowing from the north-east,5,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.3,,,,2500 or more  or no clouds.,,,16.0,17.3,2.0,12,,,,
04.04.2020 08:00,17.8,755.9,764.0,1.0,97,Wind blowing from the east-northeast,5,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.3,,,,2500 or more  or no clouds.,,,14.0,17.3,3.0,12,,,,
04.04.2020 05:00,17.4,754.9,763.0,,98,Wind blowing from the north-east,4,,11,,Rain (not freezing) not falling as shower(s). ,,,17.4,,,,2500 or more  or no clouds.,,,5.0,17.0,4.0,12,,,,
04.04.2020 02:00,18.1,754.9,763.0,,98,Wind blowing from the north-east,5,,11,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.8,21.6,,,,,,5.0,17.7,2.0,6,,,,
03.04.2020 23:00,17.9,755.4,763.5,0.8,98,Wind blowing from the north-northeast,4,,11,,Rain (not freezing) not falling as shower(s). ,,,17.8,21.6,,,2500 or more  or no clouds.,,,9.0,17.5,10.0,12,,,,
03.04.2020 20:00,17.9,754.6,762.7,1.2,98,Wind blowing from the north-east,5,,11,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.9,21.6,,,2500 or more  or no clouds.,,,4.1,17.5,8.0,12,,,,
03.04.2020 17:00,18.8,753.4,761.5,-0.6,98,Wind blowing from the east-northeast,4,,12,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.2,21.6,,,2500 or more  or no clouds.,,,5.0,18.4,7.0,12,,,,
03.04.2020 14:00,20.5,754.0,762.1,-1.5,98,Wind blowing from the north,3,,12,,Rain  not freezing  intermittent  moderate at time of observation. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.2,21.6,,,2500 or more  or no clouds.,,,0.6,20.1,2.0,12,,,,
03.04.2020 11:00,20.9,755.5,763.6,0.4,93,Wind blowing from the north-east,2,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.2,21.0,,,2500 or more  or no clouds.,,,11.0,19.8,No precipitation,12,,,,
03.04.2020 08:00,18.5,755.1,763.2,1.5,97,Wind blowing from the east-northeast,6,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,2500 or more  or no clouds.,,,9.0,18.0,0.5,12,,,,
03.04.2020 05:00,18.4,753.6,761.7,0.2,98,Wind blowing from the east-northeast,5,,11,,Mist. ,,,,,,,2500 or more  or no clouds.,,,1.0,18.0,2.0,12,,,,
03.04.2020 02:00,18.5,753.4,761.5,-1.5,98,Wind blowing from the east-northeast,5,,11,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,19.2,,,2500 or more  or no clouds.,,,3.8,18.1,2.0,12,,,,
02.04.2020 23:00,18.4,754.9,763.0,1.0,98,Wind blowing from the east-northeast,5,,11,,Rain  not freezing  intermittent  slight at time of observation. ,,,,19.2,,,2500 or more  or no clouds.,,,5.0,18.0,2.0,12,,,,
02.04.2020 20:00,18.3,753.9,762.0,1.3,99,Wind blowing from the north-east,4,,10,,Rain  not freezing  intermittent  slight at time of observation. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.9,19.2,,,2500 or more  or no clouds.,,,0.7,18.1,1.0,12,,,,
02.04.2020 17:00,18.4,752.6,760.7,-1.3,98,Wind blowing from the east-northeast,3,,10,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.9,19.2,,,2500 or more  or no clouds.,,,2.0,18.0,0.4,12,,,,
02.04.2020 14:00,18.9,753.9,762.0,-1.3,96,Wind blowing from the north-east,3,,11,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.9,19.2,,,2500 or more  or no clouds.,,,3.9,18.2,0.1,12,,,,
02.04.2020 11:00,18.2,755.2,763.3,0.7,96,Wind blowing from the north-east,3,,11,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.9,18.2,,,2500 or more  or no clouds.,,,5.0,17.5,0.1,12,,,,
02.04.2020 08:00,16.8,754.5,762.7,1.0,97,Wind blowing from the north-east,6,,11,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.6,,,,2500 or more  or no clouds.,,,7.0,16.3,0.1,12,,,,
02.04.2020 05:00,15.9,753.5,761.6,0.0,97,Wind blowing from the north-east,6,,11,,Mist. ,,,15.5,18.2,,,2500 or more  or no clouds.,,,2.6,15.5,No precipitation,12,,,,
02.04.2020 02:00,16.2,753.5,761.6,-0.6,97,Wind blowing from the north-east,4,,11,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.5,18.2,,,2500 or more  or no clouds.,,,3.6,15.7,No precipitation,12,,,,
01.04.2020 23:00,16.2,754.1,762.2,0.8,96,Wind blowing from the north-east,5,,11,,Mist. ,,,15.5,18.2,,,2500 or more  or no clouds.,,,6.0,15.5,No precipitation,12,,,,
01.04.2020 20:00,16.4,753.3,761.5,1.3,94,Wind blowing from the north-east,4,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.5,18.2,,,2500 or more  or no clouds.,,,7.0,15.4,No precipitation,12,,,,
01.04.2020 17:00,17.3,752.0,760.1,-0.5,93,Wind blowing from the north-east,3,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.5,18.3,,,2500 or more  or no clouds.,,,11.0,16.1,,,,,,
