Local time in Beihai,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,18.2,761.1,762.4,1.1,96,Wind blowing from the east-northeast,1,,,,Rain (not freezing) not falling as shower(s). ,,,15.1,19.0,,,2500 or more  or no clouds.,,,5.0,17.6,No precipitation,12,,,,
07.04.2020 20:00,18.4,760.0,761.3,1.0,95,Wind blowing from the north,0,,7,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.1,19.0,,,2500 or more  or no clouds.,,,2.7,17.6,3.0,12,,,,
07.04.2020 17:00,19.0,759.0,760.3,-1.6,86,Wind blowing from the north-east,1,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.1,19.0,,,2500 or more  or no clouds.,,,7.0,16.6,7.0,12,,,,
07.04.2020 14:00,16.9,760.6,761.8,-1.8,92,Wind blowing from the north-west,1,,9,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.1,17.1,,,2500 or more  or no clouds.,,,8.0,15.6,7.0,12,,,,
07.04.2020 11:00,15.8,762.4,763.6,0.8,94,Wind blowing from the north-northwest,2,,9,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.5,15.9,,,2500 or more  or no clouds.,,,7.0,14.8,7.0,12,,,,
07.04.2020 08:00,15.2,761.6,762.9,2.1,97,Wind blowing from the north-east,3,,9,,Rain  not freezing  intermittent  moderate at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.3,15.9,,,2500 or more  or no clouds.,,,2.5,14.7,3.0,12,,,,
07.04.2020 05:00,15.9,759.5,760.8,-1.1,91,Wind blowing from the north-northeast,2,,5,,Rain  not freezing  intermittent  slight at time of observation. ,,,,15.9,,,2500 or more  or no clouds.,,,11.0,14.4,0.1,12,,,,
07.04.2020 02:00,15.9,760.6,761.8,-0.6,92,Wind blowing from the north-northwest,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,15.9,,,2500 or more  or no clouds.,,,9.0,14.6,0.1,12,,,,
06.04.2020 23:00,15.8,761.2,762.4,1.3,92,Wind blowing from the north-northeast,1,,7,,Mist. ,,,14.3,15.9,,,2500 or more  or no clouds.,,,7.0,14.5,3.0,12,,,,
06.04.2020 20:00,15.7,759.9,761.2,0.6,93,Wind blowing from the north-east,1,,7,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.3,15.9,,,2500 or more  or no clouds.,,,8.0,14.6,22.0,12,,,,
06.04.2020 17:00,15.6,759.3,760.6,-1.3,92,Wind blowing from the north,1,,9,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.3,15.9,,,2500 or more  or no clouds.,,,9.0,14.3,27.0,12,,,,
06.04.2020 14:00,15.6,760.6,761.9,-1.9,92,Wind blowing from the north-northeast,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.3,15.6,,,2500 or more  or no clouds.,,,13.0,14.3,27.0,12,,,,
06.04.2020 11:00,14.6,762.5,763.8,0.4,96,Wind blowing from the north-northeast,3,,9,,Shower(s) of hail  with or without rain or rain and snow mixed  not associated with thunder  slight. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.3,15.0,,,2500 or more  or no clouds.,,,0.8,14.0,25.0,12,,,,
06.04.2020 08:00,14.4,762.1,763.3,1.4,96,Wind blowing from the north,2,,9,,Rain  not freezing  intermittent  moderate at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.4,15.1,,,2500 or more  or no clouds.,,,4.4,13.8,6.0,12,,,,
06.04.2020 05:00,14.7,760.7,762.0,-1.1,95,Wind blowing from the north-northeast,2,,7,,Rain  not freezing  intermittent  slight at time of observation. ,,,14.4,15.2,,,2500 or more  or no clouds.,,,4.5,13.9,4.0,12,,,,
06.04.2020 02:00,14.7,761.8,763.0,-1.5,95,Wind blowing from the north-northwest,1,,8,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.4,15.2,,,2500 or more  or no clouds.,,,5.0,13.9,11.0,12,,,,
05.04.2020 23:00,14.5,763.3,764.5,1.1,96,Wind blowing from the north-northeast,2,,10,,Rain  not freezing  intermittent  slight at time of observation. ,,,14.4,,,,2500 or more  or no clouds.,,,4.0,13.9,16.0,12,,,,
05.04.2020 20:00,14.7,762.2,763.5,0.8,96,Wind blowing from the north-east,2,,10,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.4,,,,2500 or more  or no clouds.,,,5.0,14.1,17.0,12,,,,
05.04.2020 17:00,14.8,761.4,762.7,-1.3,96,Wind blowing from the north,3,,10,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.4,,,,2500 or more  or no clouds.,,,4.6,14.2,19.0,12,,,,
