Local time in Guiping,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 20:00,17.7,750.3,762.0,0.8,74,Wind blowing from the north,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.2,19.7,,,2500 or more  or no clouds.,,,20.0,13.0,No precipitation,12,,,,
07.04.2020 17:00,19.0,749.5,761.2,-1.2,73,Wind blowing from the north-northeast,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.2,19.7,,,2500 or more  or no clouds.,,,16.0,14.1,No precipitation,12,,,,
07.04.2020 14:00,19.5,750.7,762.4,-1.2,65,Wind blowing from the north-east,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.2,19.7,,,2500 or more  or no clouds.,,,16.0,12.8,No precipitation,12,,,,
07.04.2020 11:00,18.1,751.9,763.7,-0.1,76,Wind blowing from the east-northeast,5,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.1,18.1,,,2500 or more  or no clouds.,,,14.0,13.8,No precipitation,12,,,,
07.04.2020 08:00,14.5,752.0,763.9,1.7,96,Wind blowing from the south-southwest,1,,9,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.6,15.7,,,2500 or more  or no clouds.,,,3.0,13.9,No precipitation,12,,,,
07.04.2020 05:00,14.3,750.3,762.1,-0.7,94,Wind blowing from the north-northeast,1,,9,,Mist. ,,,13.4,15.7,,,2500 or more  or no clouds.,,,5.0,13.3,0.2,12,,,,
07.04.2020 02:00,15.0,751.0,762.8,,88,Wind blowing from the east-northeast,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.2,15.7,,,2500 or more  or no clouds.,,,18.0,13.0,0.5,12,,,,
06.04.2020 20:00,14.4,750.8,762.7,0.7,95,Wind blowing from the north-east,5,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.2,14.5,,,2500 or more  or no clouds.,,,7.0,13.6,2.0,12,,,,
06.04.2020 17:00,14.3,750.1,761.9,-1.2,94,Wind blowing from the north-northeast,4,,7,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.2,14.5,,,2500 or more  or no clouds.,,,8.0,13.3,12.0,12,,,,
06.04.2020 14:00,14.3,751.3,763.2,-2.0,97,Wind blowing from the east-northeast,3,,6,,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.2,14.6,,,2500 or more  or no clouds.,,,19.0,13.8,15.0,12,,,,
06.04.2020 11:00,14.1,753.3,765.1,0.2,96,Wind blowing from the east-northeast,2,,7,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.2,14.6,,,2500 or more  or no clouds.,,,14.0,13.5,15.0,12,,,,
06.04.2020 08:00,13.7,753.1,764.9,1.0,98,Wind blowing from the west,3,,7,,Rain  not freezing  intermittent  slight at time of observation. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.2,14.6,,,2500 or more  or no clouds.,,,6.0,13.4,14.0,12,,,,
06.04.2020 05:00,13.4,752.1,763.9,-0.5,97,Wind blowing from the east-southeast,2,,7,,Rain  not freezing  intermittent  slight at time of observation. ,,,13.2,14.6,,,2500 or more  or no clouds.,,,0.9,12.9,4.0,12,,,,
06.04.2020 02:00,13.6,752.6,764.5,,97,Wind blowing from the north-east,2,,7,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.5,14.6,,,2500 or more  or no clouds.,,,2.6,13.1,1.0,12,,,,
05.04.2020 20:00,14.0,753.1,765.0,1.0,97,Wind blowing from the east-northeast,2,,9,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.5,15.1,,,2500 or more  or no clouds.,,,6.0,13.5,18.0,12,,,,
05.04.2020 17:00,14.5,752.1,763.9,-1.2,94,Wind blowing from the east,1,,9,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.5,15.3,,,2500 or more  or no clouds.,,,30.0,13.5,19.0,12,,,,
05.04.2020 14:00,14.1,753.3,765.1,-1.6,96,Wind blowing from the east,3,,9,,Rain  not freezing  intermittent  moderate at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.5,,,,2500 or more  or no clouds.,,,5.0,13.5,21.0,12,,,,
05.04.2020 11:00,14.1,754.9,766.8,,97,Wind blowing from the north-east,4,,8,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.5,15.8,,,,,,18.0,13.6,15.0,6,,,,
05.04.2020 08:00,13.9,753.8,765.7,1.0,97,Wind blowing from the north-east,4,,9,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.5,15.8,,,2500 or more  or no clouds.,,,7.0,13.4,4.0,12,,,,
05.04.2020 05:00,13.7,752.8,764.6,-0.9,96,Wind blowing from the east-northeast,4,,9,,Rain  not freezing  intermittent  moderate at time of observation. ,,,13.7,15.8,,,2500 or more  or no clouds.,,,2.7,13.1,3.0,12,,,,
05.04.2020 02:00,14.5,753.7,765.5,,94,Wind blowing from the east,1,,9,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.4,15.8,,,2500 or more  or no clouds.,,,23.0,13.5,1.0,12,,,,
04.04.2020 20:00,14.8,753.1,765.0,0.9,94,Wind blowing from the north-east,3,,7,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.5,,,,2500 or more  or no clouds.,,,7.0,13.8,0.4,12,,,,
04.04.2020 17:00,15.2,752.2,763.9,-0.7,96,Wind blowing from the north-east,2,,7,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.5,,,,2500 or more  or no clouds.,,,3.5,14.6,1.0,12,,,,
04.04.2020 14:00,15.3,752.9,764.7,-1.7,96,Wind blowing from the east,3,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.5,17.0,,,2500 or more  or no clouds.,,,4.8,14.7,1.0,12,,,,
04.04.2020 11:00,14.8,754.6,766.5,0.8,96,Wind blowing from the east,2,,9,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.5,17.0,,,2500 or more  or no clouds.,,,3.7,14.2,2.0,12,,,,
04.04.2020 08:00,14.6,753.8,765.7,1.7,97,Wind blowing from the north-west,2,,10,,Fog or ice fog. ,Rain.,Drizzle.,14.5,17.0,,,2500 or more  or no clouds.,,,3.5,14.1,1.0,12,,,,
04.04.2020 05:00,14.7,752.1,763.9,-0.2,97,Wind blowing from the south-west,1,,10,,Rain  not freezing  intermittent  slight at time of observation. ,,,14.6,17.0,,,2500 or more  or no clouds.,,,1.6,14.2,1.0,12,,,,
04.04.2020 02:00,15.5,752.3,764.1,,93,Wind blowing from the east-northeast,2,,11,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.9,17.2,,,2500 or more  or no clouds.,,,14.0,14.4,1.0,12,,,,
03.04.2020 20:00,15.5,751.3,763.0,1.1,96,Wind blowing from the east,1,,11,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.9,17.7,,,2500 or more  or no clouds.,,,5.0,14.9,20.0,12,,,,
03.04.2020 17:00,16.5,750.2,761.9,-1.4,91,Wind blowing from the north-northeast,5,,11,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.9,17.7,,,2500 or more  or no clouds.,,,29.0,15.0,28.0,12,,,,
03.04.2020 14:00,15.3,751.6,763.4,-1.5,96,Wind blowing from the east-northeast,1,,10,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.9,17.7,,,2500 or more  or no clouds.,,,8.0,14.7,28.0,12,,,,
03.04.2020 11:00,15.3,753.1,764.8,1.2,96,Wind blowing from the north-east,3,,15,,Rain  not freezing  intermittent  moderate at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.0,17.7,,,2500 or more  or no clouds.,,,6.0,14.7,23.0,12,,,,
03.04.2020 08:00,15.1,751.9,763.6,1.8,97,Wind blowing from the east,4,,15,,Rain  not freezing  intermittent  slight at time of observation. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.1,17.7,,,2500 or more  or no clouds.,,,0.8,14.6,10.0,12,,,,
03.04.2020 05:00,15.9,750.1,761.8,-0.3,95,Wind blowing from the east-northeast,4,,15,,Rain  not freezing  intermittent  slight at time of observation. ,,,15.1,17.7,,,2500 or more  or no clouds.,,,14.0,15.1,2.0,12,,,,
03.04.2020 02:00,16.7,750.4,762.1,,89,Wind blowing from the north-northeast,4,,15,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.1,17.7,,,2500 or more  or no clouds.,,,23.0,14.9,2.0,12,,,,
02.04.2020 20:00,15.4,750.3,762.1,0.7,91,Wind blowing from the east-northeast,4,,15,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.1,16.8,,,2500 or more  or no clouds.,,,6.0,13.9,2.0,12,,,,
02.04.2020 17:00,15.3,749.6,761.4,-0.8,97,Wind blowing from the east,4,,16,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.8,16.8,,,2500 or more  or no clouds.,,,1.9,14.8,1.0,12,,,,
02.04.2020 14:00,15.8,750.4,762.1,-1.2,95,Wind blowing from the south-southwest,2,,16,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.8,16.8,,,2500 or more  or no clouds.,,,4.5,15.0,0.7,12,,,,
02.04.2020 11:00,16.6,751.6,763.3,,83,Wind blowing from the north-east,4,,16,, ,,,13.8,16.8,,,,,,30.0,13.7,No precipitation,6,,,,
02.04.2020 08:00,16.4,750.7,762.5,1.0,84,Wind blowing from the north,7,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.8,16.5,,,2500 or more  or no clouds.,,,30.0,13.7,No precipitation,12,,,,
02.04.2020 05:00,15.5,749.7,761.5,-0.5,90,Wind blowing from the north-east,6,,16,,Cloud development not observed or not observable. ,,,13.8,16.2,,,2500 or more  or no clouds.,,,19.0,13.9,0.2,12,,,,
02.04.2020 02:00,16.0,750.2,762.0,,84,Wind blowing from the north-northeast,5,,16,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.8,16.2,,,2500 or more  or no clouds.,,,30.0,13.3,0.4,12,,,,
