Local time in Liuzhou,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 20:00,20.1,734.6,761.6,0.7,62,Wind blowing from the north-northwest,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.1,23.8,,,2500 or more  or no clouds.,,,14.0,12.6,No precipitation,12,,,,
07.04.2020 17:00,23.0,733.9,760.8,-1.5,50,Wind blowing from the west-northwest,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.1,23.8,,,2500 or more  or no clouds.,,,16.0,12.0,0.1,12,,,,
07.04.2020 14:00,22.9,735.4,762.3,-1.5,49,Wind blowing from the north,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.1,23.0,,,2500 or more  or no clouds.,,,16.0,11.6,0.1,12,,,,
07.04.2020 11:00,18.7,736.9,764.0,0.5,67,Wind blowing from the north,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.1,19.1,,,2500 or more  or no clouds.,,,10.0,12.5,0.1,12,,,,
07.04.2020 08:00,13.8,736.4,763.7,1.0,94,Wind blowing from the north,3,,6,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.1,17.6,,,2500 or more  or no clouds.,,,3.3,12.9,0.1,12,,,,
07.04.2020 05:00,13.4,735.4,762.6,-0.6,93,Wind blowing from the north,3,,6,,Mist. ,,,11.7,17.6,,,2500 or more  or no clouds.,,,2.6,12.3,No precipitation,12,,,,
07.04.2020 02:00,14.5,736.0,763.2,,80,Wind blowing from the north-northeast,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.4,17.6,,,2500 or more  or no clouds.,,,8.0,11.1,No precipitation,12,,,,
06.04.2020 20:00,15.4,735.6,763.0,0.9,83,Wind blowing from the east,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.4,17.6,,,2500 or more  or no clouds.,,,9.0,12.5,,,,,,
06.04.2020 17:00,17.0,734.7,761.9,-1.4,69,Wind blowing from the north-east,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.4,17.6,,,2500 or more  or no clouds.,,,12.0,11.3,2.0,12,,,,
06.04.2020 14:00,17.3,736.1,763.4,-2.2,70,Wind blowing from the north-northeast,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.4,17.6,,,2500 or more  or no clouds.,,,13.0,11.8,14.0,12,,,,
06.04.2020 11:00,14.4,738.3,765.8,0.5,92,Wind blowing from the north,2,,8,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.4,14.6,,,2500 or more  or no clouds.,,,4.6,13.1,14.0,12,,,,
06.04.2020 08:00,12.1,737.8,765.4,0.9,98,Wind blowing from the north-west,3,,8,,Rain  not freezing  intermittent  slight at time of observation. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.4,12.7,,,2500 or more  or no clouds.,,,0.1,11.8,13.0,12,,,,
06.04.2020 05:00,11.7,736.9,764.5,-0.3,97,Wind blowing from the north-west,2,,8,,Rain  not freezing  intermittent  slight at time of observation. ,,,11.1,12.7,,,2500 or more  or no clouds.,,,2.2,11.2,12.0,12,,,,
06.04.2020 02:00,12.0,737.2,764.8,,93,Wind blowing from the north-east,4,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.1,12.7,,,2500 or more  or no clouds.,,,4.1,10.9,1.0,12,,,,
05.04.2020 20:00,12.3,738.4,766.0,1.2,98,Wind blowing from the north,2,,6,,Rain  not freezing  intermittent  slight at time of observation. ,Drizzle.,Fog or ice fog or thick haze.,10.8,12.7,,,2500 or more  or no clouds.,,,0.1,12.0,7.0,12,,,,
05.04.2020 17:00,12.4,737.2,764.8,-1.8,98,Wind blowing from the north-northeast,3,,8,,Rain  not freezing  intermittent  slight at time of observation. ,Drizzle.,Fog or ice fog or thick haze.,10.8,12.7,,,2500 or more  or no clouds.,,,0.2,12.1,12.0,12,,,,
05.04.2020 14:00,12.6,739.0,766.7,,98,Wind blowing from the north,3,,9,,Rain  not freezing  intermittent  slight at time of observation. ,Drizzle.,Fog or ice fog or thick haze.,10.8,13.1,,,,,,0.1,12.3,6.0,6,,,,
05.04.2020 11:00,11.8,740.0,767.8,1.0,98,Wind blowing from the north-northwest,2,,10,,Rain  not freezing  intermittent  slight at time of observation. ,Drizzle.,Fog or ice fog or thick haze.,10.8,,,,2500 or more  or no clouds.,,,0.1,11.5,26.0,12,,,,
05.04.2020 08:00,11.4,739.0,766.7,1.2,98,Wind blowing from the north-northeast,2,,13,,Fog or ice fog  sky visible  has begun or has become thicker during the preceding hour. ,Rain.,Drizzle.,10.8,,,,2500 or more  or no clouds.,,,0.1,11.1,32.0,12,,,,
05.04.2020 05:00,11.2,737.8,765.4,-1.5,98,Wind blowing from the north,4,,13,,Rain  not freezing  intermittent  moderate at time of observation. ,,,10.8,13.6,,,2500 or more  or no clouds.,,,0.1,10.9,27.0,12,,,,
05.04.2020 02:00,11.2,739.3,766.9,,98,Wind blowing from the north-northwest,4,,13,,Rain  not freezing  intermittent  slight at time of observation. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.8,13.6,,,2500 or more  or no clouds.,,,0.1,10.9,19.0,12,,,,
04.04.2020 20:00,11.7,739.1,766.8,1.5,98,Wind blowing from the north-northwest,6,,10,,Rain  not freezing  intermittent  slight at time of observation. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.5,13.6,,,2500 or more  or no clouds.,,,less than 0.1,11.4,0.3,12,,,,
04.04.2020 17:00,12.2,737.6,765.2,,97,Wind blowing from the north-east,2,,8,,Fog or ice fog. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.8,13.6,,,,,,2.8,11.7,0.1,6,,,,
04.04.2020 14:00,13.2,738.8,766.4,-1.1,92,Wind blowing from the north,4,,8,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.8,13.6,,,2500 or more  or no clouds.,,,7.0,11.9,2.0,12,,,,
04.04.2020 11:00,13.0,739.9,767.5,0.8,91,Wind blowing from the north,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,13.0,,,2500 or more  or no clouds.,,,30.0,11.6,3.0,12,,,,
04.04.2020 08:00,12.0,739.1,766.7,1.4,98,Wind blowing from the north,4,,8,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.2,12.8,,,2500 or more  or no clouds.,,,5.0,11.7,4.0,12,,,,
04.04.2020 05:00,12.0,737.7,765.2,,98,Calm  no wind,0,,,,Fog or ice fog  sky visible  has begun or has become thicker during the preceding hour. ,,,11.1,12.8,,,,,,0.3,11.7,3.0,6,,,,
04.04.2020 02:00,12.2,737.8,765.4,,98,Wind blowing from the north,5,,11,,Fog or ice fog  sky visible  has begun or has become thicker during the preceding hour. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.1,12.8,,,2500 or more  or no clouds.,,,0.3,11.9,11.0,12,,,,
