Local time in Mengshan,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 20:00,18.9,745.9,762.1,1.1,74,Wind blowing from the east-southeast,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.4,22.8,,,2500 or more  or no clouds.,,,13.0,14.2,No precipitation,12,,,,
07.04.2020 17:00,22.5,744.8,761.0,-1.1,57,Wind blowing from the south-east,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.4,22.8,,,2500 or more  or no clouds.,,,17.0,13.6,,,,,,
07.04.2020 14:00,21.8,745.9,762.1,-1.9,54,Wind blowing from the south-east,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.4,22.2,,,2500 or more  or no clouds.,,,19.0,12.1,0.1,12,,,,
07.04.2020 11:00,18.3,747.8,764.2,0.1,74,Wind blowing from the north-east,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.4,18.3,,,2500 or more  or no clouds.,,,9.0,13.6,0.1,12,,,,
07.04.2020 08:00,12.5,747.7,764.2,1.1,99,Wind blowing from the west-northwest,1,,4,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.4,15.4,,,2500 or more  or no clouds.,,,1.9,12.3,0.1,12,,,,
07.04.2020 05:00,11.4,746.6,763.1,-0.6,98,Wind blowing from the north-west,1,,4,,Fog or ice fog  sky invisible  no appreciable change during the preceding hour. ,,,11.4,15.4,,,2500 or more  or no clouds.,,,0.5,11.1,No precipitation,12,,,,
07.04.2020 02:00,12.6,747.2,763.7,,98,Wind blowing from the west-northwest,1,,5,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.9,15.4,,,2500 or more  or no clouds.,,,1.5,12.3,No precipitation,12,,,,
06.04.2020 20:00,14.3,747.1,763.6,1.0,92,Wind blowing from the north,1,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.9,15.4,,,2500 or more  or no clouds.,,,4.8,13.0,3.0,12,,,,
06.04.2020 17:00,14.9,746.1,762.5,-1.5,85,Wind blowing from the north-west,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.9,15.4,,,2500 or more  or no clouds.,,,10.0,12.4,13.0,12,,,,
06.04.2020 14:00,14.5,747.6,764.1,-1.9,86,Wind blowing from the north-west,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.9,14.7,,,2500 or more  or no clouds.,,,10.0,12.2,22.0,12,,,,
06.04.2020 11:00,13.9,749.5,766.1,0.5,91,Wind blowing from the north-northwest,3,,7,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.9,14.1,,,2500 or more  or no clouds.,,,9.0,12.5,23.0,12,,,,
06.04.2020 08:00,12.2,749.0,765.6,1.4,97,Wind blowing from the north-northwest,1,,7,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.6,12.8,,,2500 or more  or no clouds.,,,6.0,11.7,21.0,12,,,,
