Local time in Qinzhou,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,19.1,757.9,762.4,1.1,80,Wind blowing from the north-northeast,1,,7,,Cloud development not observed or not observable. ,,,14.8,22.7,,,2500 or more  or no clouds.,,,8.0,15.6,No precipitation,12,,,,
07.04.2020 20:00,20.0,756.8,761.3,0.8,79,Wind blowing from the north-northeast,2,,7,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.8,22.7,,,2500 or more  or no clouds.,,,12.0,16.2,No precipitation,12,,,,
07.04.2020 17:00,21.9,756.0,760.5,-1.2,72,Wind blowing from the north-northeast,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.8,22.7,,,2500 or more  or no clouds.,,,13.0,16.6,2.0,12,,,,
07.04.2020 14:00,21.9,757.2,761.7,-2.2,71,Wind blowing from the north,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.8,21.9,,,2500 or more  or no clouds.,,,10.0,16.4,2.0,12,,,,
07.04.2020 11:00,17.6,759.4,763.9,1.2,93,Wind blowing from the north,2,,8,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.8,17.6,,,2500 or more  or no clouds.,,,6.0,16.5,2.0,12,,,,
07.04.2020 08:00,14.9,758.2,762.7,1.4,99,Wind blowing from the north,3,,8,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.4,16.2,,,2500 or more  or no clouds.,,,3.4,14.7,2.0,12,,,,
07.04.2020 05:00,15.7,756.8,761.3,-1.1,94,Wind blowing from the north-northwest,4,,6,,Rain  not freezing  intermittent  slight at time of observation. ,,,,16.2,,,2500 or more  or no clouds.,,,10.0,14.7,No precipitation,12,,,,
07.04.2020 02:00,15.6,757.9,762.4,-0.6,94,Wind blowing from the north-northwest,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,16.2,,,2500 or more  or no clouds.,,,9.0,14.6,No precipitation,12,,,,
06.04.2020 23:00,15.9,758.5,763.0,1.5,91,Wind blowing from the north,1,,9,,Cloud development not observed or not observable. ,,,,16.2,,,2500 or more  or no clouds.,,,10.0,14.4,No precipitation,12,,,,
06.04.2020 20:00,16.1,757.0,761.5,0.4,88,Wind blowing from the north-northeast,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.8,16.2,,,2500 or more  or no clouds.,,,10.0,14.1,No precipitation,12,,,,
06.04.2020 17:00,16.0,756.6,761.1,-1.2,88,Wind blowing from the north-northwest,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.6,16.0,,,2500 or more  or no clouds.,,,10.0,14.0,11.0,12,,,,
