Local time in Wuzhou,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,16.1,752.9,763.3,1.0,93,Wind blowing from the east,1,,2,,Mist. ,,,13.4,17.9,,,2500 or more  or no clouds.,,,4.8,15.0,No precipitation,12,,,,
07.04.2020 20:00,16.7,751.9,762.3,0.5,89,Wind blowing from the east,1,,4,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.4,17.9,,,2500 or more  or no clouds.,,,5.0,14.9,No precipitation,12,,,,
07.04.2020 17:00,17.4,751.4,761.8,-0.8,83,Wind blowing from the south-west,1,,4,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.4,17.9,,,2500 or more  or no clouds.,,,6.0,14.5,No precipitation,12,,,,
07.04.2020 14:00,17.3,752.2,762.7,-1.3,78,Wind blowing from the south-east,1,,4,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.4,17.9,,,2500 or more  or no clouds.,,,7.0,13.4,No precipitation,12,,,,
07.04.2020 11:00,15.7,753.5,763.9,0.4,92,Wind blowing from the north-east,2,,4,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.4,15.8,,,2500 or more  or no clouds.,,,4.3,14.4,No precipitation,12,,,,
07.04.2020 08:00,14.0,753.1,763.6,1.2,97,Wind blowing from the west-southwest,1,,5,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.0,14.4,,,2500 or more  or no clouds.,,,2.1,13.5,0.1,12,,,,
07.04.2020 05:00,13.5,751.9,762.3,-0.8,97,Wind blowing from the north,1,,5,,Fog or ice fog. ,,,12.8,14.4,,,2500 or more  or no clouds.,,,1.3,13.0,0.6,12,,,,
07.04.2020 02:00,13.8,752.7,763.1,-0.9,97,Wind blowing from the north-northeast,1,,5,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.8,14.4,,,2500 or more  or no clouds.,,,0.9,13.3,2.0,12,,,,
06.04.2020 23:00,13.7,753.6,764.1,1.3,95,Wind blowing from the north-east,2,,5,,Rain (not freezing) not falling as shower(s). ,,,12.8,14.4,,,2500 or more  or no clouds.,,,5.0,12.9,6.0,12,,,,
06.04.2020 20:00,13.4,752.3,762.8,0.6,97,Wind blowing from the north-east,3,,6,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.8,14.4,,,2500 or more  or no clouds.,,,3.4,12.9,10.0,12,,,,
06.04.2020 17:00,13.7,751.7,762.1,-1.4,97,Wind blowing from the north-east,2,,8,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.8,14.4,,,2500 or more  or no clouds.,,,2.8,13.2,32.0,12,,,,
06.04.2020 14:00,14.0,753.1,763.6,-1.6,97,Wind blowing from the north-east,2,,8,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.8,14.4,,,2500 or more  or no clouds.,,,1.8,13.5,31.0,12,,,,
06.04.2020 11:00,13.6,754.7,765.2,0.9,97,Wind blowing from the north,1,,8,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.8,13.8,,,2500 or more  or no clouds.,,,0.8,13.1,27.0,12,,,,
06.04.2020 08:00,13.0,753.8,764.3,1.4,97,Wind blowing from the south-east,4,,8,,Rain  not freezing  intermittent  moderate at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.8,14.1,,,2500 or more  or no clouds.,,,1.0,12.5,23.0,12,,,,
06.04.2020 05:00,13.1,752.4,762.9,-2.0,93,Wind blowing from the east-northeast,3,,7,,Cloud development not observed or not observable. ,,,12.8,14.1,,,2500 or more  or no clouds.,,,8.0,12.0,0.4,12,,,,
06.04.2020 02:00,12.9,754.4,764.9,-1.4,96,Wind blowing from the north-northeast,2,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.8,14.1,,,2500 or more  or no clouds.,,,3.6,12.3,4.0,12,,,,
05.04.2020 23:00,13.1,755.8,766.3,1.2,96,Wind blowing from the north,2,,9,,Rain (not freezing) not falling as shower(s). ,,,12.8,14.1,,,2500 or more  or no clouds.,,,2.8,12.5,9.0,12,,,,
05.04.2020 20:00,13.6,754.6,765.1,0.7,91,Wind blowing from the north,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.8,14.3,,,2500 or more  or no clouds.,,,9.0,12.2,9.0,12,,,,
05.04.2020 17:00,13.7,753.9,764.4,-1.3,96,Wind blowing from the north,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.8,14.8,,,2500 or more  or no clouds.,,,8.0,13.1,9.0,12,,,,
05.04.2020 14:00,13.6,755.2,765.7,-1.4,96,Wind blowing from the north,2,,9,,Rain  not freezing  intermittent  moderate at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.8,,,,2500 or more  or no clouds.,,,3.1,13.0,15.0,12,,,,
05.04.2020 11:00,13.5,756.6,767.1,0.9,94,Wind blowing from the north-northeast,3,,9,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.8,15.1,,,2500 or more  or no clouds.,,,8.0,12.6,16.0,12,,,,
05.04.2020 08:00,13.3,755.7,766.2,1.4,92,Wind blowing from the north-northeast,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.8,15.1,,,2500 or more  or no clouds.,,,17.0,12.0,15.0,12,,,,
05.04.2020 05:00,12.9,754.3,764.8,-1.5,97,Wind blowing from the north-northeast,3,,9,,Rain  not freezing  intermittent  slight at time of observation. ,,,12.8,15.1,,,2500 or more  or no clouds.,,,4.7,12.4,15.0,12,,,,
05.04.2020 02:00,13.0,755.8,766.3,0.1,96,Wind blowing from the north-northwest,2,,9,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.0,15.1,,,2500 or more  or no clouds.,,,3.8,12.4,5.0,12,,,,
04.04.2020 23:00,14.0,755.7,766.2,0.9,89,Wind blowing from the north-northeast,4,,9,,Cloud development not observed or not observable. ,,,13.5,15.1,,,2500 or more  or no clouds.,,,12.0,12.2,0.1,12,,,,
04.04.2020 20:00,14.3,754.8,765.3,0.9,89,Wind blowing from the north-east,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.5,15.1,,,2500 or more  or no clouds.,,,13.0,12.5,0.3,12,,,,
04.04.2020 17:00,14.8,753.9,764.3,-0.5,89,Wind blowing from the north-east,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.5,15.4,,,2500 or more  or no clouds.,,,13.0,13.0,6.0,12,,,,
04.04.2020 14:00,15.0,754.4,764.8,-1.6,93,Wind blowing from the north,2,,7,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.5,16.0,,,2500 or more  or no clouds.,,,6.0,13.9,6.0,12,,,,
04.04.2020 11:00,14.6,756.0,766.5,0.5,91,Wind blowing from the north-east,2,,7,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.5,16.0,,,2500 or more  or no clouds.,,,14.0,13.1,6.0,12,,,,
04.04.2020 08:00,13.5,755.5,766.0,1.8,95,Wind blowing from the north-east,3,,7,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.5,16.0,,,2500 or more  or no clouds.,,,7.0,12.7,7.0,12,,,,
04.04.2020 05:00,14.0,753.7,764.1,,92,Wind blowing from the north-northeast,3,,7,,Rain (not freezing) not falling as shower(s). ,,,13.8,16.0,,,2500 or more  or no clouds.,,,12.0,12.7,2.0,12,,,,
04.04.2020 02:00,14.5,753.7,764.1,,93,Wind blowing from the north-east,4,,9,, ,,,13.8,16.0,,,,,,13.0,13.4,2.0,6,,,,
03.04.2020 23:00,14.7,754.8,765.3,2.1,96,Wind blowing from the north-northeast,2,,9,,Rain  not freezing  intermittent  slight at time of observation. ,,,13.8,16.0,,,2500 or more  or no clouds.,,,3.7,14.1,16.0,12,,,,
03.04.2020 20:00,14.8,752.7,763.1,0.3,96,Wind blowing from the north,3,,9,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.8,16.0,,,2500 or more  or no clouds.,,,1.8,14.2,27.0,12,,,,
03.04.2020 17:00,15.1,752.4,762.8,-0.3,97,Wind blowing from the east-northeast,2,,9,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.8,16.0,,,2500 or more  or no clouds.,,,1.8,14.6,27.0,12,,,,
03.04.2020 14:00,16.0,752.7,763.1,-1.7,97,Wind blowing from the north,1,,8,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.8,16.0,,,2500 or more  or no clouds.,,,6.0,15.5,21.0,12,,,,
03.04.2020 11:00,14.0,754.4,764.9,0.4,97,Wind blowing from the east,3,,8,,Rain  not freezing  intermittent  heavy at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.8,15.9,,,2500 or more  or no clouds.,,,1.1,13.5,13.0,12,,,,
03.04.2020 08:00,13.9,754.0,764.5,2.1,96,Wind blowing from the north-west,4,,8,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.8,15.9,,,2500 or more  or no clouds.,,,2.2,13.3,0.9,12,,,,
03.04.2020 05:00,14.7,751.9,762.3,-0.6,97,Wind blowing from the east-northeast,2,,8,,Rain (not freezing) not falling as shower(s). ,,,13.8,15.9,,,2500 or more  or no clouds.,,,2.4,14.2,2.0,12,,,,
03.04.2020 02:00,14.5,752.5,762.9,-0.9,97,Wind blowing from the north-east,3,,8,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.8,15.9,,,2500 or more  or no clouds.,,,5.0,14.0,2.0,12,,,,
02.04.2020 23:00,14.7,753.4,763.9,0.9,96,Wind blowing from the east-northeast,3,,8,,Cloud development not observed or not observable. ,,,13.8,15.9,,,2500 or more  or no clouds.,,,12.0,14.1,2.0,12,,,,
02.04.2020 20:00,13.9,752.5,762.9,1.1,96,Wind blowing from the north-east,2,,8,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.8,15.9,,,2500 or more  or no clouds.,,,5.0,13.3,1.0,12,,,,
02.04.2020 17:00,14.8,751.4,761.8,-0.4,97,Wind blowing from the north-northeast,4,,8,,Rain  not freezing  intermittent  slight at time of observation. ,Drizzle.,Fog or ice fog or thick haze.,13.8,15.9,,,2500 or more  or no clouds.,,,1.1,14.3,0.5,12,,,,
