Local time in Bijie,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 20:00,11.3,637.6,763.6,0.9,77,Wind blowing from the south-southeast,0,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.2,12.9,,,2500 or more  or no clouds.,,,8.0,7.4,No precipitation,12,,,,
07.04.2020 17:00,12.7,636.7,762.2,-1.2,69,Wind blowing from the south,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.2,12.9,,,2500 or more  or no clouds.,,,14.0,7.0,0.4,12,,,,
07.04.2020 14:00,12.2,637.9,763.7,-1.2,69,Wind blowing from the south-southeast,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.2,12.3,,,2500 or more  or no clouds.,,,16.0,6.7,2.0,12,,,,
07.04.2020 11:00,10.5,639.1,765.7,0.8,78,Wind blowing from the east,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.2,10.6,,,2500 or more  or no clouds.,,,11.0,6.8,3.0,12,,,,
07.04.2020 08:00,7.3,638.3,765.3,0.4,94,Wind blowing from the west-southwest,0,,4,,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.3,,,,2500 or more  or no clouds.,,,3.9,6.4,3.0,12,,,,
07.04.2020 05:00,7.5,637.9,764.3,-1.3,94,Wind blowing from the east-northeast,1,,3,,Rain  not freezing  intermittent  slight at time of observation. ,,,5.9,10.6,,,2500 or more  or no clouds.,,,4.2,6.6,2.0,12,,,,
07.04.2020 02:00,7.8,639.2,765.7,,93,Wind blowing from the west-northwest,1,,4,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,10.6,,,2500 or more  or no clouds.,,,8.0,6.7,0.3,12,,,,
06.04.2020 20:00,8.2,638.0,765.2,1.0,90,Wind blowing from the east,1,,4,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,10.6,,,2500 or more  or no clouds.,,,4.1,6.7,No precipitation,12,,,,
06.04.2020 17:00,10.0,637.0,763.6,-1.1,72,Wind blowing from the east-northeast,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,10.6,,,2500 or more  or no clouds.,,,12.0,5.2,No precipitation,12,,,,
06.04.2020 14:00,10.4,638.1,764.6,-1.6,69,Wind blowing from the east,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,10.6,,,2500 or more  or no clouds.,,,19.0,4.8,1.0,12,,,,
06.04.2020 11:00,9.1,639.7,766.7,0.4,74,Wind blowing from the east-northeast,1,,2,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,9.2,,,2500 or more  or no clouds.,,,18.0,4.7,2.0,12,,,,
06.04.2020 08:00,6.3,639.3,766.9,0.5,92,Wind blowing from the west,0,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.8,9.2,,,2500 or more  or no clouds.,,,13.0,5.1,2.0,12,,,,
06.04.2020 05:00,6.6,638.8,766.2,-1.2,92,Wind blowing from the north,1,,3,,Rain (not freezing) not falling as shower(s). ,,,5.8,9.2,,,2500 or more  or no clouds.,,,5.0,5.4,2.0,12,,,,
06.04.2020 02:00,6.9,640.0,767.3,,93,Wind blowing from the east,1,,4,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.8,9.2,,,2500 or more  or no clouds.,,,5.0,5.8,1.0,12,,,,
05.04.2020 20:00,7.4,639.9,767.8,1.1,85,Wind blowing from the north-northeast,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.8,9.2,,,2500 or more  or no clouds.,,,10.0,5.0,No precipitation,12,,,,
05.04.2020 17:00,7.9,638.8,766.3,-1.2,82,Wind blowing from the north,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.8,9.2,,,2500 or more  or no clouds.,,,13.0,5.0,,,,,,
05.04.2020 14:00,8.8,640.0,767.5,-1.7,74,Wind blowing from the east,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.8,9.2,,,2500 or more  or no clouds.,,,24.0,4.4,0.1,12,,,,
05.04.2020 11:00,7.0,641.7,769.9,0.8,85,Wind blowing from the east-northeast,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.8,8.6,,,2500 or more  or no clouds.,,,13.0,4.7,0.1,12,,,,
05.04.2020 08:00,5.8,640.9,769.1,0.6,88,Wind blowing from the north-northwest,2,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.8,,,,2500 or more  or no clouds.,,,10.0,4.0,0.2,12,,,,
05.04.2020 05:00,6.2,640.3,768.1,-1.3,87,Wind blowing from the east-northeast,1,,3,,Cloud development not observed or not observable. ,,,6.2,8.6,,,2500 or more  or no clouds.,,,23.0,4.2,0.1,12,,,,
05.04.2020 02:00,6.3,641.6,769.5,,88,Wind blowing from the west-northwest,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.2,8.6,,,2500 or more  or no clouds.,,,25.0,4.5,,,,,,
04.04.2020 20:00,6.8,640.6,768.4,0.6,91,Wind blowing from the north,1,,4,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,8.6,,,2500 or more  or no clouds.,,,4.6,5.4,No precipitation,12,,,,
04.04.2020 17:00,7.8,640.0,767.5,-0.8,83,Wind blowing from the north-northwest,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.9,10.5,,,2500 or more  or no clouds.,,,14.0,5.1,No precipitation,12,,,,
04.04.2020 14:00,8.5,640.8,768.2,-1.0,76,Wind blowing from the north-northwest,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.9,,,,2500 or more  or no clouds.,,,30.0,4.5,No precipitation,12,,,,
04.04.2020 11:00,8.1,641.8,769.3,0.8,79,Wind blowing from the north-northeast,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.9,,,,2500 or more  or no clouds.,,,30.0,4.7,0.3,12,,,,
04.04.2020 08:00,7.1,641.0,768.5,1.0,85,Wind blowing from the north-northeast,1,,5,,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.9,,,,2500 or more  or no clouds.,,,28.0,4.8,1.0,12,,,,
04.04.2020 05:00,7.1,640.0,766.9,-0.5,87,Wind blowing from the north,1,,5,,Cloud development not observed or not observable. ,,,7.1,11.9,,,2500 or more  or no clouds.,,,30.0,5.1,1.0,12,,,,
04.04.2020 02:00,7.4,640.5,767.1,,91,Wind blowing from the north-west,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.4,11.9,,,2500 or more  or no clouds.,,,19.0,6.0,1.0,12,,,,
03.04.2020 20:00,8.6,638.8,765.7,1.6,91,Wind blowing from the east-northeast,1,,5,,Rain (not freezing) not falling as shower(s). ,Drizzle.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.6,11.9,,,2500 or more  or no clouds.,,,5.0,7.2,No precipitation,12,,,,
03.04.2020 17:00,10.5,637.2,763.3,-0.4,82,Wind blowing from the north-northeast,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.6,11.9,,,2500 or more  or no clouds.,,,11.0,7.6,0.1,12,,,,
03.04.2020 14:00,11.7,637.6,763.5,-1.5,74,Wind blowing from the north-east,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.6,11.7,,,2500 or more  or no clouds.,,,15.0,7.2,0.2,12,,,,
03.04.2020 11:00,8.7,639.1,765.9,0.4,88,Wind blowing from the east,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.6,,,,2500 or more  or no clouds.,,,12.0,6.8,0.2,12,,,,
03.04.2020 08:00,7.8,638.7,765.4,1.2,95,Wind blowing from the east-southeast,1,,3,,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.8,10.8,,,2500 or more  or no clouds.,,,3.0,7.1,0.4,12,,,,
03.04.2020 05:00,8.0,637.5,763.8,-0.6,92,Wind blowing from the east,1,,3,,Mist. ,,,7.9,10.8,,,2500 or more  or no clouds.,,,8.0,6.8,0.3,12,,,,
03.04.2020 02:00,8.1,638.1,764.3,,91,Wind blowing from the east-northeast,1,,3,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.1,10.8,,,2500 or more  or no clouds.,,,5.0,6.7,0.3,12,,,,
02.04.2020 20:00,9.1,637.1,763.2,1.2,88,Wind blowing from the north-northeast,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.1,10.9,,,2500 or more  or no clouds.,,,8.0,7.2,0.4,12,,,,
