Local time in Danzhou,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,19.2,747.1,762.1,1.5,97,Wind blowing from the east-northeast,1,,6,,Mist. ,,,18.9,21.5,,,2500 or more  or no clouds.,,,1.9,18.7,4.0,12,,,,
07.04.2020 20:00,19.8,745.6,760.6,1.5,97,Wind blowing from the east-northeast,2,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.5,21.5,,,2500 or more  or no clouds.,,,1.8,19.3,5.0,12,,,,
07.04.2020 17:00,21.1,744.1,758.9,-2.1,92,Wind blowing from the east,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.4,21.5,,,2500 or more  or no clouds.,,,11.0,19.7,5.0,12,,,,
07.04.2020 14:00,20.5,746.2,761.2,-1.5,92,Wind blowing from the north-northeast,1,,6,,Rain  not freezing  intermittent  moderate at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.4,21.5,,,2500 or more  or no clouds.,,,8.0,19.2,4.0,12,,,,
07.04.2020 11:00,19.8,747.7,762.7,1.4,97,Wind blowing from the north-northeast,1,,5,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.4,20.6,,,2500 or more  or no clouds.,,,2.4,19.3,3.0,12,,,,
07.04.2020 08:00,19.7,746.3,761.3,1.4,98,Wind blowing from the north,1,,5,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.4,,,,2500 or more  or no clouds.,,,1.4,19.4,2.0,12,,,,
07.04.2020 05:00,19.6,744.9,759.8,-0.6,98,Wind blowing from the east-northeast,1,,5,,Mist. ,,,18.4,,,,2500 or more  or no clouds.,,,1.2,19.3,2.0,12,,,,
07.04.2020 02:00,19.1,745.5,760.4,-1.1,97,Wind blowing from the east,1,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.4,,,,2500 or more  or no clouds.,,,4.7,18.6,0.9,12,,,,
06.04.2020 23:00,19.0,746.6,761.5,2.2,97,Wind blowing from the east-northeast,1,,6,,Mist. ,,,18.4,21.9,,,2500 or more  or no clouds.,,,1.8,18.5,0.8,12,,,,
06.04.2020 20:00,18.5,744.4,759.3,-0.3,97,Wind blowing from the south-east,2,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.4,21.9,,,2500 or more  or no clouds.,,,2.9,18.0,,,,,,
