Local time in Dongfang,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,21.3,760.3,761.0,1.3,89,Wind blowing from the north-east,4,,11,,Rain  not freezing  intermittent  slight at time of observation. ,,,20.6,23.2,,,2500 or more  or no clouds.,,,10.0,19.4,0.3,12,,,,
07.04.2020 20:00,21.9,759.0,759.7,1.2,87,Wind blowing from the north-east,5,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.0,23.2,,,2500 or more  or no clouds.,,,15.0,19.6,0.3,12,,,,
07.04.2020 17:00,22.8,757.8,758.5,-1.9,84,Wind blowing from the north,2,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.0,23.2,,,2500 or more  or no clouds.,,,28.0,20.0,0.3,12,,,,
07.04.2020 14:00,21.7,759.7,760.4,-1.0,89,Wind blowing from the north-northeast,4,,14,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.0,23.2,,,2500 or more  or no clouds.,,,30.0,19.8,0.3,12,,,,
07.04.2020 11:00,23.0,760.7,761.5,1.1,79,Wind blowing from the east-northeast,7,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.0,24.0,,,2500 or more  or no clouds.,,,30.0,19.2,No precipitation,12,,,,
07.04.2020 08:00,21.2,759.6,760.3,1.5,89,Wind blowing from the north-northeast,5,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.0,,,,2500 or more  or no clouds.,,,30.0,19.3,0.1,12,,,,
07.04.2020 05:00,20.9,758.1,758.8,-0.6,88,Wind blowing from the north-east,6,,12,,Cloud development not observed or not observable. ,,,20.0,,,,2500 or more  or no clouds.,,,18.0,18.8,0.2,12,,,,
07.04.2020 02:00,20.6,758.7,759.4,-1.1,89,Wind blowing from the north-east,6,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.0,24.0,,,2500 or more  or no clouds.,,,17.0,18.7,2.0,12,,,,
06.04.2020 23:00,20.6,759.8,760.6,1.7,87,Wind blowing from the north-east,5,,12,,Cloud development not observed or not observable. ,,,20.0,24.0,,,2500 or more  or no clouds.,,,19.0,18.4,2.0,12,,,,
06.04.2020 20:00,20.2,758.1,758.8,-0.4,91,Wind blowing from the north-east,4,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.1,24.0,,,2500 or more  or no clouds.,,,14.0,18.7,2.0,12,,,,
06.04.2020 17:00,20.8,758.5,759.2,-0.9,92,Wind blowing from the north-east,4,,12,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.8,26.3,,,2500 or more  or no clouds.,,,5.0,19.5,1.0,12,,,,
06.04.2020 14:00,22.4,759.4,760.2,-1.8,82,Wind blowing from the north-northeast,6,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.0,,,,2500 or more  or no clouds.,,,28.0,19.2,No precipitation,12,,,,
06.04.2020 11:00,22.9,761.2,762.0,0.9,84,Wind blowing from the north-east,6,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.2,,,,2500 or more  or no clouds.,,,25.0,20.1,No precipitation,12,,,,
06.04.2020 08:00,22.9,760.3,761.0,0.9,88,Wind blowing from the north-east,5,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.2,,,,2500 or more  or no clouds.,,,24.0,20.8,No precipitation,12,,,,
06.04.2020 05:00,22.5,759.4,760.2,-0.7,89,Wind blowing from the north-east,5,,11,,Cloud development not observed or not observable. ,,,22.2,28.5,,,2500 or more  or no clouds.,,,22.0,20.6,No precipitation,12,,,,
06.04.2020 02:00,22.3,760.1,760.9,-1.3,87,Wind blowing from the north-east,5,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.2,28.5,,,2500 or more  or no clouds.,,,30.0,20.0,No precipitation,12,,,,
05.04.2020 23:00,22.9,761.4,762.1,1.1,87,Wind blowing from the north-east,3,,11,,Cloud development not observed or not observable. ,,,22.6,28.5,,,2500 or more  or no clouds.,,,30.0,20.6,No precipitation,12,,,,
05.04.2020 20:00,23.6,760.3,761.1,1.2,84,Wind blowing from the north-east,6,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.6,28.5,,,2500 or more  or no clouds.,,,21.0,20.7,No precipitation,12,,,,
05.04.2020 17:00,26.2,759.1,759.8,-0.8,74,Wind blowing from the north-northeast,5,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.6,28.5,,,2500 or more  or no clouds.,,,15.0,21.2,No precipitation,12,,,,
05.04.2020 14:00,28.3,759.9,760.6,-1.9,70,Wind blowing from the north,4,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.6,28.7,,,2500 or more  or no clouds.,,,13.0,22.3,No precipitation,12,,,,
05.04.2020 11:00,26.2,761.8,762.5,0.3,76,Wind blowing from the north,4,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.6,29.9,,,2500 or more  or no clouds.,,,16.0,21.6,No precipitation,12,,,,
05.04.2020 08:00,22.8,761.5,762.3,1.4,90,Wind blowing from the north-east,4,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.6,29.9,,,2500 or more  or no clouds.,,,10.0,21.1,No precipitation,12,,,,
05.04.2020 05:00,23.3,760.1,760.9,-0.4,90,Wind blowing from the north-east,5,,11,,Cloud development not observed or not observable. ,,,23.2,29.9,,,2500 or more  or no clouds.,,,22.0,21.6,No precipitation,12,,,,
05.04.2020 02:00,24.7,760.5,761.2,-0.7,91,Wind blowing from the north-east,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.7,29.9,,,2500 or more  or no clouds.,,,7.0,23.1,No precipitation,12,,,,
04.04.2020 23:00,25.7,761.2,761.9,1.3,85,Wind blowing from the north-east,3,,9,,Cloud development not observed or not observable. ,,,25.3,29.9,,,2500 or more  or no clouds.,,,9.0,23.0,No precipitation,12,,,,
04.04.2020 20:00,25.5,759.9,760.6,0.5,86,Wind blowing from the north-east,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,25.3,29.9,,,2500 or more  or no clouds.,,,8.0,23.0,No precipitation,12,,,,
04.04.2020 17:00,25.8,759.4,760.2,-0.6,84,Wind blowing from the north-northeast,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,25.5,29.9,,,2500 or more  or no clouds.,,,11.0,22.9,No precipitation,12,,,,
04.04.2020 14:00,27.8,760.0,760.8,-1.2,82,Wind blowing from the north,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,25.5,30.7,,,2500 or more  or no clouds.,,,9.0,24.4,No precipitation,12,,,,
04.04.2020 11:00,29.2,761.2,762.0,0.8,72,Wind blowing from the north,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,25.5,30.7,,,2500 or more  or no clouds.,,,12.0,23.6,No precipitation,12,,,,
04.04.2020 08:00,26.7,760.4,761.2,1.3,87,Wind blowing from the east-northeast,2,,9,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,25.5,30.7,,,2500 or more  or no clouds.,,,6.0,24.4,No precipitation,12,,,,
04.04.2020 05:00,25.9,759.1,759.9,,90,Wind blowing from the north-northeast,1,,9,,Cloud development not observed or not observable. ,,,24.7,30.7,,,2500 or more  or no clouds.,,,8.0,24.1,No precipitation,12,,,,
04.04.2020 02:00,25.7,759.4,760.2,,86,Wind blowing from the east,1,,10,, ,,,24.7,30.7,,,,,,8.0,23.2,No precipitation,6,,,,
03.04.2020 23:00,26.7,759.9,760.6,1.6,86,Wind blowing from the north-east,3,,10,,Cloud development not observed or not observable. ,,,24.7,30.7,,,2500 or more  or no clouds.,,,12.0,24.2,No precipitation,12,,,,
03.04.2020 20:00,28.8,758.3,759.1,1.2,74,Wind blowing from the east,3,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.7,30.7,,,2500 or more  or no clouds.,,,21.0,23.7,No precipitation,12,,,,
03.04.2020 17:00,29.5,757.1,757.9,-1.7,73,Wind blowing from the south-southwest,6,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.7,30.7,,,2500 or more  or no clouds.,,,20.0,24.1,No precipitation,12,,,,
03.04.2020 14:00,29.7,758.8,759.6,-1.8,71,Wind blowing from the west,4,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.7,30.4,,,2500 or more  or no clouds.,,,23.0,23.9,No precipitation,12,,,,
03.04.2020 11:00,29.2,760.6,761.3,0.6,69,Wind blowing from the north-northwest,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.7,30.0,,,2500 or more  or no clouds.,,,23.0,22.9,No precipitation,12,,,,
03.04.2020 08:00,25.7,760.0,760.8,2.0,82,Wind blowing from the east,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.7,30.0,,,2500 or more  or no clouds.,,,11.0,22.4,No precipitation,12,,,,
03.04.2020 05:00,24.8,758.0,758.8,0.0,86,Wind blowing from the north-east,2,,10,,Cloud development not observed or not observable. ,,,24.4,30.0,,,2500 or more  or no clouds.,,,14.0,22.3,No precipitation,12,,,,
03.04.2020 02:00,25.4,758.0,758.8,-1.2,88,Wind blowing from the east-northeast,1,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.4,30.0,,,2500 or more  or no clouds.,,,9.0,23.3,No precipitation,12,,,,
02.04.2020 23:00,26.1,759.2,760.0,1.3,86,Wind blowing from the east-southeast,1,,11,,Cloud development not observed or not observable. ,,,24.4,30.0,,,2500 or more  or no clouds.,,,13.0,23.6,No precipitation,12,,,,
02.04.2020 20:00,28.0,757.9,758.7,1.0,79,Wind blowing from the east-northeast,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.4,30.0,,,2500 or more  or no clouds.,,,15.0,24.0,No precipitation,12,,,,
02.04.2020 17:00,29.0,756.9,757.6,-1.5,74,Wind blowing from the south,7,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.4,30.0,,,2500 or more  or no clouds.,,,19.0,23.9,No precipitation,12,,,,
02.04.2020 14:00,29.5,758.4,759.1,-1.9,73,Wind blowing from the south-southwest,5,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.4,30.0,,,2500 or more  or no clouds.,,,16.0,24.1,No precipitation,12,,,,
02.04.2020 11:00,28.3,760.3,761.0,1.2,73,Wind blowing from the north-west,3,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.4,30.5,,,2500 or more  or no clouds.,,,10.0,23.0,No precipitation,12,,,,
02.04.2020 08:00,25.1,759.1,759.8,1.2,87,Wind blowing from the east-northeast,3,,7,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.4,30.6,,,2500 or more  or no clouds.,,,5.0,22.8,No precipitation,12,,,,
02.04.2020 05:00,24.7,757.9,758.6,-0.3,88,Wind blowing from the east-northeast,2,,11,,Mist. ,,,21.9,30.6,,,2500 or more  or no clouds.,,,5.0,22.6,No precipitation,12,,,,
02.04.2020 02:00,25.3,758.2,758.9,-0.4,87,Wind blowing from the north-northeast,2,,11,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.9,30.6,,,2500 or more  or no clouds.,,,7.0,23.0,No precipitation,12,,,,
01.04.2020 23:00,25.4,758.6,759.4,1.9,84,Wind blowing from the north-east,3,,11,,Mist. ,,,21.9,30.6,,,2500 or more  or no clouds.,,,6.0,22.5,No precipitation,12,,,,
01.04.2020 20:00,27.8,756.7,757.5,0.7,79,Wind blowing from the east-southeast,4,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.9,30.6,,,2500 or more  or no clouds.,,,17.0,23.8,No precipitation,12,,,,
01.04.2020 17:00,28.6,756.0,756.7,-1.4,79,Wind blowing from the south-west,5,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.9,30.6,,,2500 or more  or no clouds.,,,18.0,24.6,No precipitation,12,,,,
01.04.2020 14:00,29.3,757.4,758.2,-2.0,71,Wind blowing from the west-southwest,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.9,30.6,,,2500 or more  or no clouds.,,,22.0,23.5,No precipitation,12,,,,
01.04.2020 11:00,30.1,759.4,760.1,0.2,60,Wind blowing from the north-west,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.9,30.6,,,2500 or more  or no clouds.,,,18.0,21.5,No precipitation,12,,,,
01.04.2020 08:00,24.4,759.2,760.0,1.6,82,Wind blowing from the east-northeast,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.9,,,,2500 or more  or no clouds.,,,9.0,21.1,No precipitation,12,,,,
01.04.2020 05:00,21.9,757.6,758.4,-0.1,89,Wind blowing from the east-northeast,4,,9,,Cloud development not observed or not observable. ,,,21.9,28.9,,,2500 or more  or no clouds.,,,10.0,20.0,No precipitation,12,,,,
01.04.2020 02:00,22.1,757.7,758.5,-1.1,89,Wind blowing from the north-east,5,,9,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.1,28.9,,,2500 or more  or no clouds.,,,7.0,20.2,No precipitation,12,,,,
31.03.2020 23:00,22.7,758.8,759.6,1.5,87,Wind blowing from the north-east,3,,9,,Cloud development not observed or not observable. ,,,22.5,28.9,,,2500 or more  or no clouds.,,,7.0,20.4,No precipitation,12,,,,
31.03.2020 20:00,23.1,757.3,758.0,1.3,86,Wind blowing from the north-east,5,,9,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.9,28.9,,,600-1000,,,8.0,20.6,No precipitation,12,,,,
31.03.2020 17:00,26.1,756.0,756.7,-1.3,78,Wind blowing from the north-northeast,5,,9,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.9,28.9,,,600-1000,,,9.0,22.0,No precipitation,12,,,,
31.03.2020 14:00,26.7,757.3,758.1,-1.4,79,Wind blowing from the north,5,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.9,29.3,,,,,,6.0,22.8,No precipitation,12,,,,
31.03.2020 11:00,28.1,758.7,759.4,1.1,72,Wind blowing from the north-northeast,3,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.9,29.3,,,,,,6.0,22.6,No precipitation,12,,,,
31.03.2020 08:00,24.2,757.6,758.3,1.8,88,Wind blowing from the north-east,3,,6,no clouds,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.9,29.3,,,,,,5.0,22.1,No precipitation,12,,,,
31.03.2020 05:00,23.3,755.8,756.6,-0.3,89,Wind blowing from the east-northeast,3,,6,,Mist. ,,,23.3,29.3,,,2500 or more  or no clouds.,,,6.0,21.4,No precipitation,12,,,,
31.03.2020 02:00,23.8,756.1,756.9,-0.4,89,Wind blowing from the east-northeast,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,23.8,29.3,,,2500 or more  or no clouds.,,,8.0,21.9,No precipitation,12,,,,
30.03.2020 23:00,24.9,756.5,757.3,1.2,87,Wind blowing from the north-northeast,1,,8,,Cloud development not observed or not observable. ,,,24.3,29.3,,,2500 or more  or no clouds.,,,10.0,22.6,No precipitation,12,,,,
