Local time in Haikou,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,19.9,755.8,761.5,0.8,97,Wind blowing from the east-northeast,4,,9,,Rain  not freezing  intermittent  slight at time of observation. ,,,19.2,20.2,,,2500 or more  or no clouds.,,,3.4,19.4,3.0,12,,,,
07.04.2020 20:00,19.4,755.0,760.7,1.3,97,Wind blowing from the east-northeast,3,,9,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.2,20.5,,,2500 or more  or no clouds.,,,2.3,18.9,2.0,12,,,,
07.04.2020 17:00,19.5,753.7,759.4,-0.9,95,Wind blowing from the east-northeast,3,,9,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.4,20.5,,,2500 or more  or no clouds.,,,3.9,18.7,3.0,12,,,,
07.04.2020 14:00,19.7,754.6,760.3,-2.0,95,Wind blowing from the east-northeast,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.2,20.5,,,2500 or more  or no clouds.,,,10.0,18.9,2.0,12,,,,
07.04.2020 11:00,20.2,756.6,762.3,1.3,96,Wind blowing from the north-east,4,,9,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.2,,,,2500 or more  or no clouds.,,,7.0,19.5,2.0,12,,,,
07.04.2020 08:00,19.7,755.3,761.0,1.4,97,Wind blowing from the east-northeast,3,,9,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.2,,,,2500 or more  or no clouds.,,,3.6,19.2,3.0,12,,,,
07.04.2020 05:00,19.9,753.9,759.6,-0.7,97,Wind blowing from the east-northeast,4,,10,,Rain  not freezing  intermittent  slight at time of observation. ,,,19.2,,,,2500 or more  or no clouds.,,,2.7,19.4,2.0,12,,,,
07.04.2020 02:00,20.0,754.6,760.3,-0.9,97,Wind blowing from the east-northeast,4,,11,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.2,,,,2500 or more  or no clouds.,,,4.8,19.5,1.0,12,,,,
06.04.2020 23:00,19.9,755.5,761.2,1.3,96,Wind blowing from the north-east,4,,11,,Mist. ,,,19.2,24.7,,,2500 or more  or no clouds.,,,3.7,19.2,3.0,12,,,,
06.04.2020 20:00,20.1,754.2,759.9,0.9,90,Wind blowing from the east-northeast,3,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.2,24.7,,,2500 or more  or no clouds.,,,30.0,18.4,,,,,,
06.04.2020 17:00,19.5,753.3,759.0,-1.6,92,Wind blowing from the east-northeast,6,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.2,24.7,,,2500 or more  or no clouds.,,,15.0,18.2,4.0,12,,,,
06.04.2020 14:00,20.2,754.9,760.6,-1.2,91,Wind blowing from the north-east,5,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.2,24.7,,,2500 or more  or no clouds.,,,23.0,18.7,5.0,12,,,,
06.04.2020 11:00,24.6,756.1,761.7,0.7,90,Wind blowing from the north-northeast,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.4,24.7,,,2500 or more  or no clouds.,,,11.0,22.8,2.0,12,,,,
06.04.2020 08:00,23.2,755.4,761.0,0.8,95,Wind blowing from the east,3,,6,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.1,23.2,,,2500 or more  or no clouds.,,,5.0,22.4,3.0,12,,,,
06.04.2020 05:00,22.7,754.6,760.3,-0.8,97,Wind blowing from the north-east,1,,7,,Mist. ,,,20.8,22.8,,,2500 or more  or no clouds.,,,5.0,22.2,3.0,12,,,,
06.04.2020 02:00,22.2,755.4,761.1,-1.5,97,Wind blowing from the east-northeast,2,,10,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.8,23.7,,,2500 or more  or no clouds.,,,4.5,21.7,3.0,12,,,,
05.04.2020 23:00,22.5,756.9,762.6,1.0,97,Wind blowing from the north-east,2,,12,,Rain (not freezing) not falling as shower(s). ,,,20.8,23.9,,,2500 or more  or no clouds.,,,5.0,22.0,3.0,12,,,,
05.04.2020 20:00,22.6,755.9,761.6,0.9,96,Wind blowing from the east-northeast,2,,12,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.8,23.9,,,2500 or more  or no clouds.,,,3.1,21.9,1.0,12,,,,
05.04.2020 17:00,21.9,755.0,760.7,-1.2,95,Wind blowing from the east-northeast,4,,12,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.8,,,,2500 or more  or no clouds.,,,7.0,21.1,1.0,12,,,,
05.04.2020 14:00,21.4,756.2,761.9,-1.7,95,Wind blowing from the east-northeast,4,,12,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.8,26.1,,,2500 or more  or no clouds.,,,3.4,20.6,2.0,12,,,,
05.04.2020 11:00,22.0,757.9,763.6,0.6,88,Wind blowing from the east-northeast,6,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.8,27.2,,,2500 or more  or no clouds.,,,30.0,19.9,2.0,12,,,,
05.04.2020 08:00,21.0,757.3,763.0,1.8,93,Wind blowing from the east-northeast,5,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.8,27.2,,,2500 or more  or no clouds.,,,13.0,19.8,3.0,12,,,,
05.04.2020 05:00,22.0,755.5,761.2,-0.4,96,Wind blowing from the north-east,4,,8,,Rain  not freezing  intermittent  slight at time of observation. ,,,22.0,27.2,,,2500 or more  or no clouds.,,,5.0,21.3,3.0,12,,,,
05.04.2020 02:00,23.7,755.9,761.5,-0.8,96,Wind blowing from the north-east,2,,9,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,23.3,27.2,,,2500 or more  or no clouds.,,,4.9,23.0,0.9,12,,,,
04.04.2020 23:00,23.7,756.7,762.4,1.2,94,Wind blowing from the north-east,2,,9,,Cloud development not observed or not observable. ,,,23.3,27.2,,,2500 or more  or no clouds.,,,8.0,22.7,0.6,12,,,,
04.04.2020 20:00,23.8,755.5,761.2,0.5,94,Wind blowing from the east-northeast,4,,9,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,23.8,27.2,,,2500 or more  or no clouds.,,,4.8,22.8,0.4,12,,,,
04.04.2020 17:00,25.8,755.0,760.6,-0.8,83,Wind blowing from the east,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,23.8,,,,2500 or more  or no clouds.,,,20.0,22.7,No precipitation,12,,,,
04.04.2020 14:00,25.7,755.8,761.5,-1.2,83,Wind blowing from the east-northeast,5,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,23.8,,,,2500 or more  or no clouds.,,,15.0,22.6,No precipitation,12,,,,
04.04.2020 11:00,25.6,757.0,762.6,0.4,83,Wind blowing from the east,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,23.8,,,,2500 or more  or no clouds.,,,17.0,22.5,No precipitation,12,,,,
04.04.2020 08:00,23.9,756.6,762.2,1.7,90,Wind blowing from the east,4,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,23.8,32.3,,,2500 or more  or no clouds.,,,11.0,22.2,No precipitation,12,,,,
04.04.2020 05:00,24.0,754.9,760.5,-0.3,91,Wind blowing from the east,4,,10,,Cloud development not observed or not observable. ,,,24.0,32.3,,,2500 or more  or no clouds.,,,11.0,22.4,No precipitation,12,,,,
04.04.2020 02:00,24.8,755.2,760.7,-0.6,89,Wind blowing from the east,2,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.4,32.3,,,2500 or more  or no clouds.,,,19.0,22.9,No precipitation,12,,,,
03.04.2020 23:00,26.0,755.8,761.3,1.9,85,Wind blowing from the east,3,,10,,Cloud development not observed or not observable. ,,,24.4,32.3,,,2500 or more  or no clouds.,,,26.0,23.3,No precipitation,12,,,,
03.04.2020 20:00,27.0,753.9,759.5,1.1,75,Wind blowing from the south-east,6,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.4,32.3,,,2500 or more  or no clouds.,,,30.0,22.2,No precipitation,12,,,,
03.04.2020 17:00,30.4,752.8,758.4,-1.2,60,Wind blowing from the south-southeast,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.4,32.3,,,2500 or more  or no clouds.,,,30.0,21.8,No precipitation,12,,,,
03.04.2020 14:00,31.2,754.0,759.5,-2.2,57,Wind blowing from the south-east,5,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.4,32.3,,,2500 or more  or no clouds.,,,30.0,21.7,No precipitation,12,,,,
