Local time in Qionghai,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,21.0,758.9,761.1,1.0,96,Wind blowing from the north-west,2,,6,,Rain  not freezing  intermittent  slight at time of observation. ,,,20.4,22.3,,,2500 or more  or no clouds.,,,7.0,20.3,6.0,12,,,,
07.04.2020 20:00,21.4,757.9,760.0,0.9,96,Wind blowing from the north,2,,6,,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.3,22.3,,,2500 or more  or no clouds.,,,3.2,20.7,5.0,12,,,,
07.04.2020 17:00,21.6,757.0,759.1,-0.9,95,Wind blowing from the north-northwest,2,,6,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,22.3,,,2500 or more  or no clouds.,,,3.8,20.8,4.0,12,,,,
07.04.2020 14:00,22.0,757.9,760.1,-1.3,95,Wind blowing from the north,3,,6,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.3,,,,2500 or more  or no clouds.,,,4.3,21.2,4.0,12,,,,
07.04.2020 11:00,22.3,759.2,761.4,0.9,94,Wind blowing from the north,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.3,,,,2500 or more  or no clouds.,,,9.0,21.3,0.9,12,,,,
07.04.2020 08:00,21.8,758.3,760.5,1.4,96,Wind blowing from the north,2,,8,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.3,,,,2500 or more  or no clouds.,,,6.0,21.1,0.4,12,,,,
07.04.2020 05:00,21.7,756.9,759.1,-0.7,96,Wind blowing from the north-northwest,2,,8,,Cloud development not observed or not observable. ,,,20.3,,,,2500 or more  or no clouds.,,,8.0,21.0,0.2,12,,,,
07.04.2020 02:00,20.7,757.6,759.7,-0.6,95,Wind blowing from the north-northwest,3,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.3,27.3,,,2500 or more  or no clouds.,,,9.0,19.9,0.2,12,,,,
06.04.2020 23:00,20.5,758.2,760.4,0.4,95,Wind blowing from the north-west,2,,13,,Mist. ,,,20.3,27.3,,,2500 or more  or no clouds.,,,4.7,19.7,0.7,12,,,,
06.04.2020 20:00,20.4,757.8,760.0,1.3,95,Wind blowing from the north-west,2,,13,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.4,27.3,,,2500 or more  or no clouds.,,,3.4,19.6,9.0,12,,,,
