Local time in Sanya (weather station),T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,21.2,724.4,760.3,1.0,100,Wind blowing from the north-east,9,,12,,Cloud development not observed or not observable. ,,,21.0,24.6,,,2500 or more  or no clouds.,,,23.0,21.2,3.0,12,,,,
07.04.2020 20:00,21.3,723.4,759.4,1.0,100,Wind blowing from the east,4,,6,,Fog or ice fog  sky invisible  no appreciable change during the preceding hour. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.0,24.6,,,2500 or more  or no clouds.,,,0.1,21.3,3.0,12,,,,
07.04.2020 17:00,22.2,722.4,758.3,-1.4,100,Wind blowing from the north-east,3,,5,,Rain  not freezing  intermittent  heavy at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.0,25.3,,,2500 or more  or no clouds.,,,1.6,22.2,3.0,12,,,,
07.04.2020 14:00,22.7,723.8,759.7,-1.1,89,Wind blowing from the south-southwest,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.0,,,,2500 or more  or no clouds.,,,30.0,20.8,0.4,12,,,,
07.04.2020 11:00,23.8,724.9,760.9,0.9,94,Wind blowing from the south,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.0,,,,2500 or more  or no clouds.,,,30.0,22.8,0.4,12,,,,
07.04.2020 08:00,21.5,724.0,760.0,1.2,97,Wind blowing from the east,2,,6,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.0,,,,2500 or more  or no clouds.,,,30.0,21.0,0.4,12,,,,
07.04.2020 05:00,21.8,722.8,758.5,-0.3,100,Wind blowing from the west,1,,6,,Fog or ice fog  sky invisible  no appreciable change during the preceding hour. ,,,21.6,27.9,,,2500 or more  or no clouds.,,,less than 0.1,21.8,0.9,12,,,,
07.04.2020 02:00,22.2,723.1,758.8,-0.5,100,Wind blowing from the south-east,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.6,27.9,,,2500 or more  or no clouds.,,,18.0,22.2,0.8,12,,,,
06.04.2020 23:00,21.7,723.6,759.4,0.6,100,Wind blowing from the east-northeast,2,,7,,Cloud development not observed or not observable. ,,,21.6,27.9,,,2500 or more  or no clouds.,,,8.0,21.7,0.8,12,,,,
06.04.2020 20:00,23.0,723.0,758.8,0.8,92,Wind blowing from the west-southwest,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.3,27.9,,,2500 or more  or no clouds.,,,21.0,21.6,,,,,,
06.04.2020 17:00,25.4,722.2,757.9,-1.2,86,Wind blowing from the south-southwest,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.3,27.9,,,2500 or more  or no clouds.,,,30.0,22.9,No precipitation,12,,,,
06.04.2020 14:00,25.5,723.4,759.1,-1.8,86,Wind blowing from the south-east,4,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.3,27.8,,,2500 or more  or no clouds.,,,30.0,23.0,No precipitation,12,,,,
06.04.2020 11:00,25.8,725.2,760.9,0.3,85,Wind blowing from the east,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.3,27.7,,,2500 or more  or no clouds.,,,29.0,23.1,No precipitation,12,,,,
06.04.2020 08:00,22.9,724.9,760.9,0.9,100,Wind blowing from the east-northeast,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.3,,,,2500 or more  or no clouds.,,,22.0,22.9,No precipitation,12,,,,
06.04.2020 05:00,22.4,724.0,759.8,-0.9,98,Wind blowing from the west-northwest,2,,6,,Cloud development not observed or not observable. ,,,22.0,,,,2500 or more  or no clouds.,,,27.0,22.1,No precipitation,12,,,,
06.04.2020 02:00,22.6,724.9,760.6,-1.1,99,Wind blowing from the west,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.7,27.7,,,2500 or more  or no clouds.,,,30.0,22.4,No precipitation,12,,,,
05.04.2020 23:00,22.8,726.0,761.8,1.1,100,Wind blowing from the east-southeast,1,,9,,Cloud development not observed or not observable. ,,,21.7,27.7,,,2500 or more  or no clouds.,,,18.0,22.8,No precipitation,12,,,,
05.04.2020 20:00,23.1,724.9,760.9,1.1,100,Wind blowing from the east,1,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.7,27.7,,,2500 or more  or no clouds.,,,11.0,23.1,No precipitation,12,,,,
05.04.2020 17:00,23.6,723.8,759.7,-1.1,100,Wind blowing from the south-southeast,4,,9,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.7,27.7,,,2500 or more  or no clouds.,,,1.2,23.6,No precipitation,12,,,,
05.04.2020 14:00,25.5,724.9,760.6,-1.8,92,Wind blowing from the south-east,6,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.7,27.7,,,2500 or more  or no clouds.,,,26.0,24.1,0.1,12,,,,
05.04.2020 11:00,26.7,726.7,762.4,0.6,78,Wind blowing from the east-southeast,4,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.7,27.2,,,2500 or more  or no clouds.,,,25.0,22.5,0.1,12,,,,
05.04.2020 08:00,23.3,726.1,762.0,1.5,100,Wind blowing from the east-northeast,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.7,,,,2500 or more  or no clouds.,,,17.0,23.3,0.1,12,,,,
05.04.2020 05:00,22.1,724.6,760.5,-0.7,100,Wind blowing from the east-northeast,4,,8,,Cloud development not observed or not observable. ,,,21.7,27.2,,,2500 or more  or no clouds.,,,16.0,22.1,0.1,12,,,,
05.04.2020 02:00,22.4,725.3,761.1,-0.8,100,Wind blowing from the north-east,5,,11,,Fog or ice fog  sky visible  has begun or has become thicker during the preceding hour. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.3,27.2,,,2500 or more  or no clouds.,,,0.7,22.4,No precipitation,12,,,,
04.04.2020 23:00,23.3,726.1,762.0,0.9,100,Wind blowing from the east,3,,11,,Mist. ,,,22.5,27.2,,,2500 or more  or no clouds.,,,4.6,23.3,No precipitation,12,,,,
04.04.2020 20:00,23.3,725.2,761.2,0.4,100,Wind blowing from the east,5,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.5,27.2,,,2500 or more  or no clouds.,,,9.0,23.3,No precipitation,12,,,,
04.04.2020 17:00,24.3,724.8,760.6,-0.4,98,Wind blowing from the east,6,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.5,27.2,,,2500 or more  or no clouds.,,,16.0,24.0,No precipitation,12,,,,
04.04.2020 14:00,26.4,725.2,760.9,-1.3,87,Wind blowing from the east,7,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.5,27.2,,,2500 or more  or no clouds.,,,24.0,24.1,No precipitation,12,,,,
