Local time in Chengde (weather station 54423),T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,7.9,727.5,765.4,1.6,18,Wind blowing from the north-northeast,1,,6,,Cloud development not observed or not observable. ,,,3.2,17.4,,,2500 or more  or no clouds.,,,30.0,-15.0,No precipitation,12,,,,
07.04.2020 20:00,12.2,725.9,763.8,1.3,13,Wind blowing from the east,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.2,17.4,,,2500 or more  or no clouds.,,,30.0,-15.4,No precipitation,12,,,,
07.04.2020 17:00,16.8,724.6,762.4,-2.0,8,Wind blowing from the east-southeast,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.2,21.1,,,2500 or more  or no clouds.,,,30.0,-17.7,No precipitation,12,,,,
07.04.2020 14:00,15.8,726.6,764.2,-2.2,9,Wind blowing from the east,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.2,24.1,,,2500 or more  or no clouds.,,,30.0,-17.0,No precipitation,12,,,,
07.04.2020 11:00,12.8,728.8,766.6,-0.9,11,Wind blowing from the east-northeast,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.2,24.1,,,2500 or more  or no clouds.,,,30.0,-17.0,No precipitation,12,,,,
07.04.2020 08:00,8.6,729.7,767.4,0.8,18,Wind blowing from the east-northeast,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.2,24.1,,,2500 or more  or no clouds.,,,19.0,-14.4,No precipitation,12,,,,
07.04.2020 05:00,4.5,728.9,766.6,0.4,32,Wind blowing from the east,1,,11,,Cloud development not observed or not observable. ,,,2.1,24.1,,,2500 or more  or no clouds.,,,25.0,-10.8,No precipitation,12,,,,
07.04.2020 02:00,8.5,728.5,765.7,1.2,22,Wind blowing from the east-northeast,1,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.1,24.1,,,2500 or more  or no clouds.,,,23.0,-12.0,No precipitation,12,,,,
06.04.2020 23:00,12.2,727.3,764.7,1.6,18,Wind blowing from the north-east,2,,13,,Cloud development not observed or not observable. ,,,,24.1,,,2500 or more  or no clouds.,,,22.0,-11.4,No precipitation,12,,,,
06.04.2020 20:00,17.0,725.7,763.3,3.2,14,Wind blowing from the east,3,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.1,24.1,,,2500 or more  or no clouds.,,,18.0,-10.7,No precipitation,12,,,,
06.04.2020 17:00,21.2,722.5,760.0,-0.6,14,Wind blowing from the north-east,6,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.1,24.1,,,2500 or more  or no clouds.,,,10.0,-7.3,No precipitation,12,,,,
06.04.2020 14:00,22.8,723.1,760.4,-2.4,12,Wind blowing from the east-southeast,3,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.1,23.0,,,2500 or more  or no clouds.,,,17.0,-8.1,No precipitation,12,,,,
06.04.2020 11:00,17.0,725.5,763.0,-1.5,20,Wind blowing from the south-southeast,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.1,20.4,,,2500 or more  or no clouds.,,,15.0,-6.1,No precipitation,12,,,,
06.04.2020 08:00,6.6,727.0,765.1,-0.1,42,Wind blowing from the east-southeast,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.1,20.4,,,2500 or more  or no clouds.,,,13.0,-5.4,No precipitation,12,,,,
06.04.2020 05:00,3.0,727.1,764.9,-0.5,52,Wind blowing from the north-east,1,,8,,Cloud development not observed or not observable. ,,,0.5,20.4,,,2500 or more  or no clouds.,,,15.0,-5.9,No precipitation,12,,,,
06.04.2020 02:00,5.3,727.6,765.4,-0.9,45,Wind blowing from the east,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.5,20.4,,,2500 or more  or no clouds.,,,15.0,-5.7,No precipitation,12,,,,
05.04.2020 23:00,10.2,728.5,766.3,0.9,30,Wind blowing from the west,1,,8,,Cloud development not observed or not observable. ,,,0.5,20.4,,,2500 or more  or no clouds.,,,17.0,-6.6,No precipitation,12,,,,
05.04.2020 20:00,12.8,727.6,765.9,1.6,28,Wind blowing from the south-west,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.5,20.4,,,2500 or more  or no clouds.,,,18.0,-5.2,No precipitation,12,,,,
05.04.2020 17:00,19.7,726.0,763.9,-2.0,18,Wind blowing from the south-west,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.5,20.4,,,2500 or more  or no clouds.,,,16.0,-5.3,No precipitation,12,,,,
