Local time in Leting,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,6.3,765.4,766.3,0.4,39,Wind blowing from the north-east,1,,9,,Cloud development not observed or not observable. ,,,6.2,15.1,,,2500 or more  or no clouds.,,,18.0,-6.6,No precipitation,12,,,,
07.04.2020 20:00,8.5,765.0,765.9,1.2,27,Wind blowing from the south-southeast,1,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.5,15.1,,,2500 or more  or no clouds.,,,30.0,-9.4,No precipitation,12,,,,
07.04.2020 17:00,11.7,763.8,764.7,-1.0,18,Wind blowing from the south-east,4,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.2,18.8,,,2500 or more  or no clouds.,,,30.0,-11.8,No precipitation,12,,,,
07.04.2020 14:00,14.5,764.8,765.7,-1.2,16,Wind blowing from the east-southeast,4,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.2,20.3,,,2500 or more  or no clouds.,,,30.0,-11.0,No precipitation,12,,,,
07.04.2020 11:00,13.9,766.0,766.9,0.6,16,Wind blowing from the east,4,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.2,,,,2500 or more  or no clouds.,,,30.0,-11.5,No precipitation,12,,,,
07.04.2020 08:00,10.9,765.4,766.3,1.2,34,Wind blowing from the east-northeast,5,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.2,20.3,,,2500 or more  or no clouds.,,,30.0,-4.3,No precipitation,12,,,,
07.04.2020 05:00,9.7,764.2,765.1,0.9,45,Wind blowing from the east,4,,11,,Cloud development not observed or not observable. ,,,7.2,20.3,,,2500 or more  or no clouds.,,,24.0,-1.7,No precipitation,12,,,,
07.04.2020 02:00,11.3,763.3,764.2,0.6,70,Wind blowing from the east,4,,8,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.2,20.3,,,2500 or more  or no clouds.,,,5.0,6.0,No precipitation,12,,,,
06.04.2020 23:00,11.9,762.7,763.6,1.2,75,Wind blowing from the east,3,,8,,Mist. ,,,7.2,20.3,,,2500 or more  or no clouds.,,,6.0,7.6,No precipitation,12,,,,
06.04.2020 20:00,15.1,761.5,762.4,1.9,57,Wind blowing from the south,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.2,20.3,,,2500 or more  or no clouds.,,,9.0,6.7,No precipitation,12,,,,
06.04.2020 17:00,18.8,759.6,760.5,-1.5,46,Wind blowing from the south-west,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.2,20.3,,,2500 or more  or no clouds.,,,11.0,6.9,No precipitation,12,,,,
06.04.2020 14:00,18.9,761.1,762.0,-2.0,44,Wind blowing from the south-west,5,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.2,20.2,,,2500 or more  or no clouds.,,,12.0,6.4,No precipitation,12,,,,
06.04.2020 11:00,17.3,763.1,764.0,-0.7,47,Wind blowing from the south-west,3,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.2,17.6,,,2500 or more  or no clouds.,,,13.0,5.9,No precipitation,12,,,,
06.04.2020 08:00,12.5,763.8,764.7,0.1,66,Wind blowing from the west-southwest,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.2,15.9,,,2500 or more  or no clouds.,,,9.0,6.3,No precipitation,12,,,,
06.04.2020 05:00,7.7,763.7,764.6,-1.1,86,Wind blowing from the east-northeast,0,,7,,Cloud development not observed or not observable. ,,,2.3,15.9,,,2500 or more  or no clouds.,,,12.0,5.5,No precipitation,12,,,,
06.04.2020 02:00,8.6,764.8,765.7,-1.2,78,Wind blowing from the south-west,2,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.0,15.9,,,2500 or more  or no clouds.,,,21.0,5.0,No precipitation,12,,,,
05.04.2020 23:00,8.4,766.0,766.9,0.0,67,Wind blowing from the north,0,,10,,Cloud development not observed or not observable. ,,,2.0,15.9,,,2500 or more  or no clouds.,,,30.0,2.6,No precipitation,12,,,,
05.04.2020 20:00,9.1,766.0,766.9,0.3,65,Wind blowing from the south-southwest,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.0,15.9,,,2500 or more  or no clouds.,,,30.0,2.9,No precipitation,12,,,,
05.04.2020 17:00,14.2,765.7,766.6,-2.1,31,Wind blowing from the south-west,4,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.0,15.9,,,2500 or more  or no clouds.,,,30.0,-2.7,No precipitation,12,,,,
05.04.2020 14:00,15.1,767.8,768.7,-2.4,19,Wind blowing from the south-west,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.0,15.6,,,2500 or more  or no clouds.,,,30.0,-8.3,No precipitation,12,,,,
05.04.2020 11:00,13.5,770.2,771.1,-1.2,21,Wind blowing from the west-southwest,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.0,13.6,,,2500 or more  or no clouds.,,,30.0,-8.4,No precipitation,12,,,,
05.04.2020 08:00,7.6,771.4,772.3,0.4,57,Wind blowing from the west,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.0,12.5,,,2500 or more  or no clouds.,,,28.0,-0.4,No precipitation,12,,,,
05.04.2020 05:00,2.3,771.0,771.9,-1.0,72,Wind blowing from the north-northeast,1,,7,,Cloud development not observed or not observable. ,,,2.0,12.5,,,2500 or more  or no clouds.,,,19.0,-2.2,No precipitation,12,,,,
05.04.2020 02:00,4.1,772.0,772.9,-0.4,64,Wind blowing from the east-southeast,0,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.7,12.5,,,2500 or more  or no clouds.,,,30.0,-2.1,No precipitation,12,,,,
04.04.2020 23:00,4.5,772.4,773.3,0.4,59,Wind blowing from the north,0,,9,,Cloud development not observed or not observable. ,,,4.5,15.0,,,2500 or more  or no clouds.,,,30.0,-3.0,No precipitation,12,,,,
04.04.2020 20:00,6.0,772.0,772.9,0.9,51,Wind blowing from the south-southwest,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.0,16.0,,,2500 or more  or no clouds.,,,30.0,-3.6,No precipitation,12,,,,
04.04.2020 17:00,8.9,771.1,772.0,-0.8,37,Wind blowing from the south-southwest,4,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.5,,,,2500 or more  or no clouds.,,,30.0,-5.0,No precipitation,12,,,,
04.04.2020 14:00,11.7,771.9,772.8,-1.3,26,Wind blowing from the south-southeast,3,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.5,,,,2500 or more  or no clouds.,,,30.0,-7.2,No precipitation,12,,,,
04.04.2020 11:00,10.9,773.2,774.1,0.9,19,Wind blowing from the east-southeast,4,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.5,,,,2500 or more  or no clouds.,,,30.0,-11.8,No precipitation,12,,,,
04.04.2020 08:00,8.7,772.3,773.2,2.8,32,Wind blowing from the east-northeast,5,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.5,24.0,,,2500 or more  or no clouds.,,,26.0,-7.1,No precipitation,12,,,,
04.04.2020 05:00,6.8,769.5,770.4,1.7,53,Wind blowing from the east,6,,15,,Cloud development not observed or not observable. ,,,6.3,24.0,,,2500 or more  or no clouds.,,,17.0,-2.1,No precipitation,12,,,,
04.04.2020 02:00,9.7,767.8,768.7,3.4,49,Wind blowing from the east,7,,14,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.3,24.0,,,2500 or more  or no clouds.,,,7.0,-0.5,No precipitation,12,,,,
03.04.2020 23:00,13.5,764.4,765.3,2.1,43,Wind blowing from the north,2,,10,,Cloud development not observed or not observable. ,,,6.3,24.0,,,2500 or more  or no clouds.,,,30.0,1.2,No precipitation,12,,,,
03.04.2020 20:00,16.1,762.3,763.2,1.0,29,Wind blowing from the south-west,3,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.3,24.0,,,2500 or more  or no clouds.,,,30.0,-1.9,No precipitation,12,,,,
03.04.2020 17:00,21.3,761.3,762.2,-1.1,18,Wind blowing from the west-southwest,4,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.3,24.0,,,2500 or more  or no clouds.,,,29.0,-4.0,No precipitation,12,,,,
03.04.2020 14:00,22.9,762.4,763.3,-2.3,10,Wind blowing from the west,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.3,23.4,,,2500 or more  or no clouds.,,,30.0,-10.3,No precipitation,12,,,,
03.04.2020 11:00,19.9,764.7,765.6,-0.5,18,Wind blowing from the west,3,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.3,20.4,,,2500 or more  or no clouds.,,,21.0,-5.1,No precipitation,12,,,,
03.04.2020 08:00,10.6,765.2,766.1,0.4,51,Wind blowing from the west,3,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.3,,,,2500 or more  or no clouds.,,,12.0,0.9,No precipitation,12,,,,
03.04.2020 05:00,7.7,764.8,765.7,-0.4,71,Wind blowing from the west,3,,9,,Cloud development not observed or not observable. ,,,5.5,18.9,,,2500 or more  or no clouds.,,,14.0,2.8,No precipitation,12,,,,
03.04.2020 02:00,8.5,765.2,766.1,-0.2,70,Wind blowing from the south-west,1,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.5,18.9,,,2500 or more  or no clouds.,,,15.0,3.3,No precipitation,12,,,,
02.04.2020 23:00,10.6,765.4,766.3,0.5,53,Wind blowing from the west,2,,12,,Cloud development not observed or not observable. ,,,5.5,18.9,,,2500 or more  or no clouds.,,,22.0,1.4,No precipitation,12,,,,
02.04.2020 20:00,11.7,764.9,765.8,0.7,50,Wind blowing from the south-west,3,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.5,18.9,,,2500 or more  or no clouds.,,,17.0,1.4,No precipitation,12,,,,
02.04.2020 17:00,17.5,764.2,765.1,-0.6,23,Wind blowing from the west,4,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.5,18.9,,,2500 or more  or no clouds.,,,30.0,-3.8,No precipitation,12,,,,
02.04.2020 14:00,18.6,764.8,765.7,-1.7,24,Wind blowing from the west,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.5,18.8,,,2500 or more  or no clouds.,,,22.0,-2.3,No precipitation,12,,,,
02.04.2020 11:00,15.8,766.5,767.4,-0.8,30,Wind blowing from the west,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.5,16.1,,,2500 or more  or no clouds.,,,18.0,-1.7,No precipitation,12,,,,
02.04.2020 08:00,9.9,767.3,768.2,0.6,52,Wind blowing from the west,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.5,15.6,,,2500 or more  or no clouds.,,,14.0,0.5,No precipitation,12,,,,
02.04.2020 05:00,6.2,766.7,767.6,-0.4,67,Wind blowing from the west,2,,8,,Cloud development not observed or not observable. ,,,5.6,15.6,,,2500 or more  or no clouds.,,,18.0,0.5,No precipitation,12,,,,
02.04.2020 02:00,6.1,767.1,768.0,-0.3,64,Wind blowing from the west,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,15.6,,,2500 or more  or no clouds.,,,30.0,-0.2,No precipitation,12,,,,
01.04.2020 23:00,6.6,767.4,768.3,0.2,41,Wind blowing from the west-southwest,1,,9,,Cloud development not observed or not observable. ,,,6.4,15.6,,,2500 or more  or no clouds.,,,30.0,-5.7,No precipitation,12,,,,
