Local time in Shijiazhuang,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 20:00,11.6,756.1,764.3,0.6,77,Wind blowing from the south-southwest,2,,,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.5,18.1,,,2500 or more  or no clouds.,,,9.0,7.7,0.3,12,,,,
07.04.2020 17:00,16.1,755.5,763.6,-0.9,38,Wind blowing from the north-northeast,2,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.6,,,,2500 or more  or no clouds.,,,10.0,1.8,No precipitation,12,,,,
07.04.2020 14:00,16.2,756.4,764.6,-1.2,39,Wind blowing from the north-northeast,3,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.6,,,,2500 or more  or no clouds.,,,8.0,2.2,No precipitation,12,,,,
07.04.2020 11:00,15.4,757.6,765.7,1.6,55,Wind blowing from the north,6,,10,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.6,,,,2500 or more  or no clouds.,,,3.6,6.4,No precipitation,12,,,,
07.04.2020 08:00,15.3,756.0,764.1,2.2,59,Wind blowing from the north,4,,7,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.6,22.4,,,2500 or more  or no clouds.,,,3.2,7.3,No precipitation,12,,,,
07.04.2020 05:00,13.6,753.8,761.8,0.0,54,Wind blowing from the north-northeast,2,,6,,Mist. ,,,9.9,22.4,,,2500 or more  or no clouds.,,,4.9,4.5,No precipitation,12,,,,
07.04.2020 02:00,12.7,753.8,761.9,,75,Wind blowing from the west,1,,7,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.9,22.4,,,2500 or more  or no clouds.,,,3.4,8.4,No precipitation,12,,,,
06.04.2020 20:00,18.1,753.1,761.2,0.8,52,Wind blowing from the south-southeast,3,,7,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.9,22.4,,,2500 or more  or no clouds.,,,5.0,8.1,No precipitation,12,,,,
06.04.2020 17:00,21.9,752.3,760.4,-1.4,38,Wind blowing from the south-southeast,4,,7,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.9,22.4,,,2500 or more  or no clouds.,,,5.0,7.0,No precipitation,12,,,,
06.04.2020 14:00,21.6,753.7,761.8,-1.9,39,Wind blowing from the south,4,,7,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.9,21.8,,,2500 or more  or no clouds.,,,5.0,7.1,No precipitation,12,,,,
06.04.2020 11:00,18.5,755.6,763.8,-0.4,38,Wind blowing from the south-southeast,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.9,18.5,,,2500 or more  or no clouds.,,,7.0,3.9,No precipitation,12,,,,
06.04.2020 08:00,12.2,756.0,764.2,0.5,61,Wind blowing from the east-southeast,1,,3,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.8,17.5,,,2500 or more  or no clouds.,,,5.0,4.9,No precipitation,12,,,,
06.04.2020 05:00,10.1,755.5,763.7,-1.0,69,Wind blowing from the south,1,,5,,Mist. ,,,5.9,17.5,,,2500 or more  or no clouds.,,,7.0,4.7,No precipitation,12,,,,
06.04.2020 02:00,12.3,756.5,764.7,,55,Wind blowing from the north-northwest,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,17.5,,,2500 or more  or no clouds.,,,9.0,3.5,No precipitation,12,,,,
05.04.2020 20:00,14.2,757.9,766.2,0.7,45,Wind blowing from the west-northwest,0,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,17.5,,,2500 or more  or no clouds.,,,10.0,2.4,No precipitation,12,,,,
05.04.2020 17:00,16.9,757.2,765.4,-1.7,37,Wind blowing from the east-southeast,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,17.5,,,2500 or more  or no clouds.,,,15.0,2.1,No precipitation,12,,,,
05.04.2020 14:00,16.8,758.9,767.2,-2.9,33,Wind blowing from the south-southeast,5,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,17.6,,,2500 or more  or no clouds.,,,16.0,0.5,No precipitation,12,,,,
05.04.2020 11:00,14.6,761.8,770.0,-1.2,29,Wind blowing from the north,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,17.6,,,2500 or more  or no clouds.,,,16.0,-3.2,No precipitation,12,,,,
05.04.2020 08:00,8.8,763.0,771.4,0.3,52,Wind blowing from the west-northwest,0,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,17.6,,,2500 or more  or no clouds.,,,12.0,-0.5,No precipitation,12,,,,
05.04.2020 05:00,6.8,762.7,771.1,-0.3,56,Wind blowing from the south,2,,7,,Cloud development not observed or not observable. ,,,6.8,17.6,,,2500 or more  or no clouds.,,,17.0,-1.4,No precipitation,12,,,,
05.04.2020 02:00,9.2,763.0,771.3,,49,Wind blowing from the south-east,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.2,17.6,,,2500 or more  or no clouds.,,,17.0,-1.0,No precipitation,12,,,,
04.04.2020 20:00,13.3,762.7,771.0,0.6,40,Wind blowing from the south-southeast,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.5,17.6,,,2500 or more  or no clouds.,,,12.0,0.0,No precipitation,12,,,,
04.04.2020 17:00,16.7,762.1,770.2,-1.7,32,Wind blowing from the south,5,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.5,22.3,,,2500 or more  or no clouds.,,,11.0,-0.1,No precipitation,12,,,,
04.04.2020 14:00,17.4,763.8,772.0,-1.8,23,Wind blowing from the south-east,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.5,,,,2500 or more  or no clouds.,,,10.0,-3.9,No precipitation,12,,,,
04.04.2020 11:00,15.2,765.6,773.8,1.4,24,Wind blowing from the east-southeast,3,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.5,,,,2500 or more  or no clouds.,,,9.0,-5.2,No precipitation,12,,,,
04.04.2020 08:00,13.3,764.2,772.5,4.3,35,Wind blowing from the east-northeast,4,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.5,,,,2500 or more  or no clouds.,,,10.0,-1.8,No precipitation,12,,,,
04.04.2020 05:00,14.6,759.9,768.0,2.0,25,Wind blowing from the north-northwest,4,,9,,Cloud development not observed or not observable. ,,,7.7,23.7,,,2500 or more  or no clouds.,,,27.0,-5.2,No precipitation,12,,,,
04.04.2020 02:00,13.6,757.9,766.0,,32,Wind blowing from the north,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,23.7,,,2500 or more  or no clouds.,,,18.0,-2.8,No precipitation,12,,,,
