Local time in Weichang,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 20:00,2.6,686.7,766.9,1.8,23,Wind blowing from the east,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.2,13.4,,,2500 or more  or no clouds.,,,30.0,-16.5,No precipitation,12,,,,
07.04.2020 17:00,12.7,684.9,763.9,-1.4,11,Wind blowing from the east-northeast,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.2,16.0,,,2500 or more  or no clouds.,,,30.0,-17.0,No precipitation,12,,,,
07.04.2020 14:00,11.5,686.3,765.3,-2.6,11,Wind blowing from the west-southwest,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.2,,,,2500 or more  or no clouds.,,,30.0,-18.0,No precipitation,12,,,,
07.04.2020 11:00,7.4,688.9,767.8,-0.9,15,Wind blowing from the north-northeast,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.2,,,,2500 or more  or no clouds.,,,30.0,-17.6,No precipitation,12,,,,
07.04.2020 08:00,0.1,689.8,769.4,0.5,31,Wind blowing from the north-west,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.2,,,,2500 or more  or no clouds.,,,19.0,-15.0,No precipitation,12,,,,
07.04.2020 05:00,-4.1,689.3,768.4,0.2,41,Wind blowing from the east-northeast,1,,7,,Cloud development not observed or not observable. ,,,-4.2,18.9,,,2500 or more  or no clouds.,,,30.0,-15.4,No precipitation,12,,,,
07.04.2020 02:00,-1.3,689.1,767.6,,32,Wind blowing from the north-east,1,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.9,18.9,,,2500 or more  or no clouds.,,,30.0,-15.9,No precipitation,12,,,,
06.04.2020 20:00,9.0,687.1,766.0,2.2,22,Wind blowing from the north-northeast,2,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.9,18.9,,,2500 or more  or no clouds.,,,30.0,-11.6,No precipitation,12,,,,
06.04.2020 17:00,16.0,684.9,763.3,0.3,10,Wind blowing from the east-northeast,3,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.9,18.9,,,2500 or more  or no clouds.,,,30.0,-15.6,No precipitation,12,,,,
06.04.2020 14:00,16.9,684.6,762.6,-0.7,12,Wind blowing from the north-east,6,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.9,18.9,,,2500 or more  or no clouds.,,,15.0,-12.7,No precipitation,12,,,,
06.04.2020 11:00,13.8,685.3,763.2,-1.4,23,Wind blowing from the south-southwest,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.9,,,,2500 or more  or no clouds.,,,17.0,-7.0,No precipitation,12,,,,
06.04.2020 08:00,1.6,686.7,765.7,-0.2,49,Wind blowing from the north,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.9,,,,2500 or more  or no clouds.,,,16.0,-8.2,No precipitation,12,,,,
06.04.2020 05:00,-2.7,686.9,765.2,-0.7,60,Wind blowing from the north-northeast,2,,9,,Cloud development not observed or not observable. ,,,-6.0,18.9,,,2500 or more  or no clouds.,,,28.0,-9.4,No precipitation,12,,,,
06.04.2020 02:00,-1.4,687.6,765.7,,54,Wind blowing from the north-east,1,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,18.9,,,2500 or more  or no clouds.,,,30.0,-9.7,No precipitation,12,,,,
05.04.2020 20:00,8.7,687.0,766.4,1.7,28,Wind blowing from the south-east,1,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,18.9,,,2500 or more  or no clouds.,,,19.0,-8.8,No precipitation,12,,,,
05.04.2020 17:00,17.9,685.3,763.9,-1.5,12,Wind blowing from the south,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.0,18.9,,,2500 or more  or no clouds.,,,30.0,-11.9,No precipitation,12,,,,
05.04.2020 14:00,18.1,686.8,765.0,-2.8,11,Wind blowing from the south-southwest,4,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.0,18.1,,,2500 or more  or no clouds.,,,30.0,-12.8,No precipitation,12,,,,
05.04.2020 11:00,10.8,689.6,769.0,-1.5,21,Wind blowing from the south-southwest,4,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.0,14.8,,,2500 or more  or no clouds.,,,23.0,-10.7,No precipitation,12,,,,
05.04.2020 08:00,-1.1,691.1,771.7,-0.2,39,Wind blowing from the north-west,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.0,,,,2500 or more  or no clouds.,,,26.0,-13.3,No precipitation,12,,,,
05.04.2020 05:00,-6.0,691.3,771.1,-0.6,51,Wind blowing from the east-northeast,1,,6,,Cloud development not observed or not observable. ,,,-6.0,14.8,,,2500 or more  or no clouds.,,,30.0,-14.7,No precipitation,12,,,,
05.04.2020 02:00,-2.6,691.9,771.5,,34,Wind blowing from the north-northeast,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.6,14.8,,,2500 or more  or no clouds.,,,30.0,-16.3,No precipitation,12,,,,
04.04.2020 20:00,4.1,691.6,772.3,1.5,15,Wind blowing from the east-northeast,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.6,14.8,,,2500 or more  or no clouds.,,,30.0,-20.2,No precipitation,12,,,,
