Local time in Xingtai,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,11.8,747.7,764.2,0.5,70,Wind blowing from the north,3,,15,,Rain  not freezing  intermittent  slight at time of observation. ,,,11.0,18.9,,,2500 or more  or no clouds.,,,10.0,6.5,No precipitation,12,,,,
07.04.2020 20:00,14.3,747.2,763.7,0.8,47,Wind blowing from the north-northwest,2,,15,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.0,18.9,,,2500 or more  or no clouds.,,,10.0,3.2,No precipitation,12,,,,
07.04.2020 17:00,16.7,746.4,762.8,-0.8,46,Wind blowing from the north-northeast,6,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.0,22.2,,,2500 or more  or no clouds.,,,7.0,5.0,No precipitation,12,,,,
07.04.2020 14:00,16.7,747.2,763.6,-0.5,52,Wind blowing from the north-east,8,,15,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.0,23.1,,,2500 or more  or no clouds.,,,5.0,6.8,No precipitation,12,,,,
07.04.2020 11:00,18.3,747.7,764.0,0.9,49,Wind blowing from the north-northeast,10,,14,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.0,23.1,,,2500 or more  or no clouds.,,,4.3,7.4,No precipitation,12,,,,
07.04.2020 08:00,13.6,746.8,763.1,1.7,63,Wind blowing from the north,3,,7,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.0,23.1,,,2500 or more  or no clouds.,,,5.0,6.7,No precipitation,12,,,,
07.04.2020 05:00,13.4,745.1,761.4,0.0,50,Wind blowing from the west-northwest,4,,8,,Cloud development not observed or not observable. ,,,10.0,23.1,,,2500 or more  or no clouds.,,,9.0,3.2,No precipitation,12,,,,
07.04.2020 02:00,14.6,745.1,761.3,-0.3,47,Wind blowing from the west-northwest,1,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.8,23.1,,,2500 or more  or no clouds.,,,8.0,3.4,No precipitation,12,,,,
06.04.2020 23:00,15.6,745.4,761.7,0.1,51,Wind blowing from the north-east,1,,9,,Cloud development not observed or not observable. ,,,9.8,23.1,,,2500 or more  or no clouds.,,,8.0,5.5,No precipitation,12,,,,
06.04.2020 20:00,18.7,745.3,761.6,0.9,41,Wind blowing from the south,4,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.8,23.1,,,2500 or more  or no clouds.,,,9.0,5.2,No precipitation,12,,,,
06.04.2020 17:00,22.2,744.4,760.7,-1.2,29,Wind blowing from the south-southeast,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.8,23.1,,,2500 or more  or no clouds.,,,11.0,3.3,No precipitation,12,,,,
06.04.2020 14:00,22.7,745.6,761.9,-1.8,28,Wind blowing from the south-east,4,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.8,22.7,,,2500 or more  or no clouds.,,,7.0,3.3,No precipitation,12,,,,
06.04.2020 11:00,19.0,747.4,763.7,-0.3,45,Wind blowing from the south-east,3,,,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.8,19.2,,,2500 or more  or no clouds.,,,7.0,6.8,No precipitation,12,,,,
06.04.2020 08:00,12.4,747.7,764.2,0.4,68,Wind blowing from the west-northwest,2,,10,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.4,19.2,,,2500 or more  or no clouds.,,,6.0,6.7,No precipitation,12,,,,
06.04.2020 05:00,10.2,747.3,763.8,-1.0,78,Wind blowing from the west-northwest,3,,10,,Mist. ,,,6.1,19.2,,,2500 or more  or no clouds.,,,6.0,6.4,No precipitation,12,,,,
06.04.2020 02:00,11.9,748.3,764.8,-0.9,68,Wind blowing from the east,1,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.1,19.2,,,2500 or more  or no clouds.,,,8.0,6.2,No precipitation,12,,,,
05.04.2020 23:00,14.1,749.2,765.7,0.0,59,Wind blowing from the south,1,,10,,Cloud development not observed or not observable. ,,,,19.2,,,2500 or more  or no clouds.,,,10.0,6.2,No precipitation,12,,,,
05.04.2020 20:00,16.1,749.2,765.8,0.6,51,Wind blowing from the south,7,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.1,19.2,,,2500 or more  or no clouds.,,,10.0,6.0,No precipitation,12,,,,
05.04.2020 17:00,18.5,748.6,765.3,-2.0,38,Wind blowing from the south-southeast,6,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.1,19.2,,,2500 or more  or no clouds.,,,10.0,3.9,No precipitation,12,,,,
05.04.2020 14:00,17.2,750.6,767.2,-2.5,32,Wind blowing from the south-east,5,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.1,17.7,,,2500 or more  or no clouds.,,,13.0,0.4,No precipitation,12,,,,
05.04.2020 11:00,14.8,753.1,769.9,-1.3,34,Wind blowing from the south-east,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.1,15.7,,,2500 or more  or no clouds.,,,14.0,-0.9,No precipitation,12,,,,
05.04.2020 08:00,9.5,754.4,771.3,0.4,59,Wind blowing from the south-east,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.1,15.9,,,2500 or more  or no clouds.,,,16.0,1.9,No precipitation,12,,,,
05.04.2020 05:00,6.8,754.0,770.9,-0.6,62,Wind blowing from the west-northwest,2,,5,,Cloud development not observed or not observable. ,,,6.5,16.5,,,2500 or more  or no clouds.,,,19.0,0.0,No precipitation,12,,,,
