Local time in Zhangjiakou,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,9.9,695.5,762.6,0.6,33,Wind blowing from the east-southeast,1,,7,,Cloud development not observed or not observable. ,,,5.7,20.5,,,2500 or more  or no clouds.,,,13.0,-5.6,No precipitation,12,,,,
07.04.2020 20:00,13.2,694.9,762.1,1.8,26,Wind blowing from the east-southeast,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.7,20.5,,,2500 or more  or no clouds.,,,11.0,-5.9,No precipitation,12,,,,
07.04.2020 17:00,19.7,693.1,759.6,-1.6,9,Wind blowing from the north,4,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.7,20.7,,,2500 or more  or no clouds.,,,30.0,-14.1,No precipitation,12,,,,
07.04.2020 14:00,18.7,694.7,761.2,-2.3,15,Wind blowing from the south-southwest,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.7,23.2,,,2500 or more  or no clouds.,,,17.0,-8.4,No precipitation,12,,,,
07.04.2020 11:00,15.0,697.0,764.0,-0.3,22,Wind blowing from the south-southeast,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.7,23.2,,,2500 or more  or no clouds.,,,15.0,-6.5,No precipitation,12,,,,
07.04.2020 08:00,9.9,697.3,764.3,0.6,23,Wind blowing from the north-west,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.7,23.2,,,2500 or more  or no clouds.,,,30.0,-10.3,No precipitation,12,,,,
07.04.2020 05:00,7.9,696.7,763.3,0.0,24,Wind blowing from the north,1,,11,,Cloud development not observed or not observable. ,,,3.2,23.2,,,2500 or more  or no clouds.,,,30.0,-11.4,No precipitation,12,,,,
07.04.2020 02:00,9.6,696.7,763.0,0.3,22,Wind blowing from the north-east,0,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.2,23.2,,,2500 or more  or no clouds.,,,30.0,-11.1,No precipitation,12,,,,
06.04.2020 23:00,11.6,696.4,763.2,0.9,18,Wind blowing from the north-east,2,,12,,Cloud development not observed or not observable. ,,,3.2,23.2,,,2500 or more  or no clouds.,,,30.0,-11.9,No precipitation,12,,,,
06.04.2020 20:00,16.7,695.5,762.6,1.6,11,Wind blowing from the north,3,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.2,23.2,,,2500 or more  or no clouds.,,,28.0,-13.9,No precipitation,12,,,,
