Local time in Anda,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 20:00,1.4,751.2,765.4,1.7,83,Wind blowing from the north,4,,14,,Rain or drizzle and snow  slight. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.6,7.3,,,2500 or more  or no clouds.,,,21.0,-1.2,No precipitation,12,,,,
07.04.2020 17:00,5.8,749.5,763.6,0.2,36,Wind blowing from the north,5,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.6,7.3,,,2500 or more  or no clouds.,,,30.0,-8.1,No precipitation,12,,,,
07.04.2020 14:00,7.1,749.3,763.3,-0.7,31,Wind blowing from the north-west,6,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.6,7.1,,,2500 or more  or no clouds.,,,30.0,-8.9,No precipitation,12,,,,
07.04.2020 11:00,5.4,750.0,764.0,-0.2,34,Wind blowing from the north-northwest,7,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.6,7.6,,,2500 or more  or no clouds.,,,30.0,-9.2,No precipitation,12,,,,
07.04.2020 08:00,2.4,750.2,764.3,-0.2,37,Wind blowing from the north-northwest,5,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.6,7.6,,,2500 or more  or no clouds.,,,30.0,-11.1,No precipitation,12,,,,
07.04.2020 05:00,-0.2,750.4,764.5,-0.4,45,Wind blowing from the north-west,2,,11,,Cloud development not observed or not observable. ,,,-0.7,7.6,,,2500 or more  or no clouds.,,,27.0,-10.7,No precipitation,12,,,,
07.04.2020 02:00,0.5,750.8,764.9,,37,Wind blowing from the north-west,3,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.8,7.6,,,2500 or more  or no clouds.,,,30.0,-12.8,No precipitation,12,,,,
06.04.2020 20:00,3.5,750.9,765.0,1.1,26,Wind blowing from the north-west,4,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.0,7.6,,,2500 or more  or no clouds.,,,21.0,-14.2,No precipitation,12,,,,
06.04.2020 17:00,5.8,749.8,763.9,-0.3,32,Wind blowing from the north-northwest,5,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.0,10.1,,,2500 or more  or no clouds.,,,30.0,-9.6,No precipitation,12,,,,
06.04.2020 14:00,5.2,750.1,764.2,0.1,50,Wind blowing from the north-west,8,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.0,10.8,,,2500 or more  or no clouds.,,,21.0,-4.4,No precipitation,12,,,,
