Local time in Fujin,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,0.2,754.5,760.8,-0.5,95,Wind blowing from the north-northeast,5,,12,,Intermittent fall of snowflakes  slight at time of observation. ,,,0.2,7.6,,,2500 or more  or no clouds.,,,2.2,-0.5,0.6,12,,,,
07.04.2020 20:00,1.0,755.0,761.4,1.0,84,Wind blowing from the north-east,5,,12,,Intermittent fall of snowflakes  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.4,7.6,,,2500 or more  or no clouds.,,,19.0,-1.4,No precipitation,12,,,,
07.04.2020 17:00,3.0,754.0,760.4,1.2,81,Wind blowing from the north-east,6,,12,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.4,7.6,,,2500 or more  or no clouds.,,,12.0,0.1,No precipitation,12,,,,
07.04.2020 14:00,7.3,752.8,759.1,0.0,51,Wind blowing from the north-northeast,4,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.4,10.8,,,2500 or more  or no clouds.,,,29.0,-2.2,No precipitation,12,,,,
07.04.2020 11:00,6.1,752.8,759.1,0.2,57,Wind blowing from the east-northeast,5,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.4,10.8,,,2500 or more  or no clouds.,,,30.0,-1.8,No precipitation,12,,,,
07.04.2020 08:00,3.4,752.6,758.9,0.7,67,Wind blowing from the east-northeast,5,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.4,10.8,,,2500 or more  or no clouds.,,,12.0,-2.3,No precipitation,12,,,,
07.04.2020 05:00,0.6,751.9,758.2,0.4,85,Wind blowing from the north-northwest,2,,7,,Cloud development not observed or not observable. ,,,-4.5,10.8,,,2500 or more  or no clouds.,,,30.0,-1.6,No precipitation,12,,,,
07.04.2020 02:00,1.3,751.5,757.7,-0.3,79,Wind blowing from the north-west,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.0,10.8,,,2500 or more  or no clouds.,,,30.0,-1.9,No precipitation,12,,,,
06.04.2020 23:00,3.4,751.8,758.0,-0.1,66,Wind blowing from the north-west,3,,7,,Cloud development not observed or not observable. ,,,-5.0,10.8,,,2500 or more  or no clouds.,,,15.0,-2.5,No precipitation,12,,,,
06.04.2020 20:00,4.8,751.9,758.2,0.3,55,Wind blowing from the south-southeast,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.0,10.8,,,2500 or more  or no clouds.,,,30.0,-3.5,No precipitation,12,,,,
06.04.2020 17:00,7.5,751.6,757.9,-1.3,46,Wind blowing from the south-southeast,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.0,10.8,,,2500 or more  or no clouds.,,,30.0,-3.4,No precipitation,12,,,,
06.04.2020 14:00,10.8,752.9,759.2,-1.4,31,Wind blowing from the west-northwest,0,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.0,10.8,,,2500 or more  or no clouds.,,,30.0,-5.6,No precipitation,12,,,,
06.04.2020 11:00,6.2,754.3,760.6,-1.2,47,Wind blowing from the west,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.0,6.2,,,2500 or more  or no clouds.,,,30.0,-4.3,No precipitation,12,,,,
06.04.2020 08:00,0.5,755.5,761.8,-0.3,63,Wind blowing from the west,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.0,5.9,,,2500 or more  or no clouds.,,,26.0,-5.9,No precipitation,12,,,,
06.04.2020 05:00,-4.5,755.8,762.1,-0.5,68,Wind blowing from the west-northwest,2,,7,,Cloud development not observed or not observable. ,,,-5.0,5.9,,,2500 or more  or no clouds.,,,30.0,-9.5,No precipitation,12,,,,
06.04.2020 02:00,-1.8,756.3,762.7,-0.4,60,Wind blowing from the north-west,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.0,5.9,,,2500 or more  or no clouds.,,,30.0,-8.7,No precipitation,12,,,,
05.04.2020 23:00,2.2,756.7,763.1,-0.5,48,Wind blowing from the north-west,4,,8,,Cloud development not observed or not observable. ,,,-3.0,5.9,,,2500 or more  or no clouds.,,,30.0,-7.7,No precipitation,12,,,,
05.04.2020 20:00,1.8,757.2,763.6,0.6,58,Wind blowing from the west-northwest,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.0,5.9,,,2500 or more  or no clouds.,,,30.0,-5.6,No precipitation,12,,,,
05.04.2020 17:00,5.1,756.6,763.0,-1.0,51,Wind blowing from the west,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.0,5.9,,,2500 or more  or no clouds.,,,7.0,-4.2,No precipitation,12,,,,
05.04.2020 14:00,5.5,757.6,763.9,-1.4,49,Wind blowing from the north-northwest,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.0,5.5,,,2500 or more  or no clouds.,,,30.0,-4.6,No precipitation,12,,,,
05.04.2020 11:00,3.4,759.0,765.4,0.1,51,Wind blowing from the north-northwest,5,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.0,3.8,,,2500 or more  or no clouds.,,,30.0,-5.8,No precipitation,12,,,,
