Local time in Hailun,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,0.6,743.5,764.1,-0.4,77,Wind blowing from the north-northwest,4,,12,,Cloud development not observed or not observable. ,,,,3.3,,,2500 or more  or no clouds.,,,30.0,-3.0,2.0,12,,,,
07.04.2020 20:00,0.6,743.9,764.6,1.0,88,Wind blowing from the north-northwest,4,,13,,Intermittent fall of snowflakes  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,3.3,,,2500 or more  or no clouds.,,,14.0,-1.2,2.0,12,,,,
07.04.2020 17:00,0.6,742.9,763.6,0.6,93,Wind blowing from the north,3,,13,,Intermittent fall of snowflakes  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.8,3.3,,,2500 or more  or no clouds.,,,6.0,-0.4,1.0,12,,,,
07.04.2020 14:00,0.7,742.3,763.1,0.4,87,Wind blowing from the north,6,,13,,Rain or drizzle and snow  slight. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.8,5.6,,,2500 or more  or no clouds.,,,1.6,-1.2,0.1,12,,,,
07.04.2020 11:00,2.4,741.9,762.6,0.0,56,Wind blowing from the north,5,,13,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.8,8.1,,,2500 or more  or no clouds.,,,21.0,-5.5,No precipitation,12,,,,
07.04.2020 08:00,0.6,741.9,762.5,0.2,46,Wind blowing from the north,6,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.8,,,,2500 or more  or no clouds.,,,18.0,-9.7,No precipitation,12,,,,
07.04.2020 05:00,-1.8,741.7,762.4,-0.7,54,Wind blowing from the north-west,4,,13,,Cloud development not observed or not observable. ,,,-3.8,8.1,,,2500 or more  or no clouds.,,,23.0,-10.1,No precipitation,12,,,,
07.04.2020 02:00,-2.9,742.4,763.0,-0.4,54,Wind blowing from the north-west,3,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.8,8.1,,,2500 or more  or no clouds.,,,29.0,-11.1,No precipitation,12,,,,
06.04.2020 23:00,-2.6,742.8,763.3,-0.4,69,Wind blowing from the west-northwest,3,,,,Cloud development not observed or not observable. ,,,-2.6,8.1,,,2500 or more  or no clouds.,,,9.0,-7.5,No precipitation,12,,,,
06.04.2020 20:00,0.3,743.2,763.8,0.9,72,Wind blowing from the north,2,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.2,8.1,,,2500 or more  or no clouds.,,,14.0,-4.3,No precipitation,12,,,,
06.04.2020 17:00,2.3,742.3,763.0,0.6,66,Wind blowing from the north,6,,14,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.2,9.5,,,2500 or more  or no clouds.,,,13.0,-3.4,No precipitation,12,,,,
06.04.2020 14:00,5.7,741.7,762.3,-0.3,45,Wind blowing from the north-northwest,8,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.2,10.1,,,2500 or more  or no clouds.,,,30.0,-5.3,No precipitation,12,,,,
06.04.2020 11:00,7.2,742.0,762.5,-0.5,27,Wind blowing from the north,5,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.2,10.1,,,2500 or more  or no clouds.,,,8.0,-10.5,No precipitation,12,,,,
06.04.2020 08:00,3.6,742.5,763.0,-0.5,31,Wind blowing from the west-southwest,3,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.2,10.1,,,2500 or more  or no clouds.,,,10.0,-12.0,No precipitation,12,,,,
