Local time in Hulin,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 20:00,1.5,749.3,758.6,1.1,85,Wind blowing from the north,6,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.6,7.7,,,2500 or more  or no clouds.,,,30.0,-0.7,No precipitation,12,,,,
07.04.2020 17:00,4.8,748.2,757.5,0.4,71,Wind blowing from the north,8,,11,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.6,8.0,,,2500 or more  or no clouds.,,,30.0,0.0,No precipitation,12,,,,
07.04.2020 14:00,7.1,747.8,757.0,-0.4,65,Wind blowing from the north-west,6,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.6,10.1,,,2500 or more  or no clouds.,,,30.0,0.8,No precipitation,12,,,,
07.04.2020 11:00,6.0,748.2,757.4,-0.1,62,Wind blowing from the north-west,3,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.6,10.1,,,2500 or more  or no clouds.,,,30.0,-0.7,No precipitation,12,,,,
07.04.2020 08:00,3.2,748.3,757.5,0.2,76,Wind blowing from the north,6,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.6,10.1,,,2500 or more  or no clouds.,,,30.0,-0.6,No precipitation,12,,,,
07.04.2020 05:00,0.9,748.1,757.3,-0.1,78,Wind blowing from the north,6,,9,,Cloud development not observed or not observable. ,,,-0.6,10.1,,,2500 or more  or no clouds.,,,30.0,-2.5,No precipitation,12,,,,
07.04.2020 02:00,1.6,748.2,757.3,,54,Wind blowing from the north,0,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.7,10.1,,,2500 or more  or no clouds.,,,30.0,-6.9,No precipitation,12,,,,
06.04.2020 20:00,5.8,749.8,759.0,0.6,46,Wind blowing from the north-west,2,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.7,10.1,,,2500 or more  or no clouds.,,,30.0,-4.9,No precipitation,12,,,,
06.04.2020 17:00,8.0,749.2,758.4,-0.6,47,Wind blowing from the north,4,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.7,10.1,,,2500 or more  or no clouds.,,,30.0,-2.6,No precipitation,12,,,,
06.04.2020 14:00,9.7,749.8,759.0,-1.2,36,Wind blowing from the north-northwest,6,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.7,9.9,,,2500 or more  or no clouds.,,,30.0,-4.6,No precipitation,12,,,,
06.04.2020 11:00,7.4,751.0,760.2,-1.1,49,Wind blowing from the north-northwest,4,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.3,7.4,,,2500 or more  or no clouds.,,,30.0,-2.6,No precipitation,12,,,,
06.04.2020 08:00,3.6,752.1,761.4,-0.1,47,Wind blowing from the north-west,5,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.1,3.8,,,2500 or more  or no clouds.,,,30.0,-6.9,No precipitation,12,,,,
06.04.2020 05:00,1.0,752.2,761.5,-0.1,50,Wind blowing from the north-west,7,,11,,Cloud development not observed or not observable. ,,,-1.6,3.8,,,2500 or more  or no clouds.,,,30.0,-8.3,No precipitation,12,,,,
06.04.2020 02:00,1.1,752.3,761.7,,56,Wind blowing from the north-west,4,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.6,3.8,,,2500 or more  or no clouds.,,,30.0,-6.9,No precipitation,12,,,,
