Local time in Huma,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,-1.4,753.1,769.6,0.3,50,Wind blowing from the north,5,,13,,Cloud development not observed or not observable. ,,,-2.8,6.3,,,2500 or more  or no clouds.,,,30.0,-10.5,No precipitation,12,,,,
07.04.2020 20:00,0.4,752.8,769.4,1.4,46,Wind blowing from the north-northwest,5,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.8,6.3,,,2500 or more  or no clouds.,,,30.0,-9.9,No precipitation,12,,,,
07.04.2020 17:00,5.3,751.4,767.9,0.5,30,Wind blowing from the north,7,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.8,6.3,,,2500 or more  or no clouds.,,,30.0,-10.9,No precipitation,12,,,,
07.04.2020 14:00,5.2,750.9,767.3,-0.5,37,Wind blowing from the north,7,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.8,5.2,,,2500 or more  or no clouds.,,,30.0,-8.6,No precipitation,12,,,,
07.04.2020 11:00,2.0,751.4,768.0,1.1,58,Wind blowing from the north,7,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.8,5.1,,,2500 or more  or no clouds.,,,30.0,-5.4,No precipitation,12,,,,
07.04.2020 08:00,0.2,750.3,766.9,0.7,40,Wind blowing from the north,9,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.8,,,,2500 or more  or no clouds.,,,30.0,-11.8,No precipitation,12,,,,
07.04.2020 05:00,-2.6,749.6,766.1,0.5,50,Wind blowing from the north-northwest,7,,12,,Cloud development not observed or not observable. ,,,-2.7,5.1,,,2500 or more  or no clouds.,,,30.0,-11.8,No precipitation,12,,,,
07.04.2020 02:00,-0.6,749.1,765.5,-0.1,43,Wind blowing from the north-northwest,8,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.3,5.1,,,2500 or more  or no clouds.,,,30.0,-11.9,No precipitation,12,,,,
06.04.2020 23:00,-0.5,749.2,765.7,-0.3,44,Wind blowing from the north-northwest,6,,15,,Cloud development not observed or not observable. ,,,-1.3,5.1,,,2500 or more  or no clouds.,,,30.0,-11.3,No precipitation,12,,,,
06.04.2020 20:00,-0.3,749.5,766.1,0.6,48,Wind blowing from the north-northwest,4,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.2,5.1,,,2500 or more  or no clouds.,,,30.0,-10.0,No precipitation,12,,,,
