Local time in Jixi,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,-0.2,734.7,760.2,-0.4,96,Wind blowing from the west,2,,9,,Intermittent fall of snowflakes  slight at time of observation. ,,,-0.8,,,,2500 or more  or no clouds.,,,19.0,-0.8,7.0,12,,,,
07.04.2020 20:00,-0.7,735.1,760.7,0.6,96,Wind blowing from the south-west,2,,9,,Intermittent fall of snowflakes  slight at time of observation. ,Snow and/or other types of solid precipitation,Snow and/or other types of solid precipitation,-0.8,,,,2500 or more  or no clouds.,,,5.0,-1.3,9.0,12,,,,
07.04.2020 17:00,-0.5,734.5,760.0,0.2,96,Wind blowing from the west,4,,9,,Intermittent fall of snowflakes  slight at time of observation. ,Snow and/or other types of solid precipitation,Snow and/or other types of solid precipitation,-0.8,,,,2500 or more  or no clouds.,,,1.6,-1.1,9.0,12,,,,
07.04.2020 14:00,-0.3,734.3,759.5,0.0,94,Wind blowing from the west,4,,11,,Intermittent fall of snowflakes  slight at time of observation. ,Snow and/or other types of solid precipitation,Snow and/or other types of solid precipitation,-0.8,12.7,,,2500 or more  or no clouds.,,,1.9,-1.1,8.0,12,,,,
07.04.2020 11:00,-0.3,734.3,759.6,0.3,93,Wind blowing from the west,4,,11,,Rain or drizzle and snow  slight. ,Snow and/or other types of solid precipitation,Snow and/or other types of solid precipitation,-0.8,12.8,,,2500 or more  or no clouds.,,,2.7,-1.3,4.0,12,,,,
07.04.2020 08:00,-0.3,734.0,759.1,0.3,95,Wind blowing from the west,2,,11,,Intermittent fall of snowflakes  slight at time of observation. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.7,12.8,,,2500 or more  or no clouds.,,,3.5,-1.0,2.0,12,,,,
07.04.2020 05:00,-0.1,733.7,758.6,0.6,95,Wind blowing from the west,4,,11,,Intermittent fall of snowflakes  slight at time of observation. ,,,-1.3,12.8,,,2500 or more  or no clouds.,,,1.8,-0.8,0.7,12,,,,
07.04.2020 02:00,5.2,733.1,757.7,-0.4,42,Wind blowing from the west,4,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.3,12.8,,,2500 or more  or no clouds.,,,15.0,-6.7,No precipitation,12,,,,
06.04.2020 23:00,4.8,733.5,758.2,-0.8,35,Wind blowing from the west-northwest,2,,,,Cloud development not observed or not observable. ,,,-2.3,12.8,,,2500 or more  or no clouds.,,,14.0,-9.4,No precipitation,12,,,,
06.04.2020 20:00,7.4,734.3,759.2,0.4,24,Wind blowing from the south-west,3,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.3,12.8,,,2500 or more  or no clouds.,,,16.0,-11.9,No precipitation,12,,,,
06.04.2020 17:00,11.6,733.9,758.9,-0.9,15,Wind blowing from the west-northwest,5,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.3,12.8,,,2500 or more  or no clouds.,,,24.0,-14.2,No precipitation,12,,,,
06.04.2020 14:00,12.4,734.8,759.7,-1.2,14,Wind blowing from the west-northwest,6,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.3,12.8,,,2500 or more  or no clouds.,,,23.0,-14.4,No precipitation,12,,,,
06.04.2020 11:00,10.9,736.0,761.0,-1.8,16,Wind blowing from the west-northwest,8,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.3,11.0,,,2500 or more  or no clouds.,,,30.0,-13.9,No precipitation,12,,,,
06.04.2020 08:00,5.4,737.8,762.9,-0.6,29,Wind blowing from the west-southwest,5,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.3,7.3,,,2500 or more  or no clouds.,,,28.0,-11.2,No precipitation,12,,,,
06.04.2020 05:00,-1.3,738.4,763.7,-0.3,48,Wind blowing from the west-southwest,2,,11,,Cloud development not observed or not observable. ,,,-2.3,7.3,,,2500 or more  or no clouds.,,,30.0,-10.9,No precipitation,12,,,,
06.04.2020 02:00,-0.4,738.7,764.1,-0.6,49,Wind blowing from the south-west,2,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.9,7.3,,,2500 or more  or no clouds.,,,30.0,-9.8,No precipitation,12,,,,
05.04.2020 23:00,0.7,739.3,764.8,0.0,48,Wind blowing from the south-west,3,,16,,Cloud development not observed or not observable. ,,,-0.8,7.3,,,2500 or more  or no clouds.,,,30.0,-9.1,No precipitation,12,,,,
05.04.2020 20:00,4.3,739.3,764.7,0.9,36,Wind blowing from the west,4,,18,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.8,7.3,,,2500 or more  or no clouds.,,,30.0,-9.5,No precipitation,12,,,,
05.04.2020 17:00,6.7,738.4,763.8,-0.3,27,Wind blowing from the north-west,8,,18,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.8,7.3,,,2500 or more  or no clouds.,,,30.0,-11.0,No precipitation,12,,,,
05.04.2020 14:00,6.6,738.7,764.0,-0.9,32,Wind blowing from the north-west,8,,18,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.7,6.8,,,2500 or more  or no clouds.,,,30.0,-8.9,No precipitation,12,,,,
