Local time in Keshan,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 20:00,0.7,738.7,766.0,1.2,71,Wind blowing from the north,6,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.3,5.9,,,2500 or more  or no clouds.,,,30.0,-4.0,No precipitation,12,,,,
07.04.2020 17:00,2.7,737.5,764.8,1.1,54,Wind blowing from the north-northeast,10,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.3,5.9,,,2500 or more  or no clouds.,,,30.0,-5.9,No precipitation,12,,,,
07.04.2020 14:00,5.1,736.4,763.6,-0.1,35,Wind blowing from the north,10,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.3,5.9,,,2500 or more  or no clouds.,,,30.0,-9.1,No precipitation,12,,,,
07.04.2020 11:00,5.4,736.5,763.7,-0.1,33,Wind blowing from the north,9,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.3,5.9,,,2500 or more  or no clouds.,,,30.0,-9.6,No precipitation,12,,,,
07.04.2020 08:00,0.8,736.6,763.9,0.0,36,Wind blowing from the north-northwest,10,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.3,5.9,,,2500 or more  or no clouds.,,,30.0,-12.6,No precipitation,12,,,,
07.04.2020 05:00,-3.2,736.6,763.8,-0.5,42,Wind blowing from the north-northwest,7,,14,,Cloud development not observed or not observable. ,,,-3.3,5.9,,,2500 or more  or no clouds.,,,30.0,-14.3,No precipitation,12,,,,
07.04.2020 02:00,-1.6,737.1,764.3,,40,Wind blowing from the north-northwest,7,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.3,5.9,,,2500 or more  or no clouds.,,,30.0,-13.7,No precipitation,12,,,,
06.04.2020 20:00,-0.2,737.6,764.8,1.0,28,Wind blowing from the north,5,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.4,5.9,,,2500 or more  or no clouds.,,,30.0,-16.5,No precipitation,12,,,,
06.04.2020 17:00,4.8,736.6,763.6,-0.6,20,Wind blowing from the north-northwest,11,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.4,10.2,,,2500 or more  or no clouds.,,,30.0,-16.3,No precipitation,12,,,,
06.04.2020 14:00,4.0,737.2,764.2,-0.1,39,Wind blowing from the north,8,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.4,11.0,,,2500 or more  or no clouds.,,,30.0,-8.7,No precipitation,12,,,,
