Local time in Mudanjiang,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,-1.1,732.8,761.2,-0.5,92,Wind blowing from the west,2,,15,,Intermittent fall of snowflakes  slight at time of observation. ,,,-1.1,4.6,,,2500 or more  or no clouds.,,,4.0,-2.2,0.5,12,,,,
07.04.2020 20:00,0.7,733.3,761.7,0.9,69,Wind blowing from the west,4,,15,,Intermittent fall of snowflakes  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.7,4.6,,,2500 or more  or no clouds.,,,12.0,-4.5,No precipitation,12,,,,
07.04.2020 17:00,1.9,732.4,760.9,0.3,57,Wind blowing from the west,9,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.7,,,,2500 or more  or no clouds.,,,30.0,-5.7,No precipitation,12,,,,
07.04.2020 14:00,2.9,732.1,760.3,0.0,47,Wind blowing from the west-northwest,8,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.7,,,,2500 or more  or no clouds.,,,30.0,-7.3,No precipitation,12,,,,
07.04.2020 11:00,3.5,732.1,760.3,-0.2,42,Wind blowing from the west,9,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.7,,,,2500 or more  or no clouds.,,,30.0,-8.2,No precipitation,12,,,,
07.04.2020 08:00,2.9,732.3,760.5,-0.6,39,Wind blowing from the west,7,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.7,,,,2500 or more  or no clouds.,,,30.0,-9.7,No precipitation,12,,,,
07.04.2020 05:00,0.0,732.9,760.9,0.5,59,Wind blowing from the west,6,,11,,Cloud development not observed or not observable. ,,,-4.1,14.0,,,2500 or more  or no clouds.,,,30.0,-7.1,No precipitation,12,,,,
07.04.2020 02:00,1.5,732.4,760.1,0.1,71,Wind blowing from the west,7,,11,,Intermittent fall of snowflakes  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.3,14.0,,,2500 or more  or no clouds.,,,15.0,-3.2,No precipitation,12,,,,
06.04.2020 23:00,3.0,732.3,760.1,0.2,43,Wind blowing from the east-southeast,1,,12,,Cloud development not observed or not observable. ,,,-4.3,14.0,,,2500 or more  or no clouds.,,,16.0,-8.4,No precipitation,12,,,,
06.04.2020 20:00,4.1,732.1,760.3,0.0,26,Wind blowing from the east-southeast,1,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.3,14.0,,,2500 or more  or no clouds.,,,27.0,-13.7,No precipitation,12,,,,
06.04.2020 17:00,10.5,732.1,760.3,-1.0,17,Wind blowing from the west,4,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.3,14.0,,,2500 or more  or no clouds.,,,27.0,-13.5,No precipitation,12,,,,
06.04.2020 14:00,13.5,733.1,761.2,-1.6,12,Wind blowing from the west-northwest,6,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.3,14.0,,,2500 or more  or no clouds.,,,24.0,-15.4,No precipitation,12,,,,
06.04.2020 11:00,11.3,734.7,762.8,-1.9,15,Wind blowing from the west,7,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.3,11.3,,,2500 or more  or no clouds.,,,14.0,-14.4,No precipitation,12,,,,
06.04.2020 08:00,3.3,736.6,764.9,-0.4,37,Wind blowing from the south-southwest,2,,5,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.3,10.4,,,2500 or more  or no clouds.,,,5.0,-10.0,No precipitation,12,,,,
06.04.2020 05:00,-3.5,737.0,765.5,-0.4,58,Wind blowing from the south-east,2,,9,,Cloud development not observed or not observable. ,,,-4.6,10.4,,,2500 or more  or no clouds.,,,30.0,-10.6,No precipitation,12,,,,
06.04.2020 02:00,-2.8,737.4,765.8,-0.4,54,Wind blowing from the south,1,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.6,10.4,,,2500 or more  or no clouds.,,,30.0,-11.0,No precipitation,12,,,,
05.04.2020 23:00,-1.0,737.8,766.3,0.1,46,Wind blowing from the south-southeast,1,,15,,Cloud development not observed or not observable. ,,,-4.6,10.4,,,2500 or more  or no clouds.,,,30.0,-11.4,No precipitation,12,,,,
05.04.2020 20:00,3.6,737.7,766.1,1.2,31,Wind blowing from the west-southwest,3,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.6,10.4,,,2500 or more  or no clouds.,,,30.0,-12.0,No precipitation,12,,,,
05.04.2020 17:00,8.1,736.5,765.0,0.0,25,Wind blowing from the west-northwest,5,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.6,10.4,,,2500 or more  or no clouds.,,,30.0,-10.7,No precipitation,12,,,,
05.04.2020 14:00,8.7,736.5,764.8,-0.7,21,Wind blowing from the north,7,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.6,10.4,,,2500 or more  or no clouds.,,,30.0,-12.4,No precipitation,12,,,,
05.04.2020 11:00,6.8,737.2,765.6,-1.0,26,Wind blowing from the north,5,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.6,6.8,,,2500 or more  or no clouds.,,,30.0,-11.4,No precipitation,12,,,,
05.04.2020 08:00,2.4,738.2,766.9,0.4,42,Wind blowing from the west,4,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.6,2.4,,,2500 or more  or no clouds.,,,30.0,-9.2,No precipitation,12,,,,
05.04.2020 05:00,-3.8,737.8,766.6,0.5,63,Wind blowing from the west-northwest,2,,17,,Cloud development not observed or not observable. ,,,-4.6,2.2,,,2500 or more  or no clouds.,,,30.0,-9.8,No precipitation,12,,,,
05.04.2020 02:00,-2.0,737.3,766.1,0.5,56,Wind blowing from the west,5,,18,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.1,2.2,,,2500 or more  or no clouds.,,,30.0,-9.6,No precipitation,12,,,,
04.04.2020 23:00,0.2,736.8,765.4,0.3,46,Wind blowing from the west-northwest,5,,18,,Cloud development not observed or not observable. ,,,,2.2,,,2500 or more  or no clouds.,,,30.0,-10.1,No precipitation,12,,,,
04.04.2020 20:00,0.6,736.5,765.3,1.1,45,Wind blowing from the west,7,,18,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.1,2.2,,,2500 or more  or no clouds.,,,30.0,-10.0,No precipitation,12,,,,
