Local time in Nenjiang,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,1.4,744.7,767.4,-0.1,42,Wind blowing from the north,5,,16,,Cloud development not observed or not observable. ,,,-1.2,6.0,,,2500 or more  or no clouds.,,,30.0,-10.1,No precipitation,12,,,,
07.04.2020 20:00,2.1,744.8,767.6,1.3,55,Wind blowing from the north,4,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.2,6.0,,,2500 or more  or no clouds.,,,30.0,-6.2,No precipitation,12,,,,
07.04.2020 17:00,3.9,743.5,766.3,1.1,45,Wind blowing from the north-northeast,8,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.2,6.0,,,2500 or more  or no clouds.,,,30.0,-7.2,No precipitation,12,,,,
07.04.2020 14:00,5.5,742.4,765.1,-0.1,34,Wind blowing from the north-northeast,9,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.2,6.0,,,2500 or more  or no clouds.,,,30.0,-9.1,No precipitation,12,,,,
07.04.2020 11:00,4.8,742.5,765.1,0.0,31,Wind blowing from the north-northeast,9,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.2,6.0,,,2500 or more  or no clouds.,,,30.0,-10.9,No precipitation,12,,,,
07.04.2020 08:00,0.5,742.5,765.3,0.2,39,Wind blowing from the north,6,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.2,,,,2500 or more  or no clouds.,,,30.0,-11.9,No precipitation,12,,,,
07.04.2020 05:00,-1.0,742.3,765.1,-0.3,42,Wind blowing from the north-northwest,5,,11,,Cloud development not observed or not observable. ,,,-1.2,6.0,,,2500 or more  or no clouds.,,,30.0,-12.3,No precipitation,12,,,,
07.04.2020 02:00,-0.5,742.6,765.2,-0.5,37,Wind blowing from the north-northwest,6,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.6,6.0,,,2500 or more  or no clouds.,,,30.0,-13.4,No precipitation,12,,,,
06.04.2020 23:00,0.3,743.1,765.8,-0.1,35,Wind blowing from the north-northwest,5,,13,,Cloud development not observed or not observable. ,,,0.0,6.0,,,2500 or more  or no clouds.,,,30.0,-13.4,No precipitation,12,,,,
06.04.2020 20:00,1.7,743.2,765.9,1.2,31,Wind blowing from the north,4,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.1,6.7,,,2500 or more  or no clouds.,,,30.0,-13.6,No precipitation,12,,,,
06.04.2020 17:00,5.1,742.0,764.7,-0.3,19,Wind blowing from the north,6,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.1,11.3,,,2500 or more  or no clouds.,,,30.0,-16.6,No precipitation,12,,,,
06.04.2020 14:00,5.6,742.3,764.9,-0.9,19,Wind blowing from the north,7,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.1,12.5,,,2500 or more  or no clouds.,,,30.0,-16.2,No precipitation,12,,,,
06.04.2020 11:00,4.0,743.2,765.8,-0.5,29,Wind blowing from the north,7,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.1,,,,2500 or more  or no clouds.,,,30.0,-12.4,No precipitation,12,,,,
06.04.2020 08:00,1.9,743.7,766.3,0.7,49,Wind blowing from the north,7,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.1,12.5,,,2500 or more  or no clouds.,,,30.0,-7.7,No precipitation,12,,,,
06.04.2020 05:00,0.3,743.0,765.4,0.7,64,Wind blowing from the north,5,,15,,Cloud development not observed or not observable. ,,,-9.3,12.5,,,2500 or more  or no clouds.,,,30.0,-5.7,No precipitation,12,,,,
06.04.2020 02:00,1.9,742.3,764.6,1.3,58,Wind blowing from the north,5,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,12.5,,,2500 or more  or no clouds.,,,30.0,-5.5,No precipitation,12,,,,
05.04.2020 23:00,2.9,741.0,763.3,-0.5,31,Wind blowing from the south-west,4,,10,,Cloud development not observed or not observable. ,,,,12.5,,,2500 or more  or no clouds.,,,30.0,-12.6,No precipitation,12,,,,
05.04.2020 20:00,6.8,741.5,763.9,0.0,21,Wind blowing from the south-southwest,7,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,12.5,,,2500 or more  or no clouds.,,,30.0,-14.0,No precipitation,12,,,,
05.04.2020 17:00,11.3,741.5,764.2,-1.4,16,Wind blowing from the south-west,6,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.7,12.5,,,2500 or more  or no clouds.,,,23.0,-13.6,No precipitation,12,,,,
05.04.2020 14:00,11.2,742.9,765.7,-2.1,15,Wind blowing from the west,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.7,11.6,,,2500 or more  or no clouds.,,,30.0,-14.5,No precipitation,12,,,,
