Local time in Shangzhi,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 20:00,1.3,745.4,763.3,0.7,76,Wind blowing from the west,2,,9,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,4.9,,,2500 or more  or no clouds.,,,28.0,-2.5,No precipitation,12,,,,
07.04.2020 17:00,2.8,744.7,762.7,0.4,64,Wind blowing from the north,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.4,11.0,,,2500 or more  or no clouds.,,,18.0,-3.5,No precipitation,12,,,,
07.04.2020 14:00,4.0,744.3,762.1,-0.1,45,Wind blowing from the west-northwest,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.4,13.0,,,2500 or more  or no clouds.,,,30.0,-7.1,No precipitation,12,,,,
07.04.2020 11:00,3.3,744.4,762.2,-0.3,45,Wind blowing from the north-west,5,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.4,13.2,,,2500 or more  or no clouds.,,,30.0,-7.5,No precipitation,12,,,,
07.04.2020 08:00,1.9,744.7,762.5,0.0,45,Wind blowing from the west-northwest,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.4,13.2,,,2500 or more  or no clouds.,,,22.0,-8.8,No precipitation,12,,,,
07.04.2020 05:00,-3.0,744.7,762.4,-0.3,85,Wind blowing from the south-west,3,,10,,Cloud development not observed or not observable. ,,,-3.8,13.2,,,2500 or more  or no clouds.,,,16.0,-5.2,No precipitation,12,,,,
07.04.2020 02:00,-0.4,745.0,762.6,,69,Wind blowing from the west,2,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.6,13.2,,,2500 or more  or no clouds.,,,30.0,-5.4,No precipitation,12,,,,
06.04.2020 20:00,4.8,744.9,762.7,2.5,53,Wind blowing from the north-west,4,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.7,13.2,,,2500 or more  or no clouds.,,,15.0,-4.0,No precipitation,12,,,,
06.04.2020 17:00,10.9,742.4,760.1,-1.5,28,Wind blowing from the south-west,2,,9,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.7,13.2,,,2500 or more  or no clouds.,,,4.4,-6.9,No precipitation,12,,,,
06.04.2020 14:00,12.8,743.9,761.5,-2.2,20,Wind blowing from the west-southwest,4,,9,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.7,13.2,,,2500 or more  or no clouds.,,,5.0,-9.6,No precipitation,12,,,,
