Local time in Suifenhe,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 20:00,-2.1,707.8,760.0,0.5,96,Wind blowing from the west,3,,17,,Snow not falling as shower(s). ,Snow and/or other types of solid precipitation,Rain.,-2.1,4.9,,,2500 or more  or no clouds.,,,1.5,-2.7,2.0,12,,,,
07.04.2020 17:00,-0.5,707.3,759.3,0.4,72,Wind blowing from the west-northwest,5,,17,,Intermittent fall of snowflakes  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.0,,,,2500 or more  or no clouds.,,,16.0,-4.9,0.1,12,,,,
07.04.2020 14:00,1.5,706.9,758.4,-0.1,47,Wind blowing from the west-northwest,7,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.0,,,,2500 or more  or no clouds.,,,30.0,-8.6,0.1,12,,,,
07.04.2020 11:00,1.2,707.0,758.5,-0.2,47,Wind blowing from the west-northwest,7,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.0,,,,2500 or more  or no clouds.,,,30.0,-9.1,0.1,12,,,,
07.04.2020 08:00,-1.1,707.2,758.7,0.4,59,Wind blowing from the west,8,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.0,10.9,,,2500 or more  or no clouds.,,,30.0,-8.1,0.1,12,,,,
07.04.2020 05:00,-0.8,706.8,757.9,-0.4,77,Wind blowing from the west,8,,14,,Cloud development not observed or not observable. ,,,-1.9,10.9,,,2500 or more  or no clouds.,,,30.0,-4.3,No precipitation,12,,,,
07.04.2020 02:00,2.4,707.2,757.9,,40,Wind blowing from the west,3,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.9,10.9,,,2500 or more  or no clouds.,,,14.0,-9.8,No precipitation,12,,,,
06.04.2020 20:00,4.9,708.9,760.0,0.5,27,Wind blowing from the west,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.9,10.9,,,2500 or more  or no clouds.,,,19.0,-12.5,No precipitation,12,,,,
06.04.2020 17:00,9.0,708.4,759.6,-0.5,19,Wind blowing from the west-northwest,5,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.9,10.9,,,2500 or more  or no clouds.,,,24.0,-13.4,No precipitation,12,,,,
06.04.2020 14:00,10.1,708.9,760.0,-1.3,20,Wind blowing from the north-west,5,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.9,10.3,,,2500 or more  or no clouds.,,,30.0,-11.8,No precipitation,12,,,,
06.04.2020 11:00,7.9,710.2,761.5,-1.0,21,Wind blowing from the west-northwest,7,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.9,8.0,,,2500 or more  or no clouds.,,,30.0,-13.1,No precipitation,12,,,,
06.04.2020 08:00,3.7,711.2,762.8,-0.5,28,Wind blowing from the west-northwest,6,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.9,4.7,,,2500 or more  or no clouds.,,,30.0,-13.1,No precipitation,12,,,,
06.04.2020 05:00,-1.7,711.7,763.7,-0.3,46,Wind blowing from the west,4,,10,,Cloud development not observed or not observable. ,,,-3.0,4.7,,,2500 or more  or no clouds.,,,30.0,-11.8,No precipitation,12,,,,
06.04.2020 02:00,-0.8,712.0,764.0,,47,Wind blowing from the west,3,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.0,4.7,,,2500 or more  or no clouds.,,,30.0,-10.7,No precipitation,12,,,,
05.04.2020 20:00,1.8,712.6,764.8,1.1,42,Wind blowing from the west-northwest,4,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.0,4.7,,,2500 or more  or no clouds.,,,30.0,-10.0,No precipitation,12,,,,
05.04.2020 17:00,4.3,711.5,763.6,0.1,37,Wind blowing from the north-west,5,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.5,4.7,,,2500 or more  or no clouds.,,,30.0,-9.1,No precipitation,12,,,,
05.04.2020 14:00,3.6,711.4,763.3,-0.1,43,Wind blowing from the north-west,8,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.6,3.6,,,2500 or more  or no clouds.,,,30.0,-7.8,No precipitation,12,,,,
05.04.2020 11:00,1.1,711.5,763.8,-0.1,51,Wind blowing from the north-west,7,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.6,1.2,,,2500 or more  or no clouds.,,,30.0,-7.9,No precipitation,12,,,,
05.04.2020 08:00,-0.9,711.6,764.2,0.8,60,Wind blowing from the north-west,7,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.9,-0.9,,,2500 or more  or no clouds.,,,30.0,-7.7,2.0,12,,,,
05.04.2020 05:00,-2.8,710.8,763.5,0.9,73,Wind blowing from the west-northwest,8,,20,,Snow not falling as shower(s). ,,,-5.2,-1.3,,,2500 or more  or no clouds.,,,25.0,-7.0,4.0,12,,,,
05.04.2020 02:00,-1.6,709.9,762.5,,66,Wind blowing from the west-northwest,6,,20,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.2,-1.6,,,2500 or more  or no clouds.,,,30.0,-7.1,6.0,12,,,,
04.04.2020 20:00,-2.9,708.7,761.4,1.2,93,Wind blowing from the west-northwest,8,,20,,Snow not falling as shower(s). ,Snow and/or other types of solid precipitation,Fog or ice fog or thick haze.,-5.2,,,,2500 or more  or no clouds.,,,1.0,-3.9,4.0,12,,,,
04.04.2020 17:00,-3.5,707.5,760.2,1.2,92,Wind blowing from the west-northwest,9,,20,,Fog or ice fog. ,Snow and/or other types of solid precipitation,Fog or ice fog or thick haze.,-5.2,,,,2500 or more  or no clouds.,,,1.0,-4.6,2.0,12,,,,
04.04.2020 14:00,-4.2,706.3,759.0,0.2,81,Wind blowing from the west-northwest,9,,20,,Intermittent fall of snowflakes  slight at time of observation. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.2,,,,2500 or more  or no clouds.,,,4.5,-7.0,0.2,12,,,,
04.04.2020 11:00,-4.3,706.1,758.5,0.0,79,Wind blowing from the west-northwest,8,,18,,Intermittent fall of snowflakes  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.2,,,,2500 or more  or no clouds.,,,4.4,-7.4,0.2,12,,,,
04.04.2020 08:00,-4.8,706.1,758.2,0.3,76,Wind blowing from the west-northwest,8,,18,,Intermittent fall of snowflakes  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.2,10.3,,,2500 or more  or no clouds.,,,10.0,-8.4,0.1,12,,,,
04.04.2020 05:00,-4.6,705.8,757.3,-0.2,77,Wind blowing from the west-northwest,9,,16,,Intermittent fall of snowflakes  slight at time of observation. ,,,-5.0,10.3,,,2500 or more  or no clouds.,,,6.0,-8.0,0.2,12,,,,
04.04.2020 02:00,-4.4,706.0,757.3,,71,Wind blowing from the west-northwest,6,,15,,Snow not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.4,10.3,,,2500 or more  or no clouds.,,,30.0,-8.9,0.2,12,,,,
03.04.2020 20:00,1.8,704.9,756.1,1.6,80,Wind blowing from the west-northwest,5,,15,,Intermittent fall of snowflakes  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.9,10.3,,,2500 or more  or no clouds.,,,20.0,-1.4,0.1,12,,,,
