Local time in Sunwu,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 20:00,3.2,743.8,765.9,0.7,44,Wind blowing from the north-northeast,6,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.7,3.6,,,2500 or more  or no clouds.,,,30.0,-7.9,0.1,12,,,,
07.04.2020 17:00,3.6,743.1,765.1,0.2,55,Wind blowing from the north,6,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.7,3.9,,,2500 or more  or no clouds.,,,30.0,-4.8,0.1,12,,,,
07.04.2020 14:00,0.8,742.9,765.0,0.4,80,Wind blowing from the north,5,,13,,Rain or drizzle and snow  slight. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.7,,,,2500 or more  or no clouds.,,,30.0,-2.3,0.1,12,,,,
07.04.2020 11:00,0.7,742.5,764.5,1.2,59,Wind blowing from the north-northeast,6,,13,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.7,,,,2500 or more  or no clouds.,,,30.0,-6.6,No precipitation,12,,,,
07.04.2020 08:00,0.1,741.3,763.3,0.5,57,Wind blowing from the north-northeast,6,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.7,,,,2500 or more  or no clouds.,,,30.0,-7.6,No precipitation,12,,,,
07.04.2020 05:00,-0.6,740.8,762.7,0.0,54,Wind blowing from the north,5,,11,,Intermittent fall of snowflakes  slight at time of observation. ,,,-0.7,4.6,,,2500 or more  or no clouds.,,,30.0,-8.8,No precipitation,12,,,,
07.04.2020 02:00,-0.5,740.8,762.7,,44,Wind blowing from the north-west,2,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.5,4.6,,,2500 or more  or no clouds.,,,30.0,-11.3,No precipitation,12,,,,
06.04.2020 20:00,0.7,742.4,764.5,0.7,32,Wind blowing from the north-northwest,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.0,4.6,,,2500 or more  or no clouds.,,,30.0,-14.1,No precipitation,12,,,,
06.04.2020 17:00,3.9,741.7,763.6,-0.3,27,Wind blowing from the north-east,4,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.0,,,,2500 or more  or no clouds.,,,30.0,-13.4,No precipitation,12,,,,
06.04.2020 14:00,3.9,742.0,764.0,-1.0,33,Wind blowing from the north-northeast,5,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.0,,,,2500 or more  or no clouds.,,,30.0,-10.9,No precipitation,12,,,,
