Local time in Tailai,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 20:00,2.9,753.1,766.2,0.9,33,Wind blowing from the north,3,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.9,8.6,,,2500 or more  or no clouds.,,,16.0,-11.8,No precipitation,12,,,,
07.04.2020 17:00,7.3,752.2,765.2,-0.2,22,Wind blowing from the north-northeast,6,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.9,8.6,,,2500 or more  or no clouds.,,,30.0,-13.0,No precipitation,12,,,,
07.04.2020 14:00,7.5,752.4,765.4,-0.7,22,Wind blowing from the north,8,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.9,9.4,,,2500 or more  or no clouds.,,,15.0,-12.8,No precipitation,12,,,,
07.04.2020 11:00,6.4,753.1,766.1,-0.2,28,Wind blowing from the north,10,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.9,9.4,,,2500 or more  or no clouds.,,,10.0,-10.8,No precipitation,12,,,,
07.04.2020 08:00,3.9,753.3,766.4,-0.1,38,Wind blowing from the north,5,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.9,9.4,,,2500 or more  or no clouds.,,,8.0,-9.1,No precipitation,12,,,,
07.04.2020 05:00,-0.6,753.4,766.4,-0.2,41,Wind blowing from the north-northwest,3,,8,,Cloud development not observed or not observable. ,,,-3.3,9.4,,,2500 or more  or no clouds.,,,22.0,-12.5,No precipitation,12,,,,
07.04.2020 02:00,-0.3,753.6,766.6,,33,Wind blowing from the north,3,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.3,9.4,,,2500 or more  or no clouds.,,,11.0,-14.6,No precipitation,12,,,,
06.04.2020 20:00,1.2,753.4,766.6,1.3,25,Wind blowing from the west-northwest,1,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.3,9.4,,,2500 or more  or no clouds.,,,23.0,-16.7,No precipitation,12,,,,
06.04.2020 17:00,7.4,752.1,765.1,-0.1,21,Wind blowing from the north-northeast,5,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.3,12.1,,,2500 or more  or no clouds.,,,30.0,-13.5,No precipitation,12,,,,
06.04.2020 14:00,8.6,752.2,765.2,-0.7,29,Wind blowing from the north,8,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.3,12.9,,,2500 or more  or no clouds.,,,20.0,-8.4,No precipitation,12,,,,
06.04.2020 11:00,7.4,752.9,765.9,0.6,37,Wind blowing from the north-northeast,9,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.3,12.9,,,2500 or more  or no clouds.,,,9.0,-6.3,No precipitation,12,,,,
06.04.2020 08:00,4.0,752.3,765.4,1.4,48,Wind blowing from the north-northeast,9,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.3,12.9,,,2500 or more  or no clouds.,,,17.0,-6.0,No precipitation,12,,,,
06.04.2020 05:00,-1.0,750.9,763.9,-0.5,34,Wind blowing from the west-northwest,0,,4,,Haze. ,,,-9.1,12.9,,,2500 or more  or no clouds.,,,3.7,-14.9,No precipitation,12,,,,
06.04.2020 02:00,1.3,751.4,764.3,,26,Wind blowing from the south,2,,8,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,12.9,,,2500 or more  or no clouds.,,,4.2,-16.1,No precipitation,12,,,,
05.04.2020 20:00,4.2,753.0,766.0,0.3,16,Wind blowing from the south,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,12.9,,,2500 or more  or no clouds.,,,22.0,-19.4,,,,,,
05.04.2020 17:00,12.1,752.7,765.8,-1.4,9,Wind blowing from the west-southwest,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.1,12.9,,,2500 or more  or no clouds.,,,30.0,-19.9,,,,,,
05.04.2020 14:00,11.7,754.1,767.2,-2.2,8,Wind blowing from the south-southwest,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.1,11.9,,,2500 or more  or no clouds.,,,30.0,-21.5,0.2,12,,,,
05.04.2020 11:00,8.9,756.3,769.5,-1.0,9,Wind blowing from the south-west,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.1,9.0,,,2500 or more  or no clouds.,,,26.0,-22.3,0.2,12,,,,
