Local time in Tonghe,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,0.6,751.4,761.8,-0.7,97,Wind blowing from the west,4,,8,,Rain (not freezing) not falling as shower(s). ,,,-1.1,3.0,,,2500 or more  or no clouds.,,,6.0,0.2,1.0,12,,,,
07.04.2020 20:00,0.5,752.1,762.5,0.8,96,Wind blowing from the west,3,,9,,Rain or drizzle and snow  slight. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.1,5.1,,,2500 or more  or no clouds.,,,4.3,-0.1,1.0,12,,,,
07.04.2020 17:00,2.1,751.3,761.7,0.3,89,Wind blowing from the west,4,,9,,Rain  not freezing  intermittent  slight at time of observation. ,Rain and snow or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.1,,,,2500 or more  or no clouds.,,,26.0,0.5,0.5,12,,,,
07.04.2020 14:00,2.8,751.0,761.3,0.3,82,Wind blowing from the west-northwest,4,,10,,Intermittent fall of snowflakes  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.1,,,,2500 or more  or no clouds.,,,26.0,0.0,1.0,12,,,,
07.04.2020 11:00,1.7,750.7,761.1,0.5,77,Wind blowing from the west,6,,10,,Rain or drizzle and snow  slight. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.1,,,,2500 or more  or no clouds.,,,25.0,-1.9,1.0,12,,,,
07.04.2020 08:00,0.4,750.2,760.5,0.3,77,Wind blowing from the west-northwest,5,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.1,,,,2500 or more  or no clouds.,,,30.0,-3.3,0.9,12,,,,
07.04.2020 05:00,-0.9,749.9,760.1,0.2,87,Wind blowing from the west,5,,11,,Intermittent fall of snowflakes  slight at time of observation. ,,,-3.0,13.7,,,2500 or more  or no clouds.,,,10.0,-2.8,0.9,12,,,,
07.04.2020 02:00,0.2,749.7,759.8,-0.9,87,Wind blowing from the west,6,,12,,Intermittent fall of snowflakes  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.1,13.7,,,2500 or more  or no clouds.,,,27.0,-1.7,No precipitation,12,,,,
06.04.2020 23:00,0.9,750.6,760.8,0.3,89,Wind blowing from the west-southwest,6,,,,Cloud development not observed or not observable. ,,,-5.1,13.7,,,2500 or more  or no clouds.,,,30.0,-0.7,No precipitation,12,,,,
06.04.2020 20:00,5.1,750.3,760.6,1.4,58,Wind blowing from the west,5,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.1,13.7,,,2500 or more  or no clouds.,,,30.0,-2.5,No precipitation,12,,,,
06.04.2020 17:00,9.7,748.9,759.1,-1.3,42,Wind blowing from the west-southwest,6,,,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.1,13.7,,,2500 or more  or no clouds.,,,4.7,-2.6,No precipitation,12,,,,
06.04.2020 14:00,13.3,750.2,760.4,-2.2,21,Wind blowing from the west,9,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.1,13.5,,,2500 or more  or no clouds.,,,9.0,-8.6,No precipitation,12,,,,
06.04.2020 11:00,10.7,752.4,762.6,-1.9,26,Wind blowing from the west,7,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.1,10.7,,,2500 or more  or no clouds.,,,7.0,-8.0,No precipitation,12,,,,
