Local time in Yichun,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,0.7,738.1,763.0,-0.5,96,Wind blowing from the west,1,,7,,Rain  not freezing  intermittent  slight at time of observation. ,,,,1.9,,,2500 or more  or no clouds.,,,12.0,0.1,3.0,12,,,,
07.04.2020 20:00,1.2,738.6,763.6,0.8,95,Wind blowing from the west-southwest,1,,7,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.3,1.9,,,2500 or more  or no clouds.,,,18.0,0.5,5.0,12,,,,
07.04.2020 17:00,1.9,737.8,762.7,0.6,92,Wind blowing from the north,2,,7,,Rain  not freezing  intermittent  slight at time of observation. ,Rain and snow or other types of solid precipitation,Rain.,-2.3,4.1,,,2500 or more  or no clouds.,,,22.0,0.7,6.0,12,,,,
07.04.2020 14:00,1.2,737.2,762.1,0.4,91,Wind blowing from the north,2,,7,,Rain or drizzle and snow  slight. ,Rain and snow or other types of solid precipitation,Rain.,-2.3,,,,2500 or more  or no clouds.,,,2.1,-0.1,8.0,12,,,,
07.04.2020 11:00,0.4,736.8,761.7,0.7,89,Wind blowing from the north-northwest,2,,5,,Rain or drizzle and snow  slight. ,Rain and snow or other types of solid precipitation,Rain and snow or other types of solid precipitation,-2.3,,,,2500 or more  or no clouds.,,,4.9,-1.2,8.0,12,,,,
07.04.2020 08:00,-1.7,736.1,761.0,0.2,94,Wind blowing from the west,2,,5,,Rain or drizzle and snow  slight. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.3,,,,2500 or more  or no clouds.,,,1.5,-2.5,8.0,12,,,,
07.04.2020 05:00,-2.2,735.9,760.6,-0.3,96,Wind blowing from the west,3,,11,,Intermittent fall of snowflakes  slight at time of observation. ,,,-5.7,12.7,,,2500 or more  or no clouds.,,,2.3,-2.8,6.0,12,,,,
07.04.2020 02:00,-1.7,736.2,760.6,-1.0,95,Wind blowing from the west,3,,14,,Intermittent fall of snowflakes  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.9,12.7,,,2500 or more  or no clouds.,,,2.7,-2.4,4.0,12,,,,
06.04.2020 23:00,-1.2,737.2,761.6,-0.7,95,Wind blowing from the west-northwest,2,,,,Intermittent fall of snowflakes  slight at time of observation. ,,,-5.9,12.7,,,2500 or more  or no clouds.,,,2.8,-1.9,2.0,12,,,,
06.04.2020 20:00,-0.1,737.9,762.7,1.9,87,Wind blowing from the north-west,3,,14,,Intermittent fall of snowflakes  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.9,12.7,,,2500 or more  or no clouds.,,,3.6,-2.0,No precipitation,12,,,,
06.04.2020 17:00,4.1,736.0,760.9,0.9,56,Wind blowing from the north-west,6,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.9,12.7,,,2500 or more  or no clouds.,,,30.0,-3.9,No precipitation,12,,,,
06.04.2020 14:00,11.5,735.1,759.5,-1.3,18,Wind blowing from the north-west,4,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.9,12.7,,,2500 or more  or no clouds.,,,25.0,-12.0,No precipitation,12,,,,
