Local time in Xinyang,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,14.3,753.4,763.6,0.7,68,Wind blowing from the west-northwest,2,,5,,Cloud development not observed or not observable. ,,,8.7,23.7,,,2500 or more  or no clouds.,,,16.0,8.5,No precipitation,12,,,,
07.04.2020 20:00,18.8,752.7,763.0,0.9,42,Wind blowing from the east-northeast,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.7,23.7,,,2500 or more  or no clouds.,,,16.0,5.6,No precipitation,12,,,,
07.04.2020 17:00,22.7,751.8,762.1,-1.4,27,Wind blowing from the south-east,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.7,23.7,,,2500 or more  or no clouds.,,,29.0,2.8,No precipitation,12,,,,
07.04.2020 14:00,23.3,753.2,763.6,-1.4,29,Wind blowing from the south-east,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.7,23.3,,,2500 or more  or no clouds.,,,27.0,4.3,No precipitation,12,,,,
07.04.2020 11:00,20.0,754.6,764.9,0.2,43,Wind blowing from the east,2,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.7,20.0,,,2500 or more  or no clouds.,,,14.0,7.1,No precipitation,12,,,,
07.04.2020 08:00,11.8,754.4,764.8,1.2,89,Wind blowing from the east,1,,2,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.7,18.6,,,2500 or more  or no clouds.,,,9.0,10.0,No precipitation,12,,,,
07.04.2020 05:00,9.1,753.2,763.6,-0.8,95,Wind blowing from the west,1,,2,,Cloud development not observed or not observable. ,,,8.9,18.6,,,2500 or more  or no clouds.,,,9.0,8.3,No precipitation,12,,,,
07.04.2020 02:00,9.9,754.0,764.4,-0.5,94,Wind blowing from the west,1,,2,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.9,18.6,,,2500 or more  or no clouds.,,,9.0,9.0,No precipitation,12,,,,
06.04.2020 23:00,11.4,754.5,764.9,0.7,90,Wind blowing from the west,1,,3,,Cloud development not observed or not observable. ,,,11.1,18.6,,,2500 or more  or no clouds.,,,11.0,9.8,No precipitation,12,,,,
06.04.2020 20:00,14.9,753.8,764.2,0.7,66,Wind blowing from the west-northwest,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.1,18.6,,,2500 or more  or no clouds.,,,12.0,8.6,No precipitation,12,,,,
06.04.2020 17:00,18.4,753.1,763.5,-1.2,43,Wind blowing from the east-northeast,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.1,18.7,,,2500 or more  or no clouds.,,,19.0,5.6,No precipitation,12,,,,
06.04.2020 14:00,17.8,754.3,764.7,-1.3,51,Wind blowing from the north-east,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.1,19.8,,,2500 or more  or no clouds.,,,19.0,7.5,No precipitation,12,,,,
06.04.2020 11:00,15.3,755.6,766.0,0.0,56,Wind blowing from the east,1,,2,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.1,19.8,,,2500 or more  or no clouds.,,,19.0,6.6,No precipitation,12,,,,
06.04.2020 08:00,12.1,755.6,766.0,0.4,74,Wind blowing from the west,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.1,19.8,,,2500 or more  or no clouds.,,,24.0,7.6,No precipitation,12,,,,
06.04.2020 05:00,11.5,755.2,765.6,-0.9,72,Wind blowing from the west,1,,8,,Cloud development not observed or not observable. ,,,10.9,19.8,,,2500 or more  or no clouds.,,,27.0,6.6,No precipitation,12,,,,
06.04.2020 02:00,11.8,756.1,766.6,-1.4,73,Wind blowing from the west,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,19.8,,,2500 or more  or no clouds.,,,24.0,7.1,No precipitation,12,,,,
05.04.2020 23:00,14.1,757.5,767.9,0.4,53,Wind blowing from the north-east,1,,8,,Cloud development not observed or not observable. ,,,10.9,19.8,,,2500 or more  or no clouds.,,,29.0,4.7,No precipitation,12,,,,
05.04.2020 20:00,15.5,757.1,767.5,1.0,51,Wind blowing from the east-northeast,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,19.8,,,2500 or more  or no clouds.,,,25.0,5.4,No precipitation,12,,,,
05.04.2020 17:00,18.7,756.1,766.6,-1.5,34,Wind blowing from the east-northeast,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,19.8,,,2500 or more  or no clouds.,,,20.0,2.5,No precipitation,12,,,,
05.04.2020 14:00,18.6,757.6,768.1,-2.1,44,Wind blowing from the east-northeast,4,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,20.7,,,2500 or more  or no clouds.,,,10.0,6.1,No precipitation,12,,,,
05.04.2020 11:00,16.0,759.7,770.2,0.3,58,Wind blowing from the east,2,,4,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,20.7,,,2500 or more  or no clouds.,,,8.0,7.7,No precipitation,12,,,,
05.04.2020 08:00,12.6,759.4,769.9,0.9,75,Wind blowing from the north-east,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.7,20.7,,,2500 or more  or no clouds.,,,7.0,8.3,No precipitation,12,,,,
05.04.2020 05:00,11.4,758.5,768.9,-0.5,74,Wind blowing from the north-west,1,,7,,Cloud development not observed or not observable. ,,,9.3,20.7,,,2500 or more  or no clouds.,,,9.0,6.9,No precipitation,12,,,,
05.04.2020 02:00,11.4,759.0,769.4,-0.2,75,Wind blowing from the west,1,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.1,20.7,,,2500 or more  or no clouds.,,,12.0,7.1,No precipitation,12,,,,
04.04.2020 23:00,12.2,759.2,769.6,0.7,74,Wind blowing from the west,2,,9,,Cloud development not observed or not observable. ,,,9.1,20.7,,,2500 or more  or no clouds.,,,12.0,7.7,No precipitation,12,,,,
04.04.2020 20:00,16.2,758.5,769.0,0.8,48,Wind blowing from the east-northeast,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.1,20.7,,,2500 or more  or no clouds.,,,16.0,5.2,No precipitation,12,,,,
04.04.2020 17:00,19.0,757.7,768.1,-0.2,39,Wind blowing from the north-east,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.1,20.7,,,2500 or more  or no clouds.,,,17.0,4.7,No precipitation,12,,,,
04.04.2020 14:00,20.0,757.9,768.3,-1.2,30,Wind blowing from the east-northeast,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.1,20.4,,,2500 or more  or no clouds.,,,17.0,1.9,No precipitation,12,,,,
04.04.2020 11:00,17.9,759.1,769.6,0.4,39,Wind blowing from the east,2,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.1,18.0,,,2500 or more  or no clouds.,,,11.0,3.8,No precipitation,12,,,,
04.04.2020 08:00,10.7,758.7,769.3,1.4,92,Wind blowing from the south-west,0,,2,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.1,16.1,,,2500 or more  or no clouds.,,,4.5,9.5,No precipitation,12,,,,
04.04.2020 05:00,9.4,757.3,767.8,-0.1,97,Wind blowing from the south-east,1,,3,,Mist. ,,,9.1,16.1,,,2500 or more  or no clouds.,,,3.6,8.9,No precipitation,12,,,,
04.04.2020 02:00,9.5,757.4,767.9,-0.6,95,Wind blowing from the south-east,0,,3,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.5,16.1,,,2500 or more  or no clouds.,,,2.6,8.7,No precipitation,12,,,,
03.04.2020 23:00,10.9,758.0,768.6,0.8,86,Wind blowing from the north-west,1,,3,,Mist. ,,,9.6,16.1,,,2500 or more  or no clouds.,,,5.0,8.7,No precipitation,12,,,,
03.04.2020 20:00,13.3,757.2,767.8,0.5,66,Wind blowing from the west,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.6,16.1,,,2500 or more  or no clouds.,,,7.0,7.1,No precipitation,12,,,,
03.04.2020 17:00,15.4,756.7,767.2,-1.3,53,Wind blowing from the north-northeast,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.6,16.1,,,2500 or more  or no clouds.,,,9.0,5.9,No precipitation,12,,,,
03.04.2020 14:00,15.0,758.0,768.5,-1.4,60,Wind blowing from the north-east,1,,4,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.6,15.2,,,2500 or more  or no clouds.,,,6.0,7.3,No precipitation,12,,,,
03.04.2020 11:00,11.4,759.4,770.0,0.9,82,Wind blowing from the north-west,1,,5,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.6,,,,2500 or more  or no clouds.,,,4.0,8.4,No precipitation,12,,,,
03.04.2020 08:00,9.8,758.5,769.1,0.9,92,Wind blowing from the north,2,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.2,,,,2500 or more  or no clouds.,,,2.6,8.6,No precipitation,12,,,,
03.04.2020 05:00,9.8,757.6,768.2,-0.7,93,Wind blowing from the north,3,,7,,Mist. ,,,7.8,15.2,,,2500 or more  or no clouds.,,,2.6,8.7,No precipitation,12,,,,
