Local time in Zhumadian,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 20:00,15.6,753.3,763.0,0.8,52,Wind blowing from the east-southeast,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.1,22.9,,,2500 or more  or no clouds.,,,9.0,5.8,No precipitation,12,,,,
07.04.2020 17:00,21.5,752.5,762.1,-1.2,28,Wind blowing from the east-southeast,5,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.1,22.9,,,2500 or more  or no clouds.,,,9.0,2.2,No precipitation,12,,,,
07.04.2020 14:00,22.8,753.7,763.3,-1.2,29,Wind blowing from the east-southeast,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.1,22.9,,,2500 or more  or no clouds.,,,8.0,3.9,No precipitation,12,,,,
07.04.2020 11:00,20.8,754.9,764.5,0.3,40,Wind blowing from the east-southeast,4,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.1,20.9,,,2500 or more  or no clouds.,,,8.0,6.7,No precipitation,12,,,,
07.04.2020 08:00,11.4,754.6,764.4,1.0,88,Wind blowing from the north-northeast,1,,4,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.1,20.3,,,2500 or more  or no clouds.,,,6.0,9.5,No precipitation,12,,,,
07.04.2020 05:00,7.1,753.6,763.3,-0.8,94,Wind blowing from the south-southeast,1,,4,,Mist. ,,,6.7,20.3,,,2500 or more  or no clouds.,,,6.0,6.2,No precipitation,12,,,,
07.04.2020 02:00,7.5,754.4,764.2,,94,Wind blowing from the west,1,,5,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.2,20.3,,,2500 or more  or no clouds.,,,6.0,6.6,No precipitation,12,,,,
06.04.2020 20:00,14.1,754.3,764.0,1.1,59,Wind blowing from the east-southeast,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.5,20.3,,,2500 or more  or no clouds.,,,8.0,6.2,No precipitation,12,,,,
06.04.2020 17:00,19.7,753.2,762.9,-1.4,37,Wind blowing from the south-east,3,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.5,20.3,,,2500 or more  or no clouds.,,,8.0,4.6,No precipitation,12,,,,
06.04.2020 14:00,18.3,754.6,764.2,-1.7,34,Wind blowing from the east-southeast,2,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.5,20.3,,,2500 or more  or no clouds.,,,9.0,2.2,No precipitation,12,,,,
06.04.2020 11:00,17.3,756.3,766.0,0.0,45,Wind blowing from the east-northeast,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.5,18.0,,,2500 or more  or no clouds.,,,8.0,5.3,No precipitation,12,,,,
06.04.2020 08:00,10.7,756.3,766.0,0.5,70,Wind blowing from the south-southeast,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.5,18.0,,,2500 or more  or no clouds.,,,9.0,5.3,No precipitation,12,,,,
06.04.2020 05:00,9.8,755.8,765.5,-1.0,74,Wind blowing from the north-west,1,,6,,Cloud development not observed or not observable. ,,,8.4,18.0,,,2500 or more  or no clouds.,,,10.0,5.4,No precipitation,12,,,,
06.04.2020 02:00,10.6,756.8,766.5,,66,Wind blowing from the south-southeast,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.4,18.0,,,2500 or more  or no clouds.,,,10.0,4.5,No precipitation,12,,,,
