Local time in Hong Kong (airport),T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,20.0,762.2,762.9,1.0,78,Wind blowing from the east,2,,,90  or more  but not 100%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,600-1000,Altocumulus translucidus at a single level.,,17.0,16.1,,,,,,
07.04.2020 20:00,19.7,761.2,761.9,0.7,78,variable wind direction,2,,,90  or more  but not 100%, ,,,,21.5,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,600-1000,Altocumulus translucidus at a single level.,,8.0,15.7,Trace of precipitation,12,,,,
07.04.2020 17:00,20.0,760.5,761.2,-0.6,73,Wind blowing from the west,2,,,90  or more  but not 100%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,600-1000,Altocumulus translucidus at a single level.,,8.0,14.9,,,,,,
07.04.2020 14:00,20.1,761.1,761.8,-1.4,74,Wind blowing from the west-northwest,3,,,90  or more  but not 100%,Clouds generally forming or developing. ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,300-600,Altocumulus translucidus at a single level.,,14.0,15.2,Trace of precipitation,6,,,,
07.04.2020 11:00,19.5,762.5,763.2,0.9,73,Wind blowing from the north,3,,,90  or more  but not 100%,Clouds generally dissolving or becoming less developed. ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,40%.,300-600,Altocumulus translucidus at a single level.,,29.0,14.5,,,,,,
07.04.2020 08:00,18.1,761.6,762.3,0.9,78,Wind blowing from the east-northeast,3,,,90  or more  but not 100%,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,17.4,,Stratocumulus other than Stratocumulus cumulogenitus.,40%.,300-600,Altocumulus translucidus at a single level.,,45.0,14.2,Trace of precipitation,12,,,,
07.04.2020 05:00,17.7,760.7,761.4,-0.3,84,Wind blowing from the north,3,,,90  or more  but not 100%, ,,,,,Cumulus and Stratocumulus other than Stratocumulus cumulogenitus  with bases at different levels.,60%.,300-600,Altocumulus translucidus at a single level.,,40.0,15.0,,,,,,
07.04.2020 02:00,17.6,761.0,761.7,-1.0,87,Wind blowing from the east-northeast,4,,,90  or more  but not 100%,Clouds generally dissolving or becoming less developed. ,Shower(s).,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Cumulus and Stratocumulus other than Stratocumulus cumulogenitus  with bases at different levels.,60%.,300-600,Altocumulus translucidus at a single level.,,28.0,15.4,Trace of precipitation,6,,,,
06.04.2020 23:00,17.7,762.0,762.7,1.0,90,Wind blowing from the north-northeast,4,,,100%.,Rain shower(s)  slight. ,Shower(s).,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Cumulus and Stratocumulus other than Stratocumulus cumulogenitus  with bases at different levels.,60%.,200-300,Altostratus opacus or Nimbostratus.,,16.0,16.0,,,,,,
06.04.2020 20:00,17.6,761.0,761.7,1.2,93,Wind blowing from the north-east,4,,,100%.,Rain shower(s)  slight. ,Shower(s).,Shower(s).,,18.5,Cumulus and Stratocumulus other than Stratocumulus cumulogenitus  with bases at different levels.,60%.,200-300,Altostratus opacus or Nimbostratus.,,23.0,16.5,19.0,12,,,,
06.04.2020 17:00,17.3,759.8,760.5,-2.3,93,Wind blowing from the east-northeast,6,,,100%.,Rain shower(s)  moderate or heavy. ,Shower(s).,Shower(s).,,,Cumulus and Stratocumulus other than Stratocumulus cumulogenitus  with bases at different levels.,20–30%.,200-300,Altostratus opacus or Nimbostratus.,,22.0,16.1,,,,,,
06.04.2020 14:00,17.2,762.1,762.8,-1.4,92,variable wind direction,2,,,100%.,Rain shower(s)  moderate or heavy. ,Shower(s).,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Cumulus and Stratocumulus other than Stratocumulus cumulogenitus  with bases at different levels.,60%.,100-200,Altostratus opacus or Nimbostratus.,,6.0,15.8,11.0,6,,,,
06.04.2020 11:00,17.2,763.5,764.2,0.6,88,Wind blowing from the north-northeast,5,,,100%.,Rain shower(s)  slight. ,Shower(s).,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Cumulus and Stratocumulus other than Stratocumulus cumulogenitus  with bases at different levels.,50%.,300-600,Altostratus opacus or Nimbostratus.,,5.0,15.2,,,,,,
06.04.2020 08:00,17.9,762.9,763.6,0.7,77,Wind blowing from the east-northeast,4,,,100%.,Clouds generally forming or developing. ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,16.8,,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,300-600,Altostratus opacus or Nimbostratus.,,19.0,13.8,6.0,12,,,,
06.04.2020 05:00,17.0,762.2,762.9,-0.8,85,Wind blowing from the east,4,,,90  or more  but not 100%,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,300-600,Altostratus opacus or Nimbostratus.,,17.0,14.4,,,,,,
06.04.2020 02:00,17.2,763.0,763.7,-1.6,89,Wind blowing from the east,6,,,100%.,Rain  not freezing  continuous  moderate at time of observation. ,Shower(s).,Rain.,,,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,300-600,Altostratus opacus or Nimbostratus.,,10.0,15.3,4.0,6,,,,
