Local time in Enshi,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,15.0,723.7,763.6,1.4,72,Wind blowing from the north,0,,4,,Cloud development not observed or not observable. ,,,10.3,23.1,,,2500 or more  or no clouds.,,,9.0,10.0,No precipitation,12,,,,
07.04.2020 20:00,18.0,722.3,762.3,0.9,56,Wind blowing from the south-west,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.3,23.1,,,2500 or more  or no clouds.,,,16.0,9.1,No precipitation,12,,,,
07.04.2020 17:00,22.7,721.4,761.0,-1.6,35,Wind blowing from the north,0,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.3,23.1,,,2500 or more  or no clouds.,,,20.0,6.5,No precipitation,12,,,,
07.04.2020 14:00,22.1,723.0,762.6,-2.5,37,Wind blowing from the north-northeast,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.3,22.2,,,2500 or more  or no clouds.,,,24.0,6.7,No precipitation,12,,,,
07.04.2020 11:00,16.7,725.5,765.6,0.2,62,Wind blowing from the north-northwest,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.3,21.3,,,2500 or more  or no clouds.,,,12.0,9.4,No precipitation,12,,,,
07.04.2020 08:00,11.3,725.3,765.5,1.3,86,Wind blowing from the west,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.3,21.3,,,2500 or more  or no clouds.,,,9.0,9.0,No precipitation,12,,,,
07.04.2020 05:00,11.3,724.0,764.0,-1.0,85,Wind blowing from the west-southwest,1,,3,,Cloud development not observed or not observable. ,,,10.2,21.3,,,2500 or more  or no clouds.,,,12.0,8.9,No precipitation,12,,,,
07.04.2020 02:00,12.7,725.0,764.9,0.2,79,Wind blowing from the south-southwest,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.2,21.3,,,2500 or more  or no clouds.,,,12.0,9.2,No precipitation,12,,,,
06.04.2020 23:00,14.4,724.8,764.8,1.4,74,Wind blowing from the west,1,,5,,Haze. ,,,10.2,21.3,,,2500 or more  or no clouds.,,,5.0,9.8,No precipitation,12,,,,
06.04.2020 20:00,17.5,723.4,763.5,1.2,54,Wind blowing from the south-southwest,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.2,21.3,,,2500 or more  or no clouds.,,,18.0,8.1,No precipitation,12,,,,
