Local time in Macheng,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 20:00,18.6,756.1,762.9,0.6,45,Wind blowing from the west-southwest,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.4,23.8,,,2500 or more  or no clouds.,,,13.0,6.4,No precipitation,12,,,,
07.04.2020 17:00,22.9,755.5,762.2,-1.1,28,Wind blowing from the south-west,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.4,23.8,,,2500 or more  or no clouds.,,,26.0,3.4,No precipitation,12,,,,
07.04.2020 14:00,23.2,756.6,763.3,-1.6,26,Wind blowing from the south-southwest,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.4,23.5,,,2500 or more  or no clouds.,,,21.0,2.7,No precipitation,12,,,,
07.04.2020 11:00,20.3,758.2,764.9,0.2,37,Wind blowing from the west-southwest,2,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.4,22.7,,,2500 or more  or no clouds.,,,16.0,5.1,No precipitation,12,,,,
07.04.2020 08:00,13.8,758.0,764.8,1.3,67,Wind blowing from the east-northeast,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.4,22.7,,,2500 or more  or no clouds.,,,11.0,7.8,No precipitation,12,,,,
07.04.2020 05:00,11.3,756.7,763.5,-0.6,81,Wind blowing from the north-northwest,1,,5,,Cloud development not observed or not observable. ,,,11.3,22.7,,,2500 or more  or no clouds.,,,9.0,8.2,No precipitation,12,,,,
07.04.2020 02:00,14.1,757.3,763.9,,64,Wind blowing from the north,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.3,22.7,,,2500 or more  or no clouds.,,,16.0,7.4,No precipitation,12,,,,
06.04.2020 20:00,17.8,757.1,763.9,1.0,42,Wind blowing from the north,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.3,22.7,,,2500 or more  or no clouds.,,,19.0,4.7,No precipitation,12,,,,
06.04.2020 17:00,20.5,756.1,762.9,-0.9,38,Wind blowing from the west,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.3,22.7,,,2500 or more  or no clouds.,,,21.0,5.7,No precipitation,12,,,,
06.04.2020 14:00,21.7,757.0,763.6,-1.6,31,Wind blowing from the north-west,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.3,22.7,,,2500 or more  or no clouds.,,,26.0,3.9,No precipitation,12,,,,
