Local time in Yichang,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,16.4,741.2,763.9,1.0,52,Wind blowing from the north-northeast,2,,8,,Cloud development not observed or not observable. ,,,9.4,23.6,,,2500 or more  or no clouds.,,,14.0,6.5,No precipitation,12,,,,
07.04.2020 20:00,18.2,740.2,763.2,1.2,45,Wind blowing from the east-southeast,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.4,23.6,,,2500 or more  or no clouds.,,,14.0,6.1,No precipitation,12,,,,
07.04.2020 17:00,21.8,739.0,761.8,-1.2,36,Wind blowing from the east-southeast,5,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.4,23.6,,,2500 or more  or no clouds.,,,15.0,6.1,No precipitation,12,,,,
07.04.2020 14:00,23.1,740.2,762.9,-2.2,31,Wind blowing from the east-southeast,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.4,23.2,,,2500 or more  or no clouds.,,,17.0,5.1,No precipitation,12,,,,
07.04.2020 11:00,19.5,742.4,765.2,0.7,46,Wind blowing from the south,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.4,20.8,,,2500 or more  or no clouds.,,,11.0,7.6,No precipitation,12,,,,
07.04.2020 08:00,10.9,741.7,764.7,1.2,85,Wind blowing from the north-west,1,,5,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.4,20.8,,,2500 or more  or no clouds.,,,6.0,8.5,No precipitation,12,,,,
07.04.2020 05:00,10.6,740.5,763.5,-0.6,78,Wind blowing from the north,3,,5,,Cloud development not observed or not observable. ,,,10.3,20.8,,,2500 or more  or no clouds.,,,8.0,6.9,No precipitation,12,,,,
07.04.2020 02:00,11.8,741.1,764.0,-0.9,71,Wind blowing from the north,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.8,20.8,,,2500 or more  or no clouds.,,,9.0,6.7,No precipitation,12,,,,
06.04.2020 23:00,13.9,742.0,764.8,0.8,62,Wind blowing from the north,1,,7,,Cloud development not observed or not observable. ,,,11.8,20.8,,,2500 or more  or no clouds.,,,11.0,6.7,No precipitation,12,,,,
06.04.2020 20:00,16.7,741.2,764.2,1.0,50,Wind blowing from the east-northeast,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.8,20.8,,,2500 or more  or no clouds.,,,11.0,6.2,No precipitation,12,,,,
06.04.2020 17:00,18.3,740.2,763.1,-1.1,49,Wind blowing from the east-northeast,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.8,20.8,,,2500 or more  or no clouds.,,,11.0,7.4,No precipitation,12,,,,
06.04.2020 14:00,20.0,741.3,764.2,-1.8,44,Wind blowing from the east-southeast,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.8,20.8,,,2500 or more  or no clouds.,,,11.0,7.4,No precipitation,12,,,,
06.04.2020 11:00,19.1,743.1,765.9,0.3,49,Wind blowing from the east-southeast,3,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.8,19.2,,,2500 or more  or no clouds.,,,12.0,8.1,No precipitation,12,,,,
06.04.2020 08:00,13.1,742.8,765.8,0.5,78,Wind blowing from the north-northwest,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.8,19.2,,,2500 or more  or no clouds.,,,8.0,9.4,No precipitation,12,,,,
06.04.2020 05:00,12.3,742.3,765.2,-1.2,78,Wind blowing from the north-northwest,1,,4,,Cloud development not observed or not observable. ,,,11.9,19.2,,,2500 or more  or no clouds.,,,9.0,8.6,No precipitation,12,,,,
