Local time in Zaoyang,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 20:00,18.9,751.6,762.9,0.4,50,Wind blowing from the east,1,,,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.6,23.6,,,2500 or more  or no clouds.,,,7.0,8.3,No precipitation,12,,,,
07.04.2020 17:00,23.1,751.2,762.5,-1.3,34,Wind blowing from the west,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.6,23.6,,,2500 or more  or no clouds.,,,12.0,6.4,No precipitation,12,,,,
07.04.2020 14:00,22.4,752.5,763.8,-1.8,35,Wind blowing from the north,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.6,22.8,,,2500 or more  or no clouds.,,,12.0,6.2,No precipitation,12,,,,
07.04.2020 11:00,19.1,754.3,765.7,1.2,49,Wind blowing from the south-west,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.6,21.8,,,2500 or more  or no clouds.,,,7.0,8.1,No precipitation,12,,,,
07.04.2020 08:00,13.2,753.1,764.5,0.8,75,Wind blowing from the east,1,,4,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.6,21.8,,,2500 or more  or no clouds.,,,4.3,8.9,No precipitation,12,,,,
07.04.2020 05:00,10.9,752.3,763.6,-0.8,85,Wind blowing from the east-southeast,1,,4,,Mist. ,,,10.8,21.8,,,2500 or more  or no clouds.,,,4.3,8.5,No precipitation,12,,,,
07.04.2020 02:00,12.1,753.1,764.5,,81,Wind blowing from the east,1,,4,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.1,21.8,,,2500 or more  or no clouds.,,,5.0,8.9,No precipitation,12,,,,
06.04.2020 20:00,18.1,752.7,764.1,0.8,49,Wind blowing from the south-southwest,2,,4,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.6,21.8,,,2500 or more  or no clouds.,,,4.5,7.2,No precipitation,12,,,,
06.04.2020 17:00,21.4,751.9,763.3,-1.5,32,Wind blowing from the north-west,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.6,21.8,,,2500 or more  or no clouds.,,,19.0,4.0,No precipitation,12,,,,
06.04.2020 14:00,20.5,753.4,764.7,-1.7,43,Wind blowing from the south-southwest,2,,4,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.6,20.5,,,2500 or more  or no clouds.,,,6.0,7.5,No precipitation,12,,,,
06.04.2020 11:00,14.8,755.1,766.5,0.4,58,Wind blowing from the north,0,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.6,,,,2500 or more  or no clouds.,,,11.0,6.6,No precipitation,12,,,,
06.04.2020 08:00,13.8,754.7,766.1,0.6,59,Wind blowing from the south-east,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.3,20.4,,,2500 or more  or no clouds.,,,12.0,5.9,No precipitation,12,,,,
06.04.2020 05:00,14.3,754.1,765.4,-1.4,54,Wind blowing from the east-southeast,2,,5,,Cloud development not observed or not observable. ,,,11.7,20.4,,,2500 or more  or no clouds.,,,16.0,5.1,No precipitation,12,,,,
06.04.2020 02:00,14.9,755.5,766.9,,56,Wind blowing from the south,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,20.4,,,2500 or more  or no clouds.,,,13.0,6.2,No precipitation,12,,,,
05.04.2020 20:00,17.2,755.6,767.1,0.8,62,Wind blowing from the north,0,,5,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,20.4,,,2500 or more  or no clouds.,,,5.0,9.9,No precipitation,12,,,,
05.04.2020 17:00,19.5,754.8,766.2,-1.8,43,Wind blowing from the north-northwest,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,21.8,,,2500 or more  or no clouds.,,,10.0,6.6,No precipitation,12,,,,
05.04.2020 14:00,19.1,756.6,768.0,-2.1,44,Wind blowing from the east,2,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,22.2,,,2500 or more  or no clouds.,,,8.0,6.6,No precipitation,12,,,,
05.04.2020 11:00,17.5,758.7,770.2,0.6,54,Wind blowing from the south-southwest,1,,2,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,22.2,,,2500 or more  or no clouds.,,,7.0,8.1,No precipitation,12,,,,
05.04.2020 08:00,13.3,758.1,769.6,0.6,65,Wind blowing from the north,0,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.3,22.2,,,2500 or more  or no clouds.,,,8.0,6.9,No precipitation,12,,,,
05.04.2020 05:00,12.1,757.5,768.9,-0.4,73,Wind blowing from the west-northwest,0,,6,,Cloud development not observed or not observable. ,,,9.8,22.2,,,2500 or more  or no clouds.,,,7.0,7.4,No precipitation,12,,,,
05.04.2020 02:00,13.1,757.9,769.3,,62,Wind blowing from the east-northeast,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.7,22.2,,,2500 or more  or no clouds.,,,10.0,6.0,No precipitation,12,,,,
04.04.2020 20:00,17.6,757.3,768.7,1.4,36,Wind blowing from the east,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.7,22.2,,,2500 or more  or no clouds.,,,7.0,2.4,No precipitation,12,,,,
04.04.2020 17:00,21.8,755.9,767.3,-1.1,33,Wind blowing from the north-northeast,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.7,22.2,,,2500 or more  or no clouds.,,,11.0,4.8,No precipitation,12,,,,
04.04.2020 14:00,20.8,757.0,768.5,-1.4,45,Wind blowing from the north-west,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.7,21.0,,,2500 or more  or no clouds.,,,9.0,8.4,No precipitation,12,,,,
04.04.2020 11:00,17.1,758.4,769.9,0.2,63,Wind blowing from the north-west,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.7,17.1,,,2500 or more  or no clouds.,,,10.0,10.0,No precipitation,12,,,,
04.04.2020 08:00,11.3,758.2,769.8,1.4,92,Wind blowing from the west-southwest,1,,2,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.7,14.8,,,2500 or more  or no clouds.,,,2.8,10.0,No precipitation,12,,,,
04.04.2020 05:00,9.8,756.8,768.4,-0.2,95,Wind blowing from the north,0,,4,,Mist. ,,,9.7,14.8,,,2500 or more  or no clouds.,,,2.3,9.0,No precipitation,12,,,,
04.04.2020 02:00,10.9,757.0,768.5,,92,Wind blowing from the north,0,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.7,14.8,,,2500 or more  or no clouds.,,,2.7,9.7,No precipitation,12,,,,
03.04.2020 20:00,12.7,756.9,768.5,0.4,81,Wind blowing from the west-northwest,1,,6,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.7,14.8,,,2500 or more  or no clouds.,,,4.6,9.5,No precipitation,12,,,,
03.04.2020 17:00,13.8,756.5,768.1,-0.9,75,Wind blowing from the north-west,2,,6,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.7,14.8,,,2500 or more  or no clouds.,,,4.1,9.5,No precipitation,12,,,,
03.04.2020 14:00,14.5,757.4,769.0,-1.4,62,Wind blowing from the north,3,,6,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.7,14.9,,,2500 or more  or no clouds.,,,4.1,7.3,No precipitation,12,,,,
03.04.2020 11:00,12.9,758.8,770.4,0.7,81,Wind blowing from the north-northwest,2,,5,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.7,14.9,,,2500 or more  or no clouds.,,,2.2,9.7,No precipitation,12,,,,
