Local time in Zhongxiang,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 20:00,19.3,753.0,762.7,0.7,52,Wind blowing from the south-southeast,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.2,23.9,,,2500 or more  or no clouds.,,,17.0,9.2,No precipitation,12,,,,
07.04.2020 17:00,23.2,752.3,762.0,-1.4,38,Wind blowing from the south,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.2,23.9,,,2500 or more  or no clouds.,,,22.0,8.1,No precipitation,12,,,,
07.04.2020 14:00,23.1,753.7,763.4,-2.0,37,Wind blowing from the south,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.2,23.5,,,2500 or more  or no clouds.,,,19.0,7.6,No precipitation,12,,,,
07.04.2020 11:00,20.6,755.7,765.4,1.2,51,Wind blowing from the south-southwest,3,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.2,21.9,,,2500 or more  or no clouds.,,,14.0,10.1,No precipitation,12,,,,
07.04.2020 08:00,13.9,754.5,764.3,0.8,80,Wind blowing from the south,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.2,21.9,,,2500 or more  or no clouds.,,,12.0,10.5,No precipitation,12,,,,
07.04.2020 05:00,13.0,753.7,763.5,-0.6,66,Wind blowing from the south-southeast,1,,3,,Cloud development not observed or not observable. ,,,12.9,21.9,,,2500 or more  or no clouds.,,,16.0,6.8,No precipitation,12,,,,
07.04.2020 02:00,13.3,754.3,764.1,,66,Wind blowing from the south,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.3,21.9,,,2500 or more  or no clouds.,,,16.0,7.1,No precipitation,12,,,,
06.04.2020 20:00,16.8,754.3,764.0,0.8,55,Wind blowing from the east-southeast,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.7,21.9,,,2500 or more  or no clouds.,,,21.0,7.7,No precipitation,12,,,,
06.04.2020 17:00,21.0,753.5,763.2,-1.0,32,Wind blowing from the west-southwest,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.7,21.9,,,2500 or more  or no clouds.,,,30.0,3.7,No precipitation,12,,,,
06.04.2020 14:00,21.2,754.5,764.2,-1.6,52,Wind blowing from the west,3,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.7,21.9,,,2500 or more  or no clouds.,,,11.0,11.0,No precipitation,12,,,,
06.04.2020 11:00,19.3,756.1,765.9,0.1,63,Wind blowing from the west-southwest,2,,4,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.7,20.6,,,2500 or more  or no clouds.,,,7.0,12.1,No precipitation,12,,,,
06.04.2020 08:00,14.4,756.0,765.7,0.5,88,Wind blowing from the south,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.7,20.6,,,2500 or more  or no clouds.,,,9.0,12.4,No precipitation,12,,,,
06.04.2020 05:00,14.2,755.5,765.2,-1.2,75,Wind blowing from the north-northwest,2,,3,,Cloud development not observed or not observable. ,,,13.3,20.6,,,2500 or more  or no clouds.,,,10.0,9.8,No precipitation,12,,,,
06.04.2020 02:00,15.4,756.7,766.5,,73,Calm  no wind,0,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.3,20.6,,,2500 or more  or no clouds.,,,9.0,10.6,No precipitation,12,,,,
05.04.2020 20:00,17.8,757.0,766.9,0.9,67,Wind blowing from the south,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.3,20.6,,,2500 or more  or no clouds.,,,11.0,11.6,No precipitation,12,,,,
05.04.2020 17:00,19.9,756.1,765.8,-1.6,53,Wind blowing from the south,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.3,22.0,,,2500 or more  or no clouds.,,,14.0,10.0,No precipitation,12,,,,
