Local time in Changde,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,16.9,750.4,763.9,1.0,55,Wind blowing from the east-southeast,2,,7,,Cloud development not observed or not observable. ,,,11.4,24.4,,,2500 or more  or no clouds.,,,12.0,7.8,No precipitation,12,,,,
07.04.2020 20:00,17.5,749.4,763.0,0.7,54,Wind blowing from the east-southeast,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.4,24.4,,,2500 or more  or no clouds.,,,12.0,8.1,No precipitation,12,,,,
07.04.2020 17:00,23.0,748.7,762.1,-1.4,36,Wind blowing from the south-west,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.4,24.4,,,2500 or more  or no clouds.,,,13.0,7.1,No precipitation,12,,,,
07.04.2020 14:00,24.0,750.1,763.5,-2.0,34,Wind blowing from the east-southeast,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.4,24.4,,,2500 or more  or no clouds.,,,13.0,7.2,No precipitation,12,,,,
07.04.2020 11:00,20.9,752.1,765.5,1.0,40,Wind blowing from the east,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.4,21.9,,,2500 or more  or no clouds.,,,11.0,6.8,No precipitation,12,,,,
07.04.2020 08:00,12.1,751.1,764.7,1.0,77,Wind blowing from the west,3,,8,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.4,21.9,,,2500 or more  or no clouds.,,,5.0,8.2,No precipitation,12,,,,
07.04.2020 05:00,12.7,750.1,763.6,-0.6,63,Wind blowing from the north-west,3,,8,,Cloud development not observed or not observable. ,,,12.7,21.9,,,2500 or more  or no clouds.,,,9.0,5.8,No precipitation,12,,,,
07.04.2020 02:00,14.2,750.7,764.2,-0.6,56,Wind blowing from the west-northwest,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.7,21.9,,,2500 or more  or no clouds.,,,11.0,5.6,No precipitation,12,,,,
06.04.2020 23:00,17.1,751.3,764.7,0.9,38,Wind blowing from the east-northeast,1,,8,,Cloud development not observed or not observable. ,,,12.7,21.9,,,2500 or more  or no clouds.,,,17.0,2.7,No precipitation,12,,,,
06.04.2020 20:00,18.0,750.4,763.9,0.9,39,Wind blowing from the east-northeast,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.7,21.9,,,2500 or more  or no clouds.,,,14.0,3.9,No precipitation,12,,,,
06.04.2020 17:00,21.4,749.5,763.0,-1.2,38,Wind blowing from the east-southeast,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.7,21.9,,,2500 or more  or no clouds.,,,10.0,6.5,No precipitation,12,,,,
06.04.2020 14:00,20.8,750.7,764.2,-2.0,41,Wind blowing from the south-east,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.7,21.7,,,2500 or more  or no clouds.,,,8.0,7.1,No precipitation,12,,,,
06.04.2020 11:00,19.9,752.7,766.2,0.4,52,Wind blowing from the north-northeast,1,,4,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.7,19.9,,,2500 or more  or no clouds.,,,7.0,9.8,No precipitation,12,,,,
06.04.2020 08:00,13.6,752.3,766.0,0.5,78,Wind blowing from the west,1,,4,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.6,18.4,,,2500 or more  or no clouds.,,,4.9,9.8,No precipitation,12,,,,
06.04.2020 05:00,12.8,751.8,765.4,-0.9,78,Wind blowing from the north-west,3,,4,,Haze. ,,,12.6,18.4,,,2500 or more  or no clouds.,,,3.9,9.1,No precipitation,12,,,,
06.04.2020 02:00,13.5,752.7,766.3,-1.4,75,Wind blowing from the north-northwest,3,,4,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.6,18.4,,,2500 or more  or no clouds.,,,5.0,9.2,No precipitation,12,,,,
05.04.2020 23:00,14.5,754.1,767.8,0.6,70,Wind blowing from the north-northwest,3,,4,,Haze. ,,,12.6,18.4,,,2500 or more  or no clouds.,,,5.0,9.1,No precipitation,12,,,,
05.04.2020 20:00,15.6,753.5,767.2,1.0,63,Wind blowing from the north-northeast,2,,4,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.6,18.4,,,2500 or more  or no clouds.,,,7.0,8.6,No precipitation,12,,,,
05.04.2020 17:00,17.1,752.5,766.0,-1.5,57,Wind blowing from the north,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.6,18.4,,,2500 or more  or no clouds.,,,7.0,8.5,No precipitation,12,,,,
05.04.2020 14:00,17.4,754.0,767.6,-1.6,57,Wind blowing from the north,1,,5,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.6,21.6,,,2500 or more  or no clouds.,,,7.0,8.8,No precipitation,12,,,,
05.04.2020 11:00,15.3,755.6,769.3,0.5,68,Wind blowing from the north-west,1,,5,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.6,,,,2500 or more  or no clouds.,,,7.0,9.4,No precipitation,12,,,,
05.04.2020 08:00,13.3,755.1,768.8,1.4,71,Wind blowing from the west-northwest,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.8,,,,2500 or more  or no clouds.,,,7.0,8.2,No precipitation,12,,,,
05.04.2020 05:00,13.7,753.7,767.3,-0.7,61,Wind blowing from the north-northwest,3,,5,,Cloud development not observed or not observable. ,,,9.9,21.6,,,2500 or more  or no clouds.,,,11.0,6.3,No precipitation,12,,,,
05.04.2020 02:00,13.9,754.4,768.0,-0.6,60,Wind blowing from the north-northwest,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.8,21.6,,,2500 or more  or no clouds.,,,9.0,6.3,No precipitation,12,,,,
04.04.2020 23:00,13.4,755.0,768.7,0.5,65,Wind blowing from the north,3,,8,,Cloud development not observed or not observable. ,,,9.8,21.6,,,2500 or more  or no clouds.,,,9.0,7.0,No precipitation,12,,,,
04.04.2020 20:00,15.1,754.5,768.2,0.5,55,Wind blowing from the east-northeast,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.8,21.6,,,2500 or more  or no clouds.,,,12.0,6.1,No precipitation,12,,,,
04.04.2020 17:00,17.5,754.0,767.7,-0.7,33,Wind blowing from the north-east,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.8,21.6,,,2500 or more  or no clouds.,,,28.0,1.1,No precipitation,12,,,,
04.04.2020 14:00,19.6,754.7,768.4,-1.5,34,Wind blowing from the east-northeast,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.8,20.1,,,2500 or more  or no clouds.,,,16.0,3.3,No precipitation,12,,,,
04.04.2020 11:00,16.6,756.2,769.9,0.4,56,Wind blowing from the south,1,,5,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.8,16.6,,,2500 or more  or no clouds.,,,7.0,7.8,No precipitation,12,,,,
