Local time in Chenzhou,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,16.3,731.4,763.9,1.2,63,Wind blowing from the south-southwest,1,,8,,Cloud development not observed or not observable. ,,,9.6,21.2,,,2500 or more  or no clouds.,,,30.0,9.3,No precipitation,12,,,,
07.04.2020 20:00,17.6,730.2,762.9,0.8,59,Wind blowing from the north-northwest,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.6,21.2,,,2500 or more  or no clouds.,,,30.0,9.5,No precipitation,12,,,,
07.04.2020 17:00,19.9,729.4,762.1,-1.0,47,Wind blowing from the north,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.6,21.2,,,2500 or more  or no clouds.,,,30.0,8.3,No precipitation,12,,,,
07.04.2020 14:00,20.2,730.4,763.0,-1.6,47,Wind blowing from the north,5,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.6,20.7,,,2500 or more  or no clouds.,,,30.0,8.5,No precipitation,12,,,,
07.04.2020 11:00,17.0,732.0,764.8,0.1,67,Wind blowing from the north,4,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.6,17.0,,,2500 or more  or no clouds.,,,30.0,10.8,No precipitation,12,,,,
07.04.2020 08:00,11.3,731.9,765.0,1.3,88,Wind blowing from the south,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.6,14.5,,,2500 or more  or no clouds.,,,30.0,9.4,No precipitation,12,,,,
07.04.2020 05:00,10.4,730.6,763.6,-0.6,86,Wind blowing from the north-northwest,1,,4,,Cloud development not observed or not observable. ,,,10.2,14.5,,,2500 or more  or no clouds.,,,30.0,8.2,No precipitation,12,,,,
07.04.2020 02:00,11.5,731.2,764.2,-0.9,79,Wind blowing from the south-southwest,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.6,14.5,,,2500 or more  or no clouds.,,,30.0,8.0,No precipitation,12,,,,
06.04.2020 23:00,12.2,732.1,765.2,0.9,77,Wind blowing from the south-southeast,1,,4,,Cloud development not observed or not observable. ,,,10.6,14.5,,,2500 or more  or no clouds.,,,30.0,8.3,No precipitation,12,,,,
06.04.2020 20:00,13.0,731.2,764.3,0.7,71,Wind blowing from the east-southeast,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.6,14.5,,,2500 or more  or no clouds.,,,30.0,7.9,1.0,12,,,,
06.04.2020 17:00,14.0,730.5,763.5,-1.3,73,Wind blowing from the north,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.6,14.5,,,2500 or more  or no clouds.,,,30.0,9.2,1.0,12,,,,
06.04.2020 14:00,13.4,731.8,764.9,-1.5,89,Wind blowing from the north-west,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.6,13.4,,,2500 or more  or no clouds.,,,30.0,11.6,6.0,12,,,,
