Local time in Shaoyang,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 20:00,18.5,735.4,763.0,0.6,53,Wind blowing from the east-southeast,2,,,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.3,22.3,,,2500 or more  or no clouds.,,,6.0,8.8,No precipitation,12,,,,
07.04.2020 17:00,20.9,734.8,762.4,-1.3,44,Wind blowing from the east,2,,6,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.3,22.3,,,2500 or more  or no clouds.,,,7.0,8.2,No precipitation,12,,,,
07.04.2020 14:00,21.4,736.1,763.6,-1.6,43,Wind blowing from the north,3,,6,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.3,21.5,,,2500 or more  or no clouds.,,,6.0,8.3,No precipitation,12,,,,
07.04.2020 11:00,19.0,737.7,765.3,0.5,59,Wind blowing from the south,1,,3,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.3,19.2,,,2500 or more  or no clouds.,,,5.0,10.8,No precipitation,12,,,,
07.04.2020 08:00,11.7,737.2,765.1,1.2,100,Wind blowing from the west,1,,2,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.3,18.1,,,2500 or more  or no clouds.,,,2.1,11.7,No precipitation,12,,,,
07.04.2020 05:00,10.9,736.0,763.7,-0.8,100,Wind blowing from the west-northwest,1,,2,,Mist. ,,,10.9,18.1,,,2500 or more  or no clouds.,,,1.7,10.9,No precipitation,12,,,,
07.04.2020 02:00,12.0,736.8,764.5,,89,Wind blowing from the east-southeast,1,,2,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,18.1,,,2500 or more  or no clouds.,,,2.5,10.2,No precipitation,12,,,,
06.04.2020 20:00,15.3,736.4,764.2,1.0,68,Wind blowing from the north,1,,3,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,18.1,,,2500 or more  or no clouds.,,,4.8,9.4,No precipitation,12,,,,
06.04.2020 17:00,17.7,735.4,763.0,-1.3,58,Wind blowing from the north-northeast,0,,3,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,18.1,,,2500 or more  or no clouds.,,,5.0,9.3,No precipitation,12,,,,
06.04.2020 14:00,17.4,736.7,764.5,-2.1,58,Wind blowing from the south-west,1,,3,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,17.9,,,2500 or more  or no clouds.,,,5.0,9.1,No precipitation,12,,,,
06.04.2020 11:00,15.5,738.8,766.6,0.7,64,Wind blowing from the east,1,,3,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,17.9,,,2500 or more  or no clouds.,,,4.4,8.7,No precipitation,12,,,,
06.04.2020 08:00,12.2,738.1,766.0,0.4,100,Wind blowing from the south-southeast,1,,3,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,17.9,,,2500 or more  or no clouds.,,,2.7,12.2,No precipitation,12,,,,
06.04.2020 05:00,11.8,737.7,765.5,-0.9,100,Wind blowing from the north,0,,2,,Mist. ,,,11.8,17.9,,,2500 or more  or no clouds.,,,3.1,11.8,No precipitation,12,,,,
06.04.2020 02:00,12.5,738.6,766.4,,86,Wind blowing from the east-southeast,1,,5,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.9,17.9,,,2500 or more  or no clouds.,,,4.1,10.2,No precipitation,12,,,,
05.04.2020 20:00,15.0,738.7,766.6,1.0,65,Wind blowing from the east,1,,,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.9,17.9,,,2500 or more  or no clouds.,,,6.0,8.5,No precipitation,12,,,,
05.04.2020 17:00,16.7,737.7,765.5,-1.4,56,Wind blowing from the east,1,,,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.9,17.9,,,2500 or more  or no clouds.,,,6.0,7.9,No precipitation,12,,,,
05.04.2020 14:00,17.0,739.1,766.9,,54,Wind blowing from the east,2,,4,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.9,17.2,,,,,,6.0,7.6,No precipitation,6,,,,
05.04.2020 11:00,15.1,740.8,768.7,0.6,63,Wind blowing from the north,2,,4,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.9,17.1,,,2500 or more  or no clouds.,,,4.7,8.1,No precipitation,12,,,,
05.04.2020 08:00,12.5,740.2,768.3,1.1,100,Wind blowing from the north,0,,3,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.4,17.1,,,2500 or more  or no clouds.,,,2.8,12.5,No precipitation,12,,,,
05.04.2020 05:00,12.3,739.1,767.0,-0.6,87,Wind blowing from the north-east,1,,5,,Mist. ,,,10.0,17.1,,,2500 or more  or no clouds.,,,3.2,10.2,No precipitation,12,,,,
05.04.2020 02:00,12.5,739.7,767.6,,90,Wind blowing from the east,1,,,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.0,17.1,,,2500 or more  or no clouds.,,,3.4,10.9,No precipitation,12,,,,
04.04.2020 20:00,14.1,739.8,767.9,0.7,72,Wind blowing from the east-northeast,2,,5,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.0,17.1,,,2500 or more  or no clouds.,,,5.0,9.1,No precipitation,12,,,,
04.04.2020 17:00,16.5,739.1,767.1,,60,Wind blowing from the east,2,,,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.0,17.1,,,,,,5.0,8.7,No precipitation,6,,,,
04.04.2020 14:00,15.9,740.2,768.2,-1.8,64,Wind blowing from the north-east,2,,4,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.0,16.3,,,2500 or more  or no clouds.,,,5.0,9.1,3.0,12,,,,
04.04.2020 11:00,14.0,742.0,770.2,0.6,72,Wind blowing from the north,1,,5,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.0,14.1,,,2500 or more  or no clouds.,,,4.0,9.0,11.0,12,,,,
04.04.2020 08:00,10.4,741.4,769.8,1.2,100,Calm  no wind,0,,,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.0,11.9,,,2500 or more  or no clouds.,,,1.6,10.4,11.0,12,,,,
04.04.2020 05:00,10.2,740.2,768.5,,100,Wind blowing from the north-west,1,,6,,Fog or ice fog. ,,,10.1,11.9,,,,,,1.7,10.2,9.0,6,,,,
04.04.2020 02:00,10.2,740.2,768.5,,100,Wind blowing from the north,1,,6,,Rain  not freezing  intermittent  slight at time of observation. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.1,11.9,,,2500 or more  or no clouds.,,,1.3,10.2,8.0,12,,,,
