Local time in Yuanling,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 20:00,18.3,748.6,762.4,0.9,62,Calm  no wind,0,,,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.1,24.6,,,2500 or more  or no clouds.,,,7.0,10.9,No precipitation,12,,,,
07.04.2020 17:00,24.1,747.7,761.2,-1.7,33,Wind blowing from the west-northwest,0,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.1,24.6,,,2500 or more  or no clouds.,,,9.0,6.8,No precipitation,12,,,,
07.04.2020 14:00,23.8,749.4,762.9,-2.5,35,Wind blowing from the north-northwest,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.1,23.8,,,2500 or more  or no clouds.,,,8.0,7.4,No precipitation,12,,,,
07.04.2020 11:00,17.6,751.9,765.5,0.6,57,Wind blowing from the south,1,,3,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.1,23.2,,,2500 or more  or no clouds.,,,6.0,9.0,No precipitation,12,,,,
07.04.2020 08:00,10.6,751.3,765.1,0.9,99,Wind blowing from the south-east,1,,2,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.1,23.2,,,2500 or more  or no clouds.,,,3.0,10.4,No precipitation,12,,,,
07.04.2020 05:00,10.7,750.4,764.1,-0.3,97,Wind blowing from the south-east,0,,3,,Mist. ,,,10.7,23.2,,,2500 or more  or no clouds.,,,4.5,10.2,No precipitation,12,,,,
07.04.2020 02:00,12.2,750.7,764.3,,91,Wind blowing from the north-east,1,,5,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.0,23.2,,,2500 or more  or no clouds.,,,6.0,10.8,No precipitation,12,,,,
06.04.2020 20:00,18.1,750.0,763.6,1.4,57,Wind blowing from the north,0,,5,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.0,23.2,,,2500 or more  or no clouds.,,,6.0,9.5,No precipitation,12,,,,
06.04.2020 17:00,21.4,748.6,762.2,-1.5,38,Wind blowing from the north-northeast,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.0,23.2,,,2500 or more  or no clouds.,,,,6.5,No precipitation,12,,,,
06.04.2020 14:00,21.8,750.1,763.7,-2.4,35,Wind blowing from the north,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.0,22.1,,,2500 or more  or no clouds.,,,8.0,5.7,No precipitation,12,,,,
06.04.2020 11:00,18.7,752.5,766.3,0.1,57,Wind blowing from the east,1,,2,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.0,18.7,,,2500 or more  or no clouds.,,,6.0,10.0,No precipitation,12,,,,
06.04.2020 08:00,12.4,752.4,766.2,0.4,94,Wind blowing from the north,0,,2,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.0,16.0,,,2500 or more  or no clouds.,,,4.2,11.5,No precipitation,12,,,,
06.04.2020 05:00,12.4,752.0,765.8,-0.9,93,Calm  no wind,0,,,,Mist. ,,,12.1,16.0,,,2500 or more  or no clouds.,,,5.0,11.3,No precipitation,12,,,,
06.04.2020 02:00,12.6,752.9,766.7,,90,Wind blowing from the north,0,,2,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.1,16.0,,,2500 or more  or no clouds.,,,5.0,11.0,No precipitation,12,,,,
05.04.2020 20:00,14.6,753.3,767.1,1.1,78,Wind blowing from the north,0,,3,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.1,17.3,,,2500 or more  or no clouds.,,,5.0,10.8,No precipitation,12,,,,
05.04.2020 17:00,15.8,752.2,766.0,-1.6,64,Wind blowing from the north,0,,3,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.1,19.7,,,2500 or more  or no clouds.,,,5.0,9.0,No precipitation,12,,,,
05.04.2020 14:00,15.9,753.8,767.6,-1.7,60,Wind blowing from the north,0,,3,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.1,20.2,,,2500 or more  or no clouds.,,,6.0,8.2,No precipitation,12,,,,
05.04.2020 11:00,14.5,755.5,769.3,,69,Wind blowing from the east-northeast,1,,3,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.1,,,,,,,7.0,8.9,No precipitation,6,,,,
05.04.2020 08:00,12.4,754.6,768.4,1.0,73,Wind blowing from the north-northeast,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.1,20.2,,,2500 or more  or no clouds.,,,9.0,7.7,No precipitation,12,,,,
05.04.2020 05:00,12.5,753.6,767.3,-0.4,68,Wind blowing from the north,1,,6,,Cloud development not observed or not observable. ,,,10.7,20.2,,,2500 or more  or no clouds.,,,10.0,6.8,No precipitation,12,,,,
05.04.2020 02:00,13.6,754.0,767.7,,60,Wind blowing from the north,0,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.7,20.2,,,2500 or more  or no clouds.,,,10.0,6.0,No precipitation,12,,,,
04.04.2020 20:00,17.4,753.6,767.4,0.8,42,Wind blowing from the north-east,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.7,20.2,,,2500 or more  or no clouds.,,,9.0,4.4,No precipitation,12,,,,
04.04.2020 17:00,19.7,752.8,766.5,-1.2,38,Wind blowing from the north-northeast,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.7,20.2,,,2500 or more  or no clouds.,,,8.0,5.0,No precipitation,12,,,,
04.04.2020 14:00,19.6,754.0,767.8,-2.1,38,Wind blowing from the north,2,,7,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.7,19.7,,,2500 or more  or no clouds.,,,7.0,4.9,No precipitation,12,,,,
04.04.2020 11:00,16.2,756.1,770.0,0.3,55,Wind blowing from the north-northeast,2,,4,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.7,16.2,,,2500 or more  or no clouds.,,,5.0,7.2,No precipitation,12,,,,
04.04.2020 08:00,11.1,755.8,769.7,1.0,92,Calm  no wind,0,,,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.7,14.0,,,2500 or more  or no clouds.,,,3.0,9.9,No precipitation,12,,,,
04.04.2020 05:00,11.0,754.8,768.7,0.1,90,Calm  no wind,0,,,,Mist. ,,,11.0,14.0,,,2500 or more  or no clouds.,,,3.6,9.4,No precipitation,12,,,,
04.04.2020 02:00,11.6,754.7,768.6,,84,Wind blowing from the north,1,,6,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.6,14.0,,,2500 or more  or no clouds.,,,3.9,9.0,No precipitation,12,,,,
03.04.2020 20:00,12.7,754.2,768.1,1.1,76,Wind blowing from the north-east,1,,7,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,14.0,,,2500 or more  or no clouds.,,,3.6,8.6,No precipitation,12,,,,
03.04.2020 17:00,13.5,753.1,767.0,-0.4,69,Wind blowing from the north-east,2,,7,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,14.0,,,2500 or more  or no clouds.,,,4.0,7.9,No precipitation,12,,,,
