Local time in Arxan,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,-6.7,679.8,770.4,0.8,56,Wind blowing from the south-west,1,,15,,Cloud development not observed or not observable. ,,,-11.2,3.1,,,2500 or more  or no clouds.,,,30.0,-14.2,No precipitation,12,,,,
07.04.2020 20:00,-3.1,679.0,769.6,0.9,46,Wind blowing from the south-west,0,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.2,3.1,,,2500 or more  or no clouds.,,,30.0,-13.1,No precipitation,12,,,,
07.04.2020 17:00,0.9,678.1,769.1,-0.1,20,Wind blowing from the north,6,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.2,3.1,,,2500 or more  or no clouds.,,,30.0,-19.5,No precipitation,12,,,,
07.04.2020 14:00,2.1,678.2,768.7,-1.2,8,Wind blowing from the north-northwest,7,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.2,3.1,,,2500 or more  or no clouds.,,,30.0,-28.8,No precipitation,12,,,,
07.04.2020 11:00,0.9,679.4,769.6,-0.6,6,Wind blowing from the north-northwest,7,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.2,1.7,,,2500 or more  or no clouds.,,,30.0,-32.8,No precipitation,12,,,,
07.04.2020 08:00,-3.3,680.0,770.5,-0.1,33,Wind blowing from the north-west,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.2,1.7,,,2500 or more  or no clouds.,,,30.0,-17.3,No precipitation,12,,,,
07.04.2020 05:00,-10.7,680.1,771.4,-0.2,58,Wind blowing from the south,0,,12,,Cloud development not observed or not observable. ,,,-10.7,1.7,,,2500 or more  or no clouds.,,,30.0,-17.4,No precipitation,12,,,,
07.04.2020 02:00,-8.5,680.3,771.3,-0.2,50,Wind blowing from the south-southeast,1,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.5,1.7,,,2500 or more  or no clouds.,,,30.0,-17.1,No precipitation,12,,,,
06.04.2020 23:00,-5.0,680.5,771.1,0.0,30,Wind blowing from the north,1,,17,,Cloud development not observed or not observable. ,,,-7.1,1.7,,,2500 or more  or no clouds.,,,30.0,-19.9,No precipitation,12,,,,
06.04.2020 20:00,-2.0,680.5,770.9,1.0,19,Wind blowing from the north-northwest,3,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.1,1.7,,,2500 or more  or no clouds.,,,30.0,-22.6,No precipitation,12,,,,
06.04.2020 17:00,1.0,679.5,770.0,-0.2,7,Wind blowing from the north-northwest,5,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.1,8.8,,,2500 or more  or no clouds.,,,30.0,-31.1,No precipitation,12,,,,
06.04.2020 14:00,1.1,679.7,769.9,-0.6,14,Wind blowing from the north-west,8,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.1,9.9,,,2500 or more  or no clouds.,,,30.0,-23.5,No precipitation,12,,,,
06.04.2020 11:00,-0.4,680.3,770.5,0.2,17,Wind blowing from the north-northwest,9,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.1,9.9,,,2500 or more  or no clouds.,,,30.0,-22.5,No precipitation,12,,,,
06.04.2020 08:00,-1.8,680.1,770.1,1.1,51,Wind blowing from the north-northwest,5,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.1,9.9,,,2500 or more  or no clouds.,,,30.0,-10.8,No precipitation,12,,,,
06.04.2020 05:00,-6.7,679.0,768.1,0.3,63,Wind blowing from the south,0,,6,,Cloud development not observed or not observable. ,,,-12.6,9.9,,,2500 or more  or no clouds.,,,30.0,-12.6,No precipitation,12,,,,
06.04.2020 02:00,-4.5,678.7,767.4,-0.3,54,Wind blowing from the south,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.6,9.9,,,2500 or more  or no clouds.,,,30.0,-12.6,No precipitation,12,,,,
05.04.2020 23:00,-2.4,679.0,768.0,0.1,42,Wind blowing from the south-southwest,1,,6,,Cloud development not observed or not observable. ,,,,9.9,,,2500 or more  or no clouds.,,,30.0,-13.6,No precipitation,12,,,,
05.04.2020 20:00,-0.3,678.9,769.3,1.0,33,Wind blowing from the south,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,9.9,,,2500 or more  or no clouds.,,,30.0,-14.6,No precipitation,12,,,,
05.04.2020 17:00,8.8,677.9,767.9,-0.8,0,Wind blowing from the north-west,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.6,9.9,,,2500 or more  or no clouds.,,,30.0,-80.0,No precipitation,12,,,,
05.04.2020 14:00,9.3,678.7,768.4,-1.2,0,Wind blowing from the north-west,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.6,9.3,,,2500 or more  or no clouds.,,,30.0,-80.0,No precipitation,12,,,,
05.04.2020 11:00,5.7,679.9,769.9,-0.4,0,Wind blowing from the north,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.6,5.8,,,2500 or more  or no clouds.,,,30.0,-80.0,No precipitation,12,,,,
05.04.2020 08:00,-5.0,680.3,771.7,-0.4,28,Wind blowing from the east-northeast,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.6,1.5,,,2500 or more  or no clouds.,,,30.0,-20.7,No precipitation,12,,,,
05.04.2020 05:00,-12.5,680.7,772.4,-0.6,55,Wind blowing from the north,0,,6,,Cloud development not observed or not observable. ,,,-13.9,1.5,,,2500 or more  or no clouds.,,,30.0,-19.7,No precipitation,12,,,,
05.04.2020 02:00,-10.7,681.3,772.8,-0.7,53,Wind blowing from the south-southeast,1,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-13.9,1.5,,,2500 or more  or no clouds.,,,30.0,-18.6,No precipitation,12,,,,
04.04.2020 23:00,-7.9,682.0,773.7,-0.6,43,Wind blowing from the south-southeast,2,,9,,Cloud development not observed or not observable. ,,,-13.9,1.5,,,2500 or more  or no clouds.,,,30.0,-18.3,No precipitation,12,,,,
04.04.2020 20:00,-5.1,682.6,774.7,0.2,34,Wind blowing from the south-southwest,1,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-13.9,1.5,,,2500 or more  or no clouds.,,,30.0,-18.5,No precipitation,12,,,,
04.04.2020 17:00,1.2,682.4,774.5,-1.0,9,Wind blowing from the north-west,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-13.9,1.5,,,2500 or more  or no clouds.,,,30.0,-28.2,No precipitation,12,,,,
04.04.2020 14:00,1.0,683.4,775.0,-1.1,10,Wind blowing from the west-northwest,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-13.9,1.0,,,2500 or more  or no clouds.,,,30.0,-27.3,No precipitation,12,,,,
04.04.2020 11:00,-2.6,684.5,776.3,-0.5,8,Wind blowing from the north-west,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-13.9,0.9,,,2500 or more  or no clouds.,,,30.0,-32.4,No precipitation,12,,,,
04.04.2020 08:00,-7.6,685.0,777.4,0.6,30,Wind blowing from the north-northwest,2,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-13.9,2.2,,,2500 or more  or no clouds.,,,30.0,-22.2,No precipitation,12,,,,
04.04.2020 05:00,-13.3,684.4,777.4,0.6,53,Wind blowing from the south,1,,15,,Cloud development not observed or not observable. ,,,-13.3,2.2,,,2500 or more  or no clouds.,,,30.0,-20.9,No precipitation,12,,,,
04.04.2020 02:00,-9.5,683.8,775.7,0.6,32,Wind blowing from the north-northwest,1,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.5,2.2,,,2500 or more  or no clouds.,,,30.0,-23.1,No precipitation,12,,,,
03.04.2020 23:00,-6.6,683.2,774.3,1.5,18,Wind blowing from the north-northwest,2,,18,,Cloud development not observed or not observable. ,,,-6.6,2.2,,,2500 or more  or no clouds.,,,30.0,-27.0,No precipitation,12,,,,
03.04.2020 20:00,-4.8,681.7,772.3,2.4,16,Wind blowing from the north-northwest,5,,18,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.8,2.2,,,2500 or more  or no clouds.,,,30.0,-26.8,No precipitation,12,,,,
03.04.2020 17:00,-2.4,679.3,769.8,1.7,11,Wind blowing from the north-west,9,,18,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.0,4.9,,,2500 or more  or no clouds.,,,30.0,-28.9,No precipitation,12,,,,
03.04.2020 14:00,-1.1,677.6,766.9,1.4,24,Wind blowing from the north-northwest,9,,18,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.0,5.3,,,2500 or more  or no clouds.,,,30.0,-19.1,No precipitation,12,,,,
03.04.2020 11:00,0.6,676.2,765.7,1.8,23,Wind blowing from the north-west,10,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.0,5.3,,,2500 or more  or no clouds.,,,30.0,-18.2,No precipitation,12,,,,
03.04.2020 08:00,0.6,674.4,763.3,1.3,32,Wind blowing from the north-west,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.0,5.3,,,2500 or more  or no clouds.,,,30.0,-14.2,No precipitation,12,,,,
03.04.2020 05:00,-3.5,673.1,761.5,-1.2,44,Wind blowing from the north,1,,6,,Cloud development not observed or not observable. ,,,-6.2,5.3,,,2500 or more  or no clouds.,,,30.0,-14.0,No precipitation,12,,,,
03.04.2020 02:00,0.8,674.3,762.2,-1.6,24,Wind blowing from the west-northwest,1,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.2,5.3,,,2500 or more  or no clouds.,,,30.0,-17.5,No precipitation,12,,,,
02.04.2020 23:00,-3.3,675.9,764.8,-1.5,46,Wind blowing from the south,1,,12,,Cloud development not observed or not observable. ,,,-6.2,5.3,,,2500 or more  or no clouds.,,,30.0,-13.5,No precipitation,12,,,,
02.04.2020 20:00,-1.3,677.4,767.0,-0.4,37,Wind blowing from the south,1,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.2,5.3,,,2500 or more  or no clouds.,,,30.0,-14.1,No precipitation,12,,,,
02.04.2020 17:00,4.9,677.8,767.2,-0.6,10,Wind blowing from the north-west,3,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.2,6.2,,,2500 or more  or no clouds.,,,30.0,-24.2,No precipitation,12,,,,
02.04.2020 14:00,4.9,678.4,767.3,-0.1,11,Wind blowing from the north-northwest,5,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.2,6.7,,,2500 or more  or no clouds.,,,30.0,-23.1,No precipitation,12,,,,
02.04.2020 11:00,4.0,678.5,766.8,1.1,12,Wind blowing from the north-northwest,7,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.2,6.7,,,2500 or more  or no clouds.,,,30.0,-22.9,No precipitation,12,,,,
02.04.2020 08:00,-0.8,677.4,766.9,2.0,34,Wind blowing from the north,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.2,6.7,,,2500 or more  or no clouds.,,,30.0,-14.7,No precipitation,12,,,,
02.04.2020 05:00,-5.8,675.4,764.2,1.4,54,Wind blowing from the south-southeast,1,,10,,Cloud development not observed or not observable. ,,,-9.1,6.7,,,2500 or more  or no clouds.,,,30.0,-13.8,No precipitation,12,,,,
02.04.2020 02:00,-2.5,674.0,762.3,0.4,36,Wind blowing from the south,1,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.1,6.7,,,2500 or more  or no clouds.,,,30.0,-15.5,No precipitation,12,,,,
01.04.2020 23:00,2.8,673.6,761.3,-0.4,15,Wind blowing from the west,3,,,,Cloud development not observed or not observable. ,,,-9.1,6.7,,,2500 or more  or no clouds.,,,30.0,-21.3,No precipitation,12,,,,
01.04.2020 20:00,-0.5,674.0,763.3,0.1,29,Wind blowing from the north,0,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.1,6.7,,,2500 or more  or no clouds.,,,30.0,-16.4,No precipitation,12,,,,
